candidate,currency,n_signals,empty_complete_months,weekly_max,weekly_zero_share,calendar_gap_max
known_change_z_urgent_cap2,AMD,187,0,2,0.057971014492753624,13
known_change_z_urgent_cap2,KGS,181,0,2,0.09420289855072464,18
known_change_z_urgent_cap2,KZT,188,0,2,0.043478260869565216,18
known_change_z_urgent_cap2,TJS,185,0,2,0.057971014492753624,17
known_change_z_urgent_cap2,UZS,186,0,2,0.07246376811594203,21
known_next_not_lower_cd3,AMD,193,0,2,0.036231884057971016,13
known_next_not_lower_cd3,KGS,188,0,2,0.057971014492753624,18
known_next_not_lower_cd3,KZT,193,0,2,0.028985507246376812,18
known_next_not_lower_cd3,TJS,197,0,2,0.050724637681159424,17
known_next_not_lower_cd3,UZS,186,0,2,0.050724637681159424,17
past_hist_urgent_cap2,AMD,159,0,2,0.18840579710144928,30
past_hist_urgent_cap2,KGS,159,0,2,0.18840579710144928,31
past_hist_urgent_cap2,KZT,156,0,2,0.2318840579710145,30
past_hist_urgent_cap2,TJS,155,0,2,0.2246376811594203,34
past_hist_urgent_cap2,UZS,158,0,2,0.21739130434782608,35
past_logit_urgent_cap2,AMD,155,1,2,0.2391304347826087,42
past_logit_urgent_cap2,KGS,164,0,2,0.2318840579710145,35
past_logit_urgent_cap2,KZT,154,1,2,0.2536231884057971,41
past_logit_urgent_cap2,TJS,165,1,2,0.2246376811594203,63
past_logit_urgent_cap2,UZS,162,0,2,0.2391304347826087,34
past_survival_h5_urgent_cap2,AMD,152,0,2,0.2318840579710145,37
past_survival_h5_urgent_cap2,KGS,149,0,2,0.2391304347826087,37
past_survival_h5_urgent_cap2,KZT,149,0,2,0.21739130434782608,28
past_survival_h5_urgent_cap2,TJS,161,0,2,0.18115942028985507,37
past_survival_h5_urgent_cap2,UZS,154,0,2,0.21014492753623187,37
past_survival_mean_urgent_cap2,AMD,153,0,2,0.2246376811594203,37
past_survival_mean_urgent_cap2,KGS,154,0,2,0.21014492753623187,37
past_survival_mean_urgent_cap2,KZT,155,0,2,0.2028985507246377,26
past_survival_mean_urgent_cap2,TJS,159,0,2,0.18840579710144928,37
past_survival_mean_urgent_cap2,UZS,151,0,2,0.2246376811594203,37
announced_hist_urgent_cap2,AMD,185,0,2,0.07246376811594203,16
announced_hist_urgent_cap2,KGS,188,0,2,0.07971014492753623,16
announced_hist_urgent_cap2,KZT,181,0,2,0.050724637681159424,22
announced_hist_urgent_cap2,TJS,189,0,2,0.07246376811594203,16
announced_hist_urgent_cap2,UZS,187,0,2,0.057971014492753624,16
announced_hist_gated_urgent_cap2,AMD,184,0,2,0.07971014492753623,16
announced_hist_gated_urgent_cap2,KGS,184,0,2,0.10144927536231885,18
