candidate,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
past_hist_urgent_cap2,1,1135,296,2023-01-09,2023-12-01,0.625,0.5700440528634361,1.0964064914992273,1.0966469943072021,1.2672782874617736,1.2415902140672783,1.3058103975535167,-0.7243244292314622,15.76824718863658
past_hist_urgent_cap2,3,1135,296,2023-01-09,2023-12-01,0.4966216216216216,0.44757709251101324,1.1095778357097255,1.1102275751929733,1.2672782874617736,1.2415902140672783,1.3058103975535167,2.7284652075937106,28.703581088981142
past_hist_urgent_cap2,5,1135,296,2023-01-09,2023-12-01,0.42905405405405406,0.38502202643171807,1.1143623600717423,1.1148105181747874,1.2672782874617736,1.2415902140672783,1.3058103975535167,7.306569707383309,43.77955529450889
past_hist_urgent_cap2,10,1135,296,2023-01-09,2023-12-01,0.3581081081081081,0.3136563876651982,1.141721075007592,1.1419486498030467,1.2672782874617736,1.2415902140672783,1.3058103975535167,22.101663447274476,76.56801744245209
past_hist_urgent_cap2,20,1135,296,2023-01-09,2023-12-01,0.3108108108108108,0.26519823788546254,1.1719942533896022,1.1714814607056712,1.2672782874617736,1.2415902140672783,1.3058103975535167,33.19314962282257,111.08283158771671
past_logit_urgent_cap2,1,1135,187,2023-01-09,2023-12-01,0.6363636363636364,0.5700440528634361,1.1163411549810314,1.1167472818223159,0.8006116207951071,0.7492354740061162,0.8562691131498471,0.8826849046376783,16.96450427593624
past_logit_urgent_cap2,3,1135,187,2023-01-09,2023-12-01,0.41711229946524064,0.44757709251101324,0.9319339761674176,0.9322872788542544,0.8006116207951071,0.7492354740061162,0.8562691131498471,5.953997920487447,16.872303220054675
past_logit_urgent_cap2,5,1135,187,2023-01-09,2023-12-01,0.3582887700534759,0.38502202643171807,0.9305669428162361,0.9305555555555556,0.8006116207951071,0.7492354740061162,0.8562691131498471,13.881890892038282,23.66168503938189
past_logit_urgent_cap2,10,1135,187,2023-01-09,2023-12-01,0.2994652406417112,0.3136563876651982,0.9547557531695007,0.9542110794175049,0.8006116207951071,0.7492354740061162,0.8562691131498471,29.336765894530853,30.47399664148689
past_logit_urgent_cap2,20,1135,187,2023-01-09,2023-12-01,0.2727272727272727,0.26519823788546254,1.028390214436726,1.029524232992441,0.8006116207951071,0.7492354740061162,0.8562691131498471,41.056589346121214,27.92843202161755
past_survival_h5_urgent_cap2,1,1135,285,2023-01-09,2023-12-01,0.6140350877192983,0.5700440528634361,1.0771712898939778,1.0771712898939776,1.2201834862385321,1.1773700305810397,1.2415902140672783,-1.9087220153704891,16.772315441133184
past_survival_h5_urgent_cap2,3,1135,285,2023-01-09,2023-12-01,0.47719298245614034,0.44757709251101324,1.0661693604088962,1.06635349383441,1.2201834862385321,1.1773700305810397,1.2415902140672783,2.963515114400241,25.36978323608283
past_survival_h5_urgent_cap2,5,1135,285,2023-01-09,2023-12-01,0.39649122807017545,0.38502202643171807,1.0297884298847806,1.0299538245332263,1.2201834862385321,1.1773700305810397,1.2415902140672783,11.311061831365562,41.41523077735507
past_survival_h5_urgent_cap2,10,1135,285,2023-01-09,2023-12-01,0.3157894736842105,0.3136563876651982,1.0068007096392668,1.0075951864273032,1.2201834862385321,1.1773700305810397,1.2415902140672783,24.008423137725014,67.3302070641037
past_survival_h5_urgent_cap2,20,1135,285,2023-01-09,2023-12-01,0.2736842105263158,0.26519823788546254,1.031998601154048,1.0334442304324987,1.2201834862385321,1.1773700305810397,1.2415902140672783,36.94721225424382,97.47289451027035
past_survival_mean_urgent_cap2,1,1135,279,2023-01-09,2023-12-01,0.6200716845878136,0.5700440528634361,1.0877609922831044,1.0874477335031707,1.1944954128440366,1.1345565749235473,1.2629969418960245,-3.3857700299138016,15.904837136067844
past_survival_mean_urgent_cap2,3,1135,279,2023-01-09,2023-12-01,0.4731182795698925,0.44757709251101324,1.0570654474642283,1.056633048875097,1.1944954128440366,1.1345565749235473,1.2629969418960245,2.4967908486267634,26.674694794142994
past_survival_mean_urgent_cap2,5,1135,279,2023-01-09,2023-12-01,0.3978494623655914,0.38502202643171807,1.033316109347703,1.0331296896141704,1.1944954128440366,1.1345565749235473,1.2629969418960245,12.022144230569289,43.48363863060176
past_survival_mean_urgent_cap2,10,1135,279,2023-01-09,2023-12-01,0.32616487455197135,0.3136563876651982,1.0398795860013694,1.0400261806464606,1.1944954128440366,1.1345565749235473,1.2629969418960245,25.581524448578772,70.35429990387384
past_survival_mean_urgent_cap2,20,1135,279,2023-01-09,2023-12-01,0.2831541218637993,0.26519823788546254,1.0677074030412366,1.066361419991675,1.1944954128440366,1.1345565749235473,1.2629969418960245,38.50111907108178,99.81299444185184
announced_hist_urgent_cap2,1,1135,296,2023-01-09,2023-12-01,1.0,0.5700440528634361,1.7542503863987637,1.7539939438237442,1.2672782874617738,1.2415902140672783,1.2844036697247707,25.478555199765523,75.90924501432251
announced_hist_urgent_cap2,3,1135,296,2023-01-09,2023-12-01,0.8108108108108109,0.44757709251101324,1.8115556501383272,1.810748828397647,1.2672782874617738,1.2415902140672783,1.2844036697247707,40.62357798889477,99.74599878518
announced_hist_urgent_cap2,5,1135,296,2023-01-09,2023-12-01,0.6959459459459459,0.38502202643171807,1.8075483950769993,1.8070175438596492,1.2672782874617738,1.2415902140672783,1.2844036697247707,48.67567868402978,115.16697130578655
announced_hist_urgent_cap2,10,1135,296,2023-01-09,2023-12-01,0.5675675675675675,0.3136563876651982,1.809520194351655,1.808764940239044,1.2672782874617738,1.2415902140672783,1.2844036697247707,64.42379641241405,148.6899098146023
announced_hist_urgent_cap2,20,1135,296,2023-01-09,2023-12-01,0.4966216216216216,0.26519823788546254,1.8726429918290384,1.8722437300117827,1.2672782874617738,1.2415902140672783,1.2844036697247707,81.29380150954296,198.66490359507546
announced_hist_gated_urgent_cap2,1,1135,296,2023-01-09,2023-12-01,1.0,0.5700440528634361,1.7542503863987637,1.7539939438237442,1.2672782874617738,1.2415902140672783,1.2844036697247707,25.478555199765523,75.90924501432251
announced_hist_gated_urgent_cap2,3,1135,296,2023-01-09,2023-12-01,0.8108108108108109,0.44757709251101324,1.8115556501383272,1.810748828397647,1.2672782874617738,1.2415902140672783,1.2844036697247707,40.62357798889477,99.74599878518
announced_hist_gated_urgent_cap2,5,1135,296,2023-01-09,2023-12-01,0.6959459459459459,0.38502202643171807,1.8075483950769993,1.8070175438596492,1.2672782874617738,1.2415902140672783,1.2844036697247707,48.67567868402978,115.16697130578655
announced_hist_gated_urgent_cap2,10,1135,296,2023-01-09,2023-12-01,0.5675675675675675,0.3136563876651982,1.809520194351655,1.808764940239044,1.2672782874617738,1.2415902140672783,1.2844036697247707,64.42379641241405,148.6899098146023
announced_hist_gated_urgent_cap2,20,1135,296,2023-01-09,2023-12-01,0.4966216216216216,0.26519823788546254,1.8726429918290384,1.8722437300117827,1.2672782874617738,1.2415902140672783,1.2844036697247707,81.29380150954296,198.66490359507546
announced_logit_urgent_cap2,1,1135,267,2023-01-09,2023-12-01,0.9438202247191011,0.5700440528634361,1.655696993904451,1.6562147138017893,1.1431192660550455,1.0703363914373087,1.2201834862385321,27.161606848768788,76.9362895084812
announced_logit_urgent_cap2,3,1135,267,2023-01-09,2023-12-01,0.7453183520599251,0.44757709251101324,1.665228995251998,1.666224041901811,1.1431192660550455,1.0703363914373087,1.2201834862385321,42.02863350312362,95.22687363930783
announced_logit_urgent_cap2,5,1135,267,2023-01-09,2023-12-01,0.6591760299625468,0.38502202643171807,1.7120475835411684,1.7125466158000773,1.1431192660550455,1.0703363914373087,1.2201834862385321,49.764510714088075,108.05243243348538
announced_logit_urgent_cap2,10,1135,267,2023-01-09,2023-12-01,0.5168539325842697,0.3136563876651982,1.6478348693346803,1.6491708344301133,1.1431192660550455,1.0703363914373087,1.2201834862385321,57.91068008492485,126.95467806275974
announced_logit_urgent_cap2,20,1135,267,2023-01-09,2023-12-01,0.4344569288389513,0.26519823788546254,1.6382345987781055,1.6440032465505403,1.1431192660550455,1.0703363914373087,1.2201834862385321,60.62108583548381,149.58504789832068
announced_logit_gated_urgent_cap2,1,1135,260,2023-01-09,2023-12-01,1.0,0.5700440528634361,1.7542503863987637,1.7548763082778307,1.1131498470948014,1.0061162079510704,1.1773700305810397,30.312585980726467,85.04046603573528
announced_logit_gated_urgent_cap2,3,1135,260,2023-01-09,2023-12-01,0.7923076923076923,0.44757709251101324,1.7702150211992729,1.7718919328558977,1.1131498470948014,1.0061162079510704,1.1773700305810397,46.32433044101067,105.62611495201868
announced_logit_gated_urgent_cap2,5,1135,260,2023-01-09,2023-12-01,0.7038461538461539,0.38502202643171807,1.8280672416828023,1.829113645370085,1.1131498470948014,1.0061162079510704,1.1773700305810397,54.60512221466657,120.22650779110549
announced_logit_gated_urgent_cap2,10,1135,260,2023-01-09,2023-12-01,0.5576923076923077,0.3136563876651982,1.7780358686257565,1.7813075008117762,1.1131498470948014,1.0061162079510704,1.1773700305810397,60.9300602153673,138.86997380054828
announced_logit_gated_urgent_cap2,20,1135,260,2023-01-09,2023-12-01,0.46923076923076923,0.26519823788546254,1.7693585484283159,1.7782201104404776,1.1131498470948014,1.0061162079510704,1.1773700305810397,61.6641588121669,163.03688261639064
announced_survival_h5_urgent_cap2,1,1135,300,2023-01-09,2023-12-01,0.9966666666666667,0.5700440528634361,1.7484028851107678,1.7473226238286481,1.2844036697247705,1.198776758409786,1.3272171253822629,27.162638352535225,77.47980297957056
announced_survival_h5_urgent_cap2,3,1135,300,2023-01-09,2023-12-01,0.8233333333333334,0.44757709251101324,1.839534120734908,1.8365816109273152,1.2844036697247705,1.198776758409786,1.3272171253822629,44.121210268529296,98.33876314124825
announced_survival_h5_urgent_cap2,5,1135,300,2023-01-09,2023-12-01,0.6833333333333333,0.38502202643171807,1.774790236460717,1.7730320810790214,1.2844036697247705,1.198776758409786,1.3272171253822629,52.34392883197601,111.88328851676182
announced_survival_h5_urgent_cap2,10,1135,300,2023-01-09,2023-12-01,0.57,0.3136563876651982,1.8172752808988764,1.814726507713885,1.2844036697247705,1.198776758409786,1.3272171253822629,71.18567007858645,149.3341178375614
announced_survival_h5_urgent_cap2,20,1135,300,2023-01-09,2023-12-01,0.5,0.26519823788546254,1.8853820598006645,1.88131940991215,1.2844036697247705,1.198776758409786,1.3272171253822629,89.40423171889137,202.67437081376247
announced_survival_h5_gated_urgent_cap2,1,1135,299,2023-01-09,2023-12-01,1.0,0.5700440528634361,1.7542503863987637,1.752963661251582,1.2801223241590214,1.1773700305810397,1.3272171253822629,27.180165662611408,77.78297601134092
announced_survival_h5_gated_urgent_cap2,3,1135,299,2023-01-09,2023-12-01,0.8260869565217391,0.44757709251101324,1.8456864087641218,1.8421329303150773,1.2801223241590214,1.1773700305810397,1.3272171253822629,44.150627794492266,98.74561765059491
announced_survival_h5_gated_urgent_cap2,5,1135,299,2023-01-09,2023-12-01,0.68561872909699,0.38502202643171807,1.7807259897599166,1.7785889007796976,1.2801223241590214,1.1773700305810397,1.3272171253822629,52.52482904931268,112.58610117903355
announced_survival_h5_gated_urgent_cap2,10,1135,299,2023-01-09,2023-12-01,0.5719063545150501,0.3136563876651982,1.8233531246477022,1.8202579132473622,1.2801223241590214,1.1773700305810397,1.3272171253822629,71.66079853523081,150.43885527284075
announced_survival_h5_gated_urgent_cap2,20,1135,299,2023-01-09,2023-12-01,0.5016722408026756,0.26519823788546254,1.891687685418727,1.8869492934330838,1.2801223241590214,1.1773700305810397,1.3272171253822629,89.6350531804635,203.75160390620692
announced_survival_mean_urgent_cap2,1,1135,301,2023-01-09,2023-12-01,0.9966777408637874,0.5700440528634361,1.748422312025346,1.747363559387268,1.2886850152905198,1.198776758409786,1.348623853211009,27.013378895928017,77.09044661443315
announced_survival_mean_urgent_cap2,3,1135,301,2023-01-09,2023-12-01,0.8272425249169435,0.44757709251101324,1.848268239725848,1.8451669767897365,1.2886850152905198,1.198776758409786,1.348623853211009,44.74997115687125,98.8761041557242
announced_survival_mean_urgent_cap2,5,1135,301,2023-01-09,2023-12-01,0.6843853820598007,0.38502202643171807,1.7775226742285442,1.7756597683690907,1.2886850152905198,1.198776758409786,1.348623853211009,53.57329015430095,112.38603853389624
announced_survival_mean_urgent_cap2,10,1135,301,2023-01-09,2023-12-01,0.5780730897009967,0.3136563876651982,1.8430139236253689,1.8399403735966833,1.2886850152905198,1.198776758409786,1.348623853211009,72.74586695637521,150.83534779156466
announced_survival_mean_urgent_cap2,20,1135,301,2023-01-09,2023-12-01,0.4950166112956811,0.26519823788546254,1.8665908764803922,1.8625,1.2886850152905198,1.198776758409786,1.348623853211009,90.59546981539437,204.25936896854955
announced_survival_mean_gated_urgent_cap2,1,1135,300,2023-01-09,2023-12-01,1.0,0.5700440528634361,1.7542503863987637,1.752985996705107,1.2844036697247705,1.1773700305810397,1.348623853211009,27.030350250115248,77.39131121488047
announced_survival_mean_gated_urgent_cap2,3,1135,300,2023-01-09,2023-12-01,0.83,0.44757709251101324,1.8544291338582675,1.8507252545758162,1.2844036697247705,1.1773700305810397,1.348623853211009,44.781386494042145,99.28339362008798
announced_survival_mean_gated_urgent_cap2,5,1135,300,2023-01-09,2023-12-01,0.6866666666666666,0.38502202643171807,1.7834477498093058,1.7812059574143908,1.2844036697247705,1.1773700305810397,1.348623853211009,53.75768524198758,113.08818432068416
announced_survival_mean_gated_urgent_cap2,10,1135,300,2023-01-09,2023-12-01,0.58,0.3136563876651982,1.8491573033707867,1.8455284552845528,1.2844036697247705,1.1773700305810397,1.348623853211009,73.22461230775671,151.94140686857307
announced_survival_mean_gated_urgent_cap2,20,1135,300,2023-01-09,2023-12-01,0.49666666666666665,0.26519823788546254,1.87281284606866,1.8680547884679108,1.2844036697247705,1.1773700305810397,1.348623853211009,90.8294926657496,205.33829461120186
market_hist_urgent_cap2,1,1135,289,2023-01-09,2023-12-01,1.0,0.5700440528634361,1.7542503863987637,1.754325444578152,1.237308868501529,1.198776758409786,1.2629969418960245,26.52008328547415,71.58992908641443
market_hist_urgent_cap2,3,1135,289,2023-01-09,2023-12-01,0.8235294117647058,0.44757709251101324,1.8399722093561832,1.8404360415602115,1.237308868501529,1.198776758409786,1.2629969418960245,44.92803953937053,101.035266180591
market_hist_urgent_cap2,5,1135,289,2023-01-09,2023-12-01,0.7093425605536332,0.38502202643171807,1.842342806014585,1.8426783875821653,1.237308868501529,1.198776758409786,1.2629969418960245,54.211994791537144,119.97986876821673
market_hist_urgent_cap2,10,1135,289,2023-01-09,2023-12-01,0.5951557093425606,0.3136563876651982,1.897476769954512,1.8990272373540855,1.237308868501529,1.198776758409786,1.2629969418960245,72.10876062112898,160.20583445277865
market_hist_urgent_cap2,20,1135,289,2023-01-09,2023-12-01,0.5224913494809689,0.26519823788546254,1.9701916334249159,1.9732312474814344,1.237308868501529,1.198776758409786,1.2629969418960245,91.18047026709158,215.7962030010639
