candidate,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
past_hist_urgent_cap2,1,3280,787,2024-01-09,2026-08-31,0.5184243964421855,0.5161585365853658,1.0043898525282744,1.008803434437531,1.1683987274655354,1.1505832449628843,1.1802757158006363,-0.8838193461866147,0.14972572314603302
past_hist_urgent_cap2,3,3270,787,2024-01-09,2026-08-27,0.36594663278271916,0.354434250764526,1.0324810088002516,1.0414413575652341,1.1733759318423853,1.1554845580404687,1.1853035143769968,-3.52729953028296,2.5585559287283344
past_hist_urgent_cap2,5,3260,787,2024-01-09,2026-08-25,0.3138500635324015,0.294478527607362,1.0657825074121134,1.0771054427323383,1.175880469583778,1.1579509071504803,1.1878335112059766,-1.6929808152212973,2.6210803055107568
past_hist_urgent_cap2,10,3235,784,2024-01-09,2026-08-18,0.25,0.22812982998454404,1.0958672086720869,1.1102076203918645,1.1802150537634408,1.1666666666666667,1.196774193548387,0.24547115213826254,1.939536351918417
past_hist_urgent_cap2,20,3185,771,2024-01-09,2026-08-04,0.1880674448767834,0.16577708006279435,1.1344598710843847,1.1449607766515109,1.1783842794759825,1.1615720524017468,1.1921397379912664,13.38376052163293,8.445987371884932
past_logit_urgent_cap2,1,3280,802,2024-01-09,2026-08-31,0.4625935162094763,0.5161585365853658,0.8962237053556305,0.9007398510506572,1.1906680805938497,1.1431601272534464,1.232237539766702,-6.602162975044743,-8.165350044126338
past_logit_urgent_cap2,3,3270,800,2024-01-09,2026-08-27,0.3325,0.354434250764526,0.9381147540983606,0.9459481345956141,1.192758253461129,1.1480298189563365,1.2300319488817892,-10.684171529569399,-2.1837581650004436
past_logit_urgent_cap2,5,3260,800,2024-01-09,2026-08-25,0.28125,0.294478527607362,0.9550781249999999,0.9646005634877306,1.1953041622198506,1.150480256136606,1.2326574172892208,-8.374770014331773,3.800188780994994
past_logit_urgent_cap2,10,3235,795,2024-01-09,2026-08-18,0.23522012578616353,0.22812982998454404,1.0310800906751207,1.0455453020080627,1.196774193548387,1.1516129032258065,1.2344086021505376,-0.0047479739508837285,16.912929830162163
past_logit_urgent_cap2,20,3185,782,2024-01-09,2026-08-04,0.17263427109974425,0.16577708006279435,1.0413639269937225,1.0577691536579152,1.1951965065502184,1.1539301310043668,1.230349344978166,18.917830645697666,29.836170588949475
past_survival_h5_urgent_cap2,1,3280,765,2024-01-09,2026-08-31,0.4954248366013072,0.5161585365853658,0.9598307525412214,0.9672794572466511,1.1357370095440085,1.1060445387062565,1.1951219512195121,-2.7316306494807217,-3.431437074162556
past_survival_h5_urgent_cap2,3,3270,765,2024-01-09,2026-08-27,0.3503267973856209,0.354434250764526,0.9884112402510615,1.0028647964469661,1.1405750798722045,1.1107561235356762,1.200212992545261,-5.5376096006239415,2.7272334738256117
past_survival_h5_urgent_cap2,5,3260,765,2024-01-09,2026-08-25,0.29934640522875816,0.294478527607362,1.0165305010893244,1.0349860836066662,1.143009605122732,1.1131270010672358,1.2027748132337246,-1.1487973162864829,4.817346763932631
past_survival_h5_urgent_cap2,10,3235,765,2024-01-09,2026-08-18,0.23790849673202613,0.22812982998454404,1.042864480932391,1.0681259141294595,1.1516129032258065,1.121505376344086,1.2118279569892472,2.1369883857717857,1.8309963869778454
