candidate,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
past_hist_urgent_cap2,1,3280,787,2024-01-09,2026-08-31,0.5031766200762389,0.5161585365853658,0.9748489745127369,0.9791998628742233,1.1683987274655354,1.1505832449628843,1.1802757158006363,-5.115352164862701,3.0936884702293455
past_hist_urgent_cap2,3,3270,787,2024-01-09,2026-08-27,0.35578144853875476,0.354434250764526,1.0038009807780224,1.0119179565418404,1.1733759318423853,1.1554845580404687,1.1853035143769968,-0.7946273861613052,5.358168464626661
past_hist_urgent_cap2,5,3260,787,2024-01-09,2026-08-25,0.2909783989834816,0.294478527607362,0.9881141465480728,0.9978042165153679,1.175880469583778,1.1579509071504803,1.1878335112059766,0.3962981412817405,5.360876297937734
past_hist_urgent_cap2,10,3235,784,2024-01-09,2026-08-18,0.22193877551020408,0.22812982998454404,0.972861705657873,0.9855924793274715,1.1802150537634408,1.1666666666666667,1.196774193548387,4.33257867381897,5.5103509289550905
past_hist_urgent_cap2,20,3185,771,2024-01-09,2026-08-04,0.16731517509727625,0.165149136577708,1.0131156514920625,1.0229434188266364,1.1783842794759825,1.1615720524017468,1.1921397379912664,15.979987634134256,9.464879204933924
past_logit_urgent_cap2,1,3280,802,2024-01-09,2026-08-31,0.57356608478803,0.5161585365853658,1.1112207667482212,1.1166729769809,1.1906680805938497,1.1431601272534464,1.232237539766702,-3.775001331177122,12.022856702553064
past_logit_urgent_cap2,3,3270,800,2024-01-09,2026-08-27,0.38625,0.354434250764526,1.089764883520276,1.0984273396684254,1.192758253461129,1.1480298189563365,1.2300319488817892,-2.23356095717007,8.805821927035263
past_logit_urgent_cap2,5,3260,800,2024-01-09,2026-08-25,0.30875,0.294478527607362,1.0484635416666668,1.0583122983877955,1.1953041622198506,1.150480256136606,1.2326574172892208,-0.09041843386860648,12.661439734175731
past_logit_urgent_cap2,10,3235,795,2024-01-09,2026-08-18,0.24276729559748428,0.22812982998454404,1.064162874333146,1.079092210093883,1.196774193548387,1.1516129032258065,1.2344086021505376,10.188894955088774,24.944865083220783
past_logit_urgent_cap2,20,3185,782,2024-01-09,2026-08-04,0.18286445012787725,0.165149136577708,1.1072685810975078,1.1246716827925436,1.1951965065502184,1.1539301310043668,1.230349344978166,30.03930893230652,38.673217813234004
past_survival_h5_urgent_cap2,1,3280,765,2024-01-09,2026-08-31,0.5137254901960784,0.5161585365853658,0.9952862420810025,1.0027962421598657,1.1357370095440085,1.1060445387062565,1.1951219512195121,-6.543832533583559,5.087790113505553
past_survival_h5_urgent_cap2,3,3270,765,2024-01-09,2026-08-27,0.3712418300653595,0.354434250764526,1.0474208665347071,1.0621968018514012,1.1405750798722045,1.1107561235356762,1.200212992545261,-0.7101897870783798,5.80923603318128
past_survival_h5_urgent_cap2,5,3260,765,2024-01-09,2026-08-25,0.29150326797385623,0.294478527607362,0.98989651416122,1.0069317041465926,1.143009605122732,1.1131270010672358,1.2027748132337246,2.94139112267419,8.694962514677883
past_survival_h5_urgent_cap2,10,3235,765,2024-01-09,2026-08-18,0.22091503267973855,0.22812982998454404,0.9683741608657916,0.9918312059773552,1.1516129032258065,1.121505376344086,1.2118279569892472,9.122121832591256,7.786551107745956
past_survival_h5_urgent_cap2,20,3185,753,2024-01-09,2026-08-04,0.1553784860557769,0.165149136577708,0.9408374108130217,0.9660636032117869,1.1508733624454148,1.1157205240174672,1.207423580786026,19.685013790372686,4.630356504817615
past_survival_mean_urgent_cap2,1,3280,772,2024-01-09,2026-08-31,0.5025906735751295,0.5161585365853658,0.9737137680604991,0.9822895423044604,1.1461293743372216,1.1208907741251324,1.1802757158006363,-7.7948791058736955,3.915035607644625
past_survival_mean_urgent_cap2,3,3270,772,2024-01-09,2026-08-27,0.3743523316062176,0.354434250764526,1.0561968286042551,1.0730681280020071,1.1510117145899894,1.1256656017039404,1.1853035143769968,-1.7370667123874042,4.936134802804874
past_survival_mean_urgent_cap2,5,3260,772,2024-01-09,2026-08-25,0.29015544041450775,0.294478527607362,0.9853195164075992,1.0049250067536712,1.1534685165421557,1.1280683030949838,1.1878335112059766,1.989431221154106,7.02634719589298
past_survival_mean_urgent_cap2,10,3235,772,2024-01-09,2026-08-18,0.21243523316062177,0.22812982998454404,0.931203223949338,0.9562336328254989,1.1621505376344086,1.1365591397849462,1.196774193548387,8.642185738291806,5.7975228056225845
past_survival_mean_urgent_cap2,20,3185,760,2024-01-09,2026-08-04,0.14736842105263157,0.165149136577708,0.8923354012407444,0.9173472878096368,1.1615720524017465,1.131004366812227,1.1921397379912664,20.101139977624374,2.094586697884901
announced_hist_urgent_cap2,1,3280,932,2024-01-09,2026-08-31,0.9785407725321889,0.5161585365853658,1.8958143732460602,1.8981249285627804,1.383669141039236,1.3510074231177094,1.4029692470837751,31.432155423239433,69.40159577241462
announced_hist_urgent_cap2,3,3270,931,2024-01-09,2026-08-27,0.6981740064446831,0.354434250764526,1.9698265755600635,1.97259439767524,1.388072417465389,1.356762513312034,1.4089456869009584,50.20879390825164,80.29245855665336
announced_hist_urgent_cap2,5,3260,930,2024-01-09,2026-08-25,0.5806451612903226,0.294478527607362,1.971774193548387,1.975265663359752,1.3895410885805763,1.3521878335112059,1.4119530416221984,56.5714202723232,84.10885270854892
announced_hist_urgent_cap2,10,3235,925,2024-01-09,2026-08-18,0.4572972972972973,0.22812982998454404,2.0045484508899145,2.0078366050945218,1.3924731182795698,1.3548387096774193,1.4150537634408602,62.20542267950211,86.83574359606735
