family,period,h,n,brier,mean_probability,event_rate
hist,early,3,647,0.14491853029484544,0.7900385948829919,0.7851622874806801
hist,early,5,647,0.22081556333605126,0.6617528088715426,0.6754250386398764
hist,early,10,647,0.2683775430208195,0.5004221962844632,0.5502318392581144
hist,early,20,647,0.28850856755553916,0.3277541230103853,0.4652241112828439
hist,later,3,1688,0.1820957101132564,0.7245015262429365,0.6866113744075829
hist,later,5,1683,0.21599651237283587,0.5827451121597914,0.5704099821746881
hist,later,10,1669,0.26034431427404625,0.417812452783717,0.44218094667465546
hist,later,20,1626,0.25431876346152266,0.31151096636863135,0.3234932349323493
recent_hist,early,3,647,0.1490948314005301,0.7911822171762635,0.7851622874806801
recent_hist,early,5,647,0.22063145553362362,0.6826665511933269,0.6754250386398764
recent_hist,early,10,647,0.27031467966449046,0.5055195647352543,0.5502318392581144
recent_hist,early,20,647,0.28499037120141063,0.34315551250248594,0.4652241112828439
recent_hist,later,3,1688,0.1813428689116855,0.7203000539580606,0.6866113744075829
recent_hist,later,5,1683,0.21803852674464197,0.5848079996034748,0.5704099821746881
recent_hist,later,10,1669,0.2566226888758637,0.41324153041906486,0.44218094667465546
recent_hist,later,20,1626,0.2528166005282428,0.30728430812531354,0.3234932349323493
logit,early,3,647,0.32704387452371364,0.43855746216560326,0.7851622874806801
logit,early,5,647,0.3775172445246219,0.32997851992029414,0.6754250386398764
logit,early,10,647,0.4073874307443256,0.20402553589889372,0.5502318392581144
logit,early,20,647,0.40018307256540364,0.14070242190960475,0.4652241112828439
logit,later,3,1688,0.1774866800936265,0.680908838622159,0.6866113744075829
logit,later,5,1683,0.22560035166315007,0.5573954609045086,0.5704099821746881
logit,later,10,1669,0.2547630353836096,0.4432798876403435,0.44218094667465546
logit,later,20,1626,0.2571523553319036,0.3299808139945187,0.3234932349323493
local_logit,early,3,647,0.2944411741811421,0.48423518271779914,0.7851622874806801
local_logit,early,5,647,0.34514415754200545,0.382008465396333,0.6754250386398764
local_logit,early,10,647,0.3720112715271924,0.27103031878910977,0.5502318392581144
local_logit,early,20,647,0.36673550066917693,0.204117049031476,0.4652241112828439
local_logit,later,3,1688,0.18328075926161838,0.6773055951341621,0.6866113744075829
local_logit,later,5,1683,0.23474179394471548,0.5568983550186136,0.5704099821746881
local_logit,later,10,1669,0.2687167841224343,0.4350722268777884,0.44218094667465546
local_logit,later,20,1626,0.27016585237340857,0.3274141925818787,0.3234932349323493
hazard_hist,early,3,647,0.16149638140551098,0.8104866973410664,0.7851622874806801
hazard_hist,early,5,647,0.2232728115386623,0.6866229784961085,0.6754250386398764
hazard_hist,early,10,647,0.25952660571558384,0.5438983412174239,0.5502318392581144
hazard_hist,early,20,647,0.3029164817163621,0.36921539118277324,0.4652241112828439
hazard_hist,later,3,1688,0.18454575216243582,0.7270889549946615,0.6866113744075829
hazard_hist,later,5,1683,0.2216374803492692,0.5890899459272104,0.5704099821746881
hazard_hist,later,10,1669,0.2547279956140841,0.4235843497615804,0.44218094667465546
hazard_hist,later,20,1626,0.255577476805744,0.29531319213363133,0.3234932349323493
hazard_logit,early,3,647,0.41397509755913803,0.36550006935655605,0.7851622874806801
hazard_logit,early,5,647,0.4720660524660987,0.24421298324951468,0.6754250386398764
hazard_logit,early,10,647,0.4596723390494113,0.16265967813454915,0.5502318392581144
hazard_logit,early,20,647,0.4217825134572248,0.10451276603741354,0.4652241112828439
hazard_logit,later,3,1688,0.20874886515588734,0.6983315101846315,0.6866113744075829
hazard_logit,later,5,1683,0.2525607393361158,0.576506379784246,0.5704099821746881
hazard_logit,later,10,1669,0.2641788819976568,0.437465680980627,0.44218094667465546
hazard_logit,later,20,1626,0.2494425677576866,0.3217418164686446,0.3234932349323493
