candidate,year,currency,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
margin_ridge_local_mean_urgent_cap2,2024,TJS,1,248,64,2024-01-09,2024-12-28,1.0,0.5483870967741935,1.823529411764706,1.823529411764706,1.2619718309859154,1.2619718309859154,1.2619718309859154,29.49751525506868,67.63490543060593
margin_ridge_local_mean_urgent_cap2,2024,TJS,3,248,64,2024-01-09,2024-12-28,0.78125,0.4032258064516129,1.9375000000000002,1.9375000000000002,1.2619718309859154,1.2619718309859154,1.2619718309859154,51.87723379953542,91.86632383160246
margin_ridge_local_mean_urgent_cap2,2024,TJS,5,248,64,2024-01-09,2024-12-28,0.671875,0.35080645161290325,1.9152298850574712,1.9152298850574712,1.2619718309859154,1.2619718309859154,1.2619718309859154,59.73481789893768,103.85753789895264
margin_ridge_local_mean_urgent_cap2,2024,TJS,10,248,64,2024-01-09,2024-12-28,0.609375,0.29435483870967744,2.0702054794520546,2.0702054794520546,1.2619718309859154,1.2619718309859154,1.2619718309859154,65.58994939567862,117.80778849941267
margin_ridge_local_mean_urgent_cap2,2024,TJS,20,248,64,2024-01-09,2024-12-28,0.375,0.18548387096774194,2.0217391304347827,2.0217391304347827,1.2619718309859154,1.2619718309859154,1.2619718309859154,65.67850291540762,134.38552186321795
margin_ridge_local_mean_urgent_cap2,2024,UZS,1,248,64,2024-01-09,2024-12-28,1.0,0.5403225806451613,1.8507462686567164,1.8507462686567164,1.2619718309859154,1.2619718309859154,1.2619718309859154,26.20967716496326,57.14737629831978
margin_ridge_local_mean_urgent_cap2,2024,UZS,3,248,64,2024-01-09,2024-12-28,0.765625,0.3870967741935484,1.9778645833333335,1.9778645833333335,1.2619718309859154,1.2619718309859154,1.2619718309859154,49.437087958182225,87.38469732071862
margin_ridge_local_mean_urgent_cap2,2024,UZS,5,248,64,2024-01-09,2024-12-28,0.671875,0.33064516129032256,2.0320121951219514,2.0320121951219514,1.2619718309859154,1.2619718309859154,1.2619718309859154,57.18962571696099,93.90088719593666
margin_ridge_local_mean_urgent_cap2,2024,UZS,10,248,64,2024-01-09,2024-12-28,0.578125,0.2620967741935484,2.205769230769231,2.205769230769231,1.2619718309859154,1.2619718309859154,1.2619718309859154,63.77253678197096,104.19830340982494
margin_ridge_local_mean_urgent_cap2,2024,UZS,20,248,64,2024-01-09,2024-12-28,0.359375,0.1814516129032258,1.9805555555555554,1.9805555555555554,1.2619718309859154,1.2619718309859154,1.2619718309859154,73.46623087056147,123.33475454914529
margin_ridge_local_mean_urgent_cap2,2024,KGS,1,248,60,2024-01-09,2024-12-28,1.0,0.5645161290322581,1.7714285714285714,1.7714285714285711,1.1830985915492958,1.1830985915492958,1.1830985915492958,28.573741357410313,67.0957817765944
margin_ridge_local_mean_urgent_cap2,2024,KGS,3,248,60,2024-01-09,2024-12-28,0.8166666666666667,0.4153225806451613,1.9663430420711974,1.9663430420711971,1.1830985915492958,1.1830985915492958,1.1830985915492958,52.64601792017304,97.14485229901715
margin_ridge_local_mean_urgent_cap2,2024,KGS,5,248,60,2024-01-09,2024-12-28,0.75,0.3709677419354839,2.0217391304347827,2.0217391304347827,1.1830985915492958,1.1830985915492958,1.1830985915492958,61.88775024284065,110.53661510818648
margin_ridge_local_mean_urgent_cap2,2024,KGS,10,248,60,2024-01-09,2024-12-28,0.65,0.29435483870967744,2.208219178082192,2.2082191780821914,1.1830985915492958,1.1830985915492958,1.1830985915492958,67.80520923105195,127.22859084263408
