origin,shared,eligible,risk_rows,failures,last_shared
2022-07-01,475,203,527,147,2022-06-28
2022-10-01,805,376,989,272,2022-09-28
2023-01-01,1130,539,1410,379,2022-12-29
2023-04-01,1410,725,2028,435,2023-03-29
2023-07-01,1715,896,2530,522,2023-06-28
2023-10-01,2045,1105,3222,618,2023-09-28
2024-01-01,2370,1265,3600,756,2023-12-29
2024-04-01,2655,1413,4012,865,2024-03-29
2024-07-01,2955,1564,4405,974,2024-06-28
2024-10-01,3280,1737,4843,1110,2024-09-27
2025-01-01,3610,1951,5532,1208,2024-12-28
2025-04-01,3895,2055,5770,1310,2025-03-28
2025-07-01,4190,2177,6026,1418,2025-06-27
2025-10-01,4515,2354,6479,1533,2025-09-26
2026-01-01,4840,2515,6898,1662,2025-12-29
2026-04-01,5110,2637,7188,1750,2026-03-27
2026-07-01,5420,2775,7546,1850,2026-06-26
