origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,eligible_mask_sha256,last_shared_mature20,last_effective_mature20,query_first,query_last,local_counts,n_risk,n_failures,risk_hash
2022-07-01,hist,475,203,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,2022-06-27,585,914,,,,
2022-07-01,recent_hist,475,203,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,2022-06-27,585,914,,,,
2022-07-01,logit,475,203,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,2022-06-27,585,914,,,,
2022-07-01,local_logit,475,203,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,2022-06-27,585,914,"{""AMD"": 37, ""KGS"": 43, ""KZT"": 41, ""TJS"": 45, ""UZS"": 37}",,,
2022-07-01,hazard_hist,475,203,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,2022-06-27,585,914,,527.0,147.0,6f27d70d853c82b8e942172b8064c435d4a7a5c4861ac66668364f261dc38b3a
2022-07-01,hazard_logit,475,203,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,2022-06-27,585,914,,527.0,147.0,6f27d70d853c82b8e942172b8064c435d4a7a5c4861ac66668364f261dc38b3a
2022-07-01,margin_q25,475,203,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,2022-06-27,585,914,,,,
2022-07-01,margin_ridge_local,475,203,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,2022-06-27,585,914,"{""AMD"": 37, ""KGS"": 43, ""KZT"": 41, ""TJS"": 45, ""UZS"": 37}",,,
2022-10-01,hist,805,376,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,f7a50cbfc01332468ee13da68f220bee7819053472ca3620c302df2ddba645be,2022-09-28,2022-09-27,915,1234,,,,
2022-10-01,recent_hist,805,376,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,f7a50cbfc01332468ee13da68f220bee7819053472ca3620c302df2ddba645be,2022-09-28,2022-09-27,915,1234,,,,
2022-10-01,logit,805,376,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,f7a50cbfc01332468ee13da68f220bee7819053472ca3620c302df2ddba645be,2022-09-28,2022-09-27,915,1234,,,,
2022-10-01,local_logit,805,376,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,f7a50cbfc01332468ee13da68f220bee7819053472ca3620c302df2ddba645be,2022-09-28,2022-09-27,915,1234,"{""AMD"": 75, ""KGS"": 77, ""KZT"": 69, ""TJS"": 83, ""UZS"": 72}",,,
2022-10-01,hazard_hist,805,376,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,f7a50cbfc01332468ee13da68f220bee7819053472ca3620c302df2ddba645be,2022-09-28,2022-09-27,915,1234,,989.0,272.0,c67f18aac4644d4c80f41f9a53ab20a8208fad53d6dc90c6b54615e1c441e389
