model,period,n,brier_h5,mean_probability,event_rate
extra_h5,early,647,0.20751418856090612,0.6503764126559222,0.6754250386398764
extra_h5,later,1683,0.21186143248339084,0.5911731089408339,0.5704099821746881
compact_hist_h5,early,647,0.2326152219880686,0.6524969933316391,0.6754250386398764
compact_hist_h5,later,1683,0.26158174546962587,0.5900273766642147,0.5704099821746881
compact_extra_h5,early,647,0.21670872014865505,0.6458332006031143,0.6754250386398764
compact_extra_h5,later,1683,0.22966716500401235,0.6057003999191887,0.5704099821746881
local_hist_h5,early,647,0.21690863642226688,0.6562860221896331,0.6754250386398764
local_hist_h5,later,1683,0.25146578511990425,0.5908219665843121,0.5704099821746881
first_failure_extra_h5,early,647,0.21242247221470323,0.656781323473275,0.6754250386398764
first_failure_extra_h5,later,1683,0.22083157226905142,0.6016616346063446,0.5704099821746881
