origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,eligible_mask_sha256,last_shared_mature20,n_model_train,weight_sum,local_counts,meta_n,meta_prefer_extra,brier_count_min,brier_count_max,extra_weight_min,extra_weight_max
2022-07-01,extra_roll2,475,203,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,203,,,,,,,,
2022-07-01,extra_roll3,475,203,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,203,,,,,,,,
2022-07-01,extra_decay730,475,203,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,203,182.63969312363815,,,,,,,
2022-07-01,local_extra,475,203,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,203,,"{""AMD"": 37, ""KGS"": 43, ""KZT"": 41, ""TJS"": 45, ""UZS"": 37}",,,,,,
2022-07-01,router_extra_local,475,203,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,203,,,0.0,0.0,,,,
2022-10-01,extra_roll2,805,376,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,f7a50cbfc01332468ee13da68f220bee7819053472ca3620c302df2ddba645be,2022-09-28,376,,,,,,,,
2022-10-01,extra_roll3,805,376,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,f7a50cbfc01332468ee13da68f220bee7819053472ca3620c302df2ddba645be,2022-09-28,376,,,,,,,,
2022-10-01,extra_decay730,805,376,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,f7a50cbfc01332468ee13da68f220bee7819053472ca3620c302df2ddba645be,2022-09-28,376,329.20425686890786,,,,,,,
2022-10-01,local_extra,805,376,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,f7a50cbfc01332468ee13da68f220bee7819053472ca3620c302df2ddba645be,2022-09-28,376,,"{""AMD"": 75, ""KGS"": 77, ""KZT"": 69, ""TJS"": 83, ""UZS"": 72}",,,,,,
2022-10-01,router_extra_local,805,376,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,f7a50cbfc01332468ee13da68f220bee7819053472ca3620c302df2ddba645be,2022-09-28,376,,,135.0,67.0,,,,
2023-01-01,extra_roll2,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,539,,,,,,,,
2023-01-01,extra_roll3,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,539,,,,,,,,
2023-01-01,extra_decay730,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,539,453.5103917809499,,,,,,,
2023-01-01,local_extra,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,539,,"{""AMD"": 109, ""KGS"": 108, ""KZT"": 101, ""TJS"": 116, ""UZS"": 105}",,,,,,
2023-01-01,router_extra_local,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,539,,,298.0,142.0,,,,
