currency,year,rows,cny_available,local_available,local_quality_mean,cny_age_median
AMD,2022,247,0.9959514170040485,0.5384615384615384,0.42570827556972507,0.0166666666666666
AMD,2023,247,1.0,1.0,0.8603103689088132,0.0166666666666666
AMD,2024,248,1.0,1.0,0.8759520446185957,0.0166666666666666
AMD,2025,247,1.0,1.0,0.8095522338752182,0.0166666666666666
AMD,2026,162,1.0,1.0,0.8205014789747559,0.0166666666666666
KGS,2022,247,0.9959514170040485,0.012145748987854255,6.021312371022632e-05,0.0166666666666666
KGS,2023,247,1.0,0.7854251012145749,0.2608280924681876,0.0166666666666666
KGS,2024,248,1.0,0.9879032258064516,0.15764882975928837,0.0166666666666666
KGS,2025,247,1.0,0.902834008097166,0.08174416706137493,0.0166666666666666
KGS,2026,162,1.0,0.9135802469135803,0.08089078818392152,0.0166666666666666
KZT,2022,247,0.9959514170040485,0.979757085020243,0.8076141296399733,0.0166666666666666
KZT,2023,247,1.0,1.0,0.9969740425249443,0.0166666666666666
KZT,2024,248,1.0,1.0,0.9856898546336896,0.0166666666666666
KZT,2025,247,1.0,1.0,0.8328178769894518,0.0166666666666666
KZT,2026,162,1.0,1.0,0.7222046150035979,0.0166666666666666
TJS,2022,247,0.9959514170040485,0.004048582995951455,1.3845074008320243e-05,0.0166666666666666
TJS,2023,247,1.0,0.0080971659919028,5.625292950001214e-06,0.0166666666666666
TJS,2024,248,1.0,0.08064516129032262,8.841256202035402e-05,0.0166666666666666
TJS,2025,247,1.0,0.0,0.0,0.0166666666666666
TJS,2026,162,1.0,0.0,0.0,0.0166666666666666
UZS,2022,247,0.9959514170040485,0.07692307692307687,0.0003448381411640676,0.0166666666666666
UZS,2023,247,1.0,0.9109311740890689,0.0953061042977757,0.0166666666666666
UZS,2024,248,1.0,0.7540322580645161,0.041812417243432744,0.0166666666666666
UZS,2025,247,1.0,0.5303643724696356,0.013694482702683496,0.0166666666666666
UZS,2026,162,1.0,0.41975308641975306,0.011238427827709396,0.0166666666666666
