currency,date,decision_at,cny_announced_price,cny_announced_effective_date,cny_source_received_at,local_source_term,cny_basis_last_z,cny_last_missing,cny_basis_mean_z,cny_mean_missing,cny_basis_post_z,cny_post_missing,cny_n,cny_age,cny_quality,cny_range,cny_late_z,cny_max_source,local_basis_last_z,local_last_missing,local_basis_mean_z,local_mean_missing,local_basis_post_z,local_post_missing,local_n,local_age,local_quality,local_range,local_late_z,local_max_source
AMD,2022-01-10,2022-01-10T18:30:00+03:00,11.7907,2022-01-11,2022-01-10T18:00:00+03:00,TOD,-0.24170055932703438,0.0,-0.4303946286467989,0.0,-0.310086553303658,0.0,49.0,0.016666666666666666,0.9998611207557263,70.76893796505281,0.1600722661343004,2022-01-10T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
KGS,2022-01-10,2022-01-10T18:30:00+03:00,11.7907,2022-01-11,2022-01-10T18:00:00+03:00,TOD,-0.24170055932703438,0.0,-0.4303946286467989,0.0,-0.310086553303658,0.0,49.0,0.016666666666666666,0.9998611207557263,70.76893796505281,0.1600722661343004,2022-01-10T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
KZT,2022-01-10,2022-01-10T18:30:00+03:00,11.7907,2022-01-11,2022-01-10T18:00:00+03:00,TOM,-0.24170055932703438,0.0,-0.4303946286467989,0.0,-0.310086553303658,0.0,49.0,0.016666666666666666,0.9998611207557263,70.76893796505281,0.1600722661343004,2022-01-10T18:30:00,-0.8807365664262778,0.0,-0.8807365664262778,0.0,-0.8807365664262778,0.0,1.0,146.38333333333333,0.012302965581729575,0.0,0.0,2022-01-10T16:10:00
TJS,2022-01-10,2022-01-10T18:30:00+03:00,11.7907,2022-01-11,2022-01-10T18:00:00+03:00,TOD,-0.24170055932703438,0.0,-0.4303946286467989,0.0,-0.310086553303658,0.0,49.0,0.016666666666666666,0.9998611207557263,70.76893796505281,0.1600722661343004,2022-01-10T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
UZS,2022-01-10,2022-01-10T18:30:00+03:00,11.7907,2022-01-11,2022-01-10T18:00:00+03:00,TOD,-0.24170055932703438,0.0,-0.4303946286467989,0.0,-0.310086553303658,0.0,49.0,0.016666666666666666,0.9998611207557263,70.76893796505281,0.1600722661343004,2022-01-10T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
AMD,2022-01-11,2022-01-11T18:30:00+03:00,11.7446,2022-01-12,2022-01-11T18:00:00+03:00,TOD,-0.7484185716864392,0.0,-0.1488848170077921,0.0,-0.1779572290270357,0.0,50.0,0.016666666666666666,0.9998611207557263,42.04822543743323,-0.6661872679151941,2022-01-11T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
KGS,2022-01-11,2022-01-11T18:30:00+03:00,11.7446,2022-01-12,2022-01-11T18:00:00+03:00,TOD,-0.7484185716864392,0.0,-0.1488848170077921,0.0,-0.1779572290270357,0.0,50.0,0.016666666666666666,0.9998611207557263,42.04822543743323,-0.6661872679151941,2022-01-11T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
KZT,2022-01-11,2022-01-11T18:30:00+03:00,11.7446,2022-01-12,2022-01-11T18:00:00+03:00,TOM,-0.7484185716864392,0.0,-0.1488848170077921,0.0,-0.1779572290270357,0.0,50.0,0.016666666666666666,0.9998611207557263,42.04822543743323,-0.6661872679151941,2022-01-11T18:30:00,0.1491968985119278,0.0,-0.3774598744498558,0.0,0.1491968985119278,0.0,2.0,143.41666666666666,0.025221826240478952,58.30920310793144,1.0533135459235472,2022-01-11T16:10:00
TJS,2022-01-11,2022-01-11T18:30:00+03:00,11.7446,2022-01-12,2022-01-11T18:00:00+03:00,TOD,-0.7484185716864392,0.0,-0.1488848170077921,0.0,-0.1779572290270357,0.0,50.0,0.016666666666666666,0.9998611207557263,42.04822543743323,-0.6661872679151941,2022-01-11T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
UZS,2022-01-11,2022-01-11T18:30:00+03:00,11.7446,2022-01-12,2022-01-11T18:00:00+03:00,TOD,-0.7484185716864392,0.0,-0.1488848170077921,0.0,-0.1779572290270357,0.0,50.0,0.016666666666666666,0.9998611207557263,42.04822543743323,-0.6661872679151941,2022-01-11T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
AMD,2022-01-12,2022-01-12T18:30:00+03:00,11.7088,2022-01-13,2022-01-12T18:00:00+03:00,TOD,0.5748568321558813,0.0,-0.10488563701576036,0.0,-0.04346743885963084,0.0,46.0,0.016666666666666666,0.9998611207557263,51.067574688432785,0.5304405527449061,2022-01-12T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
KGS,2022-01-12,2022-01-12T18:30:00+03:00,11.7088,2022-01-13,2022-01-12T18:00:00+03:00,TOD,0.5748568321558813,0.0,-0.10488563701576036,0.0,-0.04346743885963084,0.0,46.0,0.016666666666666666,0.9998611207557263,51.067574688432785,0.5304405527449061,2022-01-12T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
KZT,2022-01-12,2022-01-12T18:30:00+03:00,11.7088,2022-01-13,2022-01-12T18:00:00+03:00,TOD,0.5748568321558813,0.0,-0.10488563701576036,0.0,-0.04346743885963084,0.0,46.0,0.016666666666666666,0.9998611207557263,51.067574688432785,0.5304405527449061,2022-01-12T18:30:00,-0.6293742177500593,0.0,-0.6293742177501015,0.0,0.0,1.0,1.0,465.95,0.0008579450566934015,0.0,0.0,2022-01-12T10:50:00
TJS,2022-01-12,2022-01-12T18:30:00+03:00,11.7088,2022-01-13,2022-01-12T18:00:00+03:00,TOD,0.5748568321558813,0.0,-0.10488563701576036,0.0,-0.04346743885963084,0.0,46.0,0.016666666666666666,0.9998611207557263,51.067574688432785,0.5304405527449061,2022-01-12T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
UZS,2022-01-12,2022-01-12T18:30:00+03:00,11.7088,2022-01-13,2022-01-12T18:00:00+03:00,TOD,0.5748568321558813,0.0,-0.10488563701576036,0.0,-0.04346743885963084,0.0,46.0,0.016666666666666666,0.9998611207557263,51.067574688432785,0.5304405527449061,2022-01-12T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
AMD,2022-01-13,2022-01-13T18:30:00+03:00,11.7246,2022-01-14,2022-01-13T18:00:00+03:00,TOD,5.054612045474096,0.0,1.323368918530512,0.0,3.206841766393903,0.0,50.0,0.016666666666666666,0.9998611207557263,267.2130260837887,3.037047723487739,2022-01-13T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
KGS,2022-01-13,2022-01-13T18:30:00+03:00,11.7246,2022-01-14,2022-01-13T18:00:00+03:00,TOD,5.054612045474096,0.0,1.323368918530512,0.0,3.206841766393903,0.0,50.0,0.016666666666666666,0.9998611207557263,267.2130260837887,3.037047723487739,2022-01-13T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
KZT,2022-01-13,2022-01-13T18:30:00+03:00,11.7246,2022-01-14,2022-01-13T18:00:00+03:00,TOM,5.054612045474096,0.0,1.323368918530512,0.0,3.206841766393903,0.0,50.0,0.016666666666666666,0.9998611207557263,267.2130260837887,3.037047723487739,2022-01-13T18:30:00,1.7323238602474207,0.0,1.7323238602474207,0.0,0.0,1.0,1.0,330.01666666666665,0.002663290956402298,0.0,0.0,2022-01-13T13:00:00
TJS,2022-01-13,2022-01-13T18:30:00+03:00,11.7246,2022-01-14,2022-01-13T18:00:00+03:00,TOD,5.054612045474096,0.0,1.323368918530512,0.0,3.206841766393903,0.0,50.0,0.016666666666666666,0.9998611207557263,267.2130260837887,3.037047723487739,2022-01-13T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
