currency,date,decision_at,current_index,announced_index,effective_date,announced_effective_date,current_price,announced_price,source_max_received_at,availability_evidence
AMD,2022-01-10,2022-01-10T18:30:00+03:00,2964,2965,2021-12-31,2022-01-11,0.155164,0.155311,2022-01-10T18:00:00+03:00,calendar_assumed
KGS,2022-01-10,2022-01-10T18:30:00+03:00,2964,2965,2021-12-31,2022-01-11,0.875906,0.885701,2022-01-10T18:00:00+03:00,calendar_assumed
KZT,2022-01-10,2022-01-10T18:30:00+03:00,2965,2966,2021-12-31,2022-01-11,0.16899999999999998,0.172328,2022-01-10T18:00:00+03:00,calendar_assumed
TJS,2022-01-10,2022-01-10T18:30:00+03:00,2964,2965,2021-12-31,2022-01-11,6.5803899999999995,6.65175,2022-01-10T18:00:00+03:00,calendar_assumed
UZS,2022-01-10,2022-01-10T18:30:00+03:00,2964,2965,2021-12-31,2022-01-11,0.00685504,0.006945010000000001,2022-01-10T18:00:00+03:00,calendar_assumed
AMD,2022-01-11,2022-01-11T18:30:00+03:00,2965,2966,2022-01-11,2022-01-12,0.155311,0.155019,2022-01-11T18:00:00+03:00,calendar_assumed
KGS,2022-01-11,2022-01-11T18:30:00+03:00,2965,2966,2022-01-11,2022-01-12,0.885701,0.8822110000000001,2022-01-11T18:00:00+03:00,calendar_assumed
KZT,2022-01-11,2022-01-11T18:30:00+03:00,2966,2967,2022-01-11,2022-01-12,0.172328,0.171858,2022-01-11T18:00:00+03:00,calendar_assumed
TJS,2022-01-11,2022-01-11T18:30:00+03:00,2965,2966,2022-01-11,2022-01-12,6.65175,6.625539999999999,2022-01-11T18:00:00+03:00,calendar_assumed
UZS,2022-01-11,2022-01-11T18:30:00+03:00,2965,2966,2022-01-11,2022-01-12,0.006945010000000001,0.00691765,2022-01-11T18:00:00+03:00,calendar_assumed
AMD,2022-01-12,2022-01-12T18:30:00+03:00,2966,2967,2022-01-12,2022-01-13,0.155019,0.154943,2022-01-12T18:00:00+03:00,calendar_assumed
KGS,2022-01-12,2022-01-12T18:30:00+03:00,2966,2967,2022-01-12,2022-01-13,0.8822110000000001,0.878703,2022-01-12T18:00:00+03:00,calendar_assumed
KZT,2022-01-12,2022-01-12T18:30:00+03:00,2967,2968,2022-01-12,2022-01-13,0.171858,0.17136700000000002,2022-01-12T18:00:00+03:00,calendar_assumed
TJS,2022-01-12,2022-01-12T18:30:00+03:00,2966,2967,2022-01-12,2022-01-13,6.625539999999999,6.59829,2022-01-12T18:00:00+03:00,calendar_assumed
UZS,2022-01-12,2022-01-12T18:30:00+03:00,2966,2967,2022-01-12,2022-01-13,0.00691765,0.0068892,2022-01-12T18:00:00+03:00,calendar_assumed
AMD,2022-01-13,2022-01-13T18:30:00+03:00,2967,2968,2022-01-13,2022-01-14,0.154943,0.154466,2022-01-13T18:00:00+03:00,calendar_assumed
KGS,2022-01-13,2022-01-13T18:30:00+03:00,2967,2968,2022-01-13,2022-01-14,0.878703,0.8791910000000001,2022-01-13T18:00:00+03:00,calendar_assumed
KZT,2022-01-13,2022-01-13T18:30:00+03:00,2968,2969,2022-01-13,2022-01-14,0.17136700000000002,0.171442,2022-01-13T18:00:00+03:00,calendar_assumed
TJS,2022-01-13,2022-01-13T18:30:00+03:00,2967,2968,2022-01-13,2022-01-14,6.59829,6.607760000000001,2022-01-13T18:00:00+03:00,calendar_assumed
UZS,2022-01-13,2022-01-13T18:30:00+03:00,2967,2968,2022-01-13,2022-01-14,0.0068892,0.00689298,2022-01-13T18:00:00+03:00,calendar_assumed
AMD,2022-01-14,2022-01-14T18:30:00+03:00,2968,2969,2022-01-14,2022-01-15,0.154466,0.156948,2022-01-14T18:00:00+03:00,calendar_assumed
KGS,2022-01-14,2022-01-14T18:30:00+03:00,2968,2969,2022-01-14,2022-01-15,0.8791910000000001,0.893193,2022-01-14T18:00:00+03:00,calendar_assumed
KZT,2022-01-14,2022-01-14T18:30:00+03:00,2969,2970,2022-01-14,2022-01-15,0.171442,0.173677,2022-01-14T18:00:00+03:00,calendar_assumed
TJS,2022-01-14,2022-01-14T18:30:00+03:00,2968,2969,2022-01-14,2022-01-15,6.607760000000001,6.70799,2022-01-14T18:00:00+03:00,calendar_assumed
UZS,2022-01-14,2022-01-14T18:30:00+03:00,2968,2969,2022-01-14,2022-01-15,0.00689298,0.0070037400000000005,2022-01-14T18:00:00+03:00,calendar_assumed
AMD,2022-01-17,2022-01-17T18:30:00+03:00,2969,2970,2022-01-15,2022-01-18,0.156948,0.15776,2022-01-17T18:00:00+03:00,calendar_assumed
KGS,2022-01-17,2022-01-17T18:30:00+03:00,2969,2970,2022-01-15,2022-01-18,0.893193,0.8966249999999999,2022-01-17T18:00:00+03:00,calendar_assumed
KZT,2022-01-17,2022-01-17T18:30:00+03:00,2970,2971,2022-01-15,2022-01-18,0.173677,0.17462499999999997,2022-01-17T18:00:00+03:00,calendar_assumed
TJS,2022-01-17,2022-01-17T18:30:00+03:00,2969,2970,2022-01-15,2022-01-18,6.70799,6.73222,2022-01-17T18:00:00+03:00,calendar_assumed
