origin,n_train,last_train_mature20,n_test,n_residual_train,last_residual_origin,last_residual_mature20
2022-07-01,475,2022-06-28,330,0,,
2022-10-01,805,2022-09-28,320,220,2022-07-01,2022-09-28
2023-01-01,1130,2022-12-29,285,545,2022-10-01,2022-12-29
2023-04-01,1410,2023-03-29,305,825,2023-01-01,2023-03-29
2023-07-01,1715,2023-06-28,325,1130,2023-04-01,2023-06-28
2023-10-01,2045,2023-09-28,320,1460,2023-07-01,2023-09-28
2024-01-01,2370,2023-12-29,285,1785,2023-10-01,2023-12-29
2024-04-01,2655,2024-03-29,300,2070,2024-01-01,2024-03-29
2024-07-01,2955,2024-06-28,330,2370,2024-04-01,2024-06-28
2024-10-01,3280,2024-09-27,325,2695,2024-07-01,2024-09-27
2025-01-01,3610,2024-12-28,290,3025,2024-10-01,2024-12-28
2025-04-01,3895,2025-03-28,295,3310,2025-01-01,2025-03-28
2025-07-01,4190,2025-06-27,330,3605,2025-04-01,2025-06-27
2025-10-01,4515,2025-09-26,320,3930,2025-07-01,2025-09-26
2026-01-01,4840,2025-12-29,275,4255,2025-10-01,2025-12-29
2026-04-01,5110,2026-03-27,310,4525,2026-01-01,2026-03-27
2026-07-01,5420,2026-06-26,225,4835,2026-04-01,2026-06-26
