origin,n_shared_train,n_query,shared_mask_sha256,train_mask_sha256,last_shared_mature20,score_min,score_mean,score_max,short_n_train,short_fallback,long_n_train,long_fallback
2022-07-01,475,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,0.003149447763574358,0.13339747350674966,0.7443143024121287,203,False,129,False
2022-10-01,805,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,f7a50cbfc01332468ee13da68f220bee7819053472ca3620c302df2ddba645be,2022-09-28,0.0014111727536023167,0.28325118255844756,0.9296396759895276,376,False,245,False
2023-01-01,1130,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,0.0007381850459043096,0.13443110329917488,0.7446370667389977,539,False,353,False
2023-04-01,1410,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,0.014344495617535959,0.40157041413136224,0.9528952534018247,725,False,508,False
2023-07-01,1715,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,0.002485704665538246,0.32724226074560575,0.9721054782797199,896,False,637,False
2023-10-01,2045,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,0.030492476401815512,0.423311381147505,0.9780028024097446,1105,False,816,False
2024-01-01,2370,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,0.028522970170801226,0.5585508256605001,0.981938293107814,1265,False,922,False
2024-04-01,2655,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,0.006162398312123166,0.3857359358511142,0.9590114089408884,1413,False,1027,False
2024-07-01,2955,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,0.0008713253502021012,0.18789813570344188,0.8923303040022346,1564,False,1126,False
2024-10-01,3280,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,0.0011643468196881862,0.13774650704317615,0.8273208637732067,1737,False,1241,False
2025-01-01,3610,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,0.005503535274774912,0.23318809778553584,0.8310610321069725,1951,False,1414,False
2025-04-01,3895,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,0.0015248052791000627,0.12300582253273164,0.8026363596394548,2055,False,1477,False
2025-07-01,4190,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,0.0011134929364542891,0.21846425435776506,0.8158748764678697,2177,False,1539,False
2025-10-01,4515,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,0.0035913125336306186,0.2348315368743986,0.883085649300845,2354,False,1652,False
2026-01-01,4840,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,0.002940779824150716,0.2145475942334684,0.7894534673190268,2515,False,1761,False
2026-04-01,5110,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,951f93f91da783bab8b12f619007a2ce4f207eb82d65470d88e82393a034f330,2026-03-27,0.002662054650742405,0.15080398131396133,0.7657442870479436,2637,False,1834,False
2026-07-01,5420,225,75b543ed99834ea7109367d7a67fbac4f4cf289a0f70aca0eb6f1725d573109d,bd72d19a173009ea54e56d292d84867926d47a5091a12977c01ac8ce6aecf6cd,2026-06-26,0.006168430568568112,0.1953517403802917,0.7389314042799239,2775,False,1924,False
