candidate,h,metric,mean_bps,ci_lo,ci_hi,n
weekly_optimal_stopping_logit_rate110_cap2,1,sym,31.901242101191716,25.960404716786392,39.0071406778921,681
weekly_optimal_stopping_logit_rate110_cap2,1,forward,96.14973469349889,84.1222669394647,109.72500218225287,681
weekly_optimal_stopping_logit_rate110_cap2,3,sym,62.78357484188499,50.90825993604902,78.10924946808176,681
weekly_optimal_stopping_logit_rate110_cap2,3,forward,124.12167038266689,105.23701748192397,143.65000539615184,681
weekly_optimal_stopping_logit_rate110_cap2,5,sym,75.51133602653576,60.22537047787598,93.27225613353092,681
weekly_optimal_stopping_logit_rate110_cap2,5,forward,133.14455388251412,109.07731984949977,156.42089336211924,681
weekly_optimal_stopping_logit_rate110_cap2,10,sym,80.7098948676117,59.868906787853874,101.59568573407361,671
weekly_optimal_stopping_logit_rate110_cap2,10,forward,132.32148277174807,98.65443275890269,162.3242181957211,671
weekly_optimal_stopping_logit_rate110_cap2,20,sym,89.09784116687956,56.34509048982395,119.87363307797553,659
weekly_optimal_stopping_logit_rate110_cap2,20,forward,128.75206755857377,67.51080048770096,183.0081760785613,659
known_next_not_lower_cd3,1,sym,26.56403232616659,21.334802323719625,32.030100571862135,967
known_next_not_lower_cd3,1,forward,63.21552328836044,55.415078973786,71.29421834656962,967
known_next_not_lower_cd3,3,sym,41.10111569663991,32.035457050051,50.670194098712535,962
known_next_not_lower_cd3,3,forward,69.97117307419252,58.55000377485476,81.07704343045174,962
known_next_not_lower_cd3,5,sym,44.424363611080274,34.44495292050289,54.55815309400358,957
known_next_not_lower_cd3,5,forward,71.48041241752762,55.59302319460247,87.41513765231424,957
known_next_not_lower_cd3,10,sym,46.841083218503854,31.852750692920843,61.345290816857975,951
known_next_not_lower_cd3,10,forward,72.94801765357498,42.85934996536024,101.35301815800841,951
known_next_not_lower_cd3,20,sym,55.00354473092315,25.315782098595168,84.72161653941498,931
known_next_not_lower_cd3,20,forward,74.11017150510715,16.435136776624407,128.66674910032268,931
