origin,n_train,n_positive,n_query,constant_prediction,last_target_maturity
2022-07-01,203,56,330,False,2022-06-27
2022-10-01,376,104,320,False,2022-09-27
2023-01-01,539,160,285,False,2022-12-29
2023-04-01,725,290,305,False,2023-03-28
2023-07-01,896,374,325,False,2023-06-28
2023-10-01,1105,487,320,False,2023-09-28
2024-01-01,1265,509,285,False,2023-12-29
2024-04-01,1413,548,300,False,2024-03-28
2024-07-01,1564,590,330,False,2024-06-28
2024-10-01,1737,627,325,False,2024-09-27
2025-01-01,1951,743,290,False,2024-12-26
2025-04-01,2055,745,295,False,2025-03-28
2025-07-01,2177,759,330,False,2025-06-27
2025-10-01,2354,821,320,False,2025-09-26
2026-01-01,2515,853,275,False,2025-12-29
2026-04-01,2637,887,310,False,2026-03-27
2026-07-01,2775,925,225,False,2026-06-26
