candidate,h,metric,mean_bps,ci_lo,ci_hi,n
cny50_hazard_hist_h5_urgent_cap2,1,sym,21.140797167380946,16.607144847473467,26.03454471777307,908
cny50_hazard_hist_h5_urgent_cap2,1,forward,46.93280122312076,36.66140041248408,56.7272844371945,908
cny50_hazard_hist_h5_urgent_cap2,3,sym,32.79058294941115,25.660787796805636,41.236953804794304,903
cny50_hazard_hist_h5_urgent_cap2,3,forward,55.17958809388565,38.70487797482786,70.43749671400847,903
cny50_hazard_hist_h5_urgent_cap2,5,sym,36.61213881418663,28.40114821836535,46.02209583021682,903
cny50_hazard_hist_h5_urgent_cap2,5,forward,56.35374417026153,34.15139305724199,77.61072326358689,903
cny50_hazard_hist_h5_urgent_cap2,10,sym,42.46302662113833,29.463325596886044,56.54116955261491,898
cny50_hazard_hist_h5_urgent_cap2,10,forward,56.560097579505985,19.44798156123632,91.77972531775366,898
cny50_hazard_hist_h5_urgent_cap2,20,sym,51.39417344346062,25.133463694375482,79.24418464138468,888
cny50_hazard_hist_h5_urgent_cap2,20,forward,54.06583106653192,-11.54722215685952,111.87145325172003,888
cny_hist50_urgent_cap2,1,sym,19.677498417883786,15.81315258855575,24.072753364188248,913
cny_hist50_urgent_cap2,1,forward,48.198912070070506,38.30794046953324,57.66089143466723,913
cny_hist50_urgent_cap2,3,sym,30.076891313130506,23.378454891971348,38.0639725919154,908
cny_hist50_urgent_cap2,3,forward,53.8138164605948,37.871950404637516,69.43877363144927,908
cny_hist50_urgent_cap2,5,sym,33.39361805091953,25.252527697585723,42.480186663022835,908
cny_hist50_urgent_cap2,5,forward,54.90719287984805,33.41170351517338,76.52418843565576,908
cny_hist50_urgent_cap2,10,sym,37.649509446057806,24.858338495820995,52.20316871766144,903
cny_hist50_urgent_cap2,10,forward,53.977503311852175,16.81903913164755,88.29262166498528,903
cny_hist50_urgent_cap2,20,sym,46.87136553143505,20.729715704434874,74.64243094148827,891
cny_hist50_urgent_cap2,20,forward,51.69507013769766,-13.976565998623025,109.43798257423931,891
cal_expanding_cny_urgent_cap2,1,sym,20.125778464842416,14.142950726382567,26.56694844534854,935
cal_expanding_cny_urgent_cap2,1,forward,47.82346206823003,36.96858287150622,58.061143458731614,935
cal_expanding_cny_urgent_cap2,3,sym,28.73827927671746,20.587752220896828,38.025869551770796,930
cal_expanding_cny_urgent_cap2,3,forward,54.083296231726564,37.85645843055748,68.77744962990482,930
cal_expanding_cny_urgent_cap2,5,sym,30.121093240464493,20.815698757422002,40.14200727840091,930
cal_expanding_cny_urgent_cap2,5,forward,52.339456290999394,30.429224073028085,72.54287470527248,930
cal_expanding_cny_urgent_cap2,10,sym,32.420750377171224,14.568214910363988,48.49574671404846,925
cal_expanding_cny_urgent_cap2,10,forward,51.32303119845048,14.83928218961334,84.19129351769574,925
cal_expanding_cny_urgent_cap2,20,sym,36.88385088913284,1.4763677947038587,69.42382407980482,910
cal_expanding_cny_urgent_cap2,20,forward,45.53771232594094,-20.416024817842743,105.66528000688427,910
cal_expanding_hist_urgent_cap2,1,sym,17.482318322844524,13.614137364473349,21.824275223314427,879
cal_expanding_hist_urgent_cap2,1,forward,47.70613493166089,37.714443043713956,57.355066892405034,879
cal_expanding_hist_urgent_cap2,3,sym,30.529165176522344,24.48415746355475,37.43428436572156,874
cal_expanding_hist_urgent_cap2,3,forward,54.784462609590086,38.01907355908515,70.2837666708879,874
cal_expanding_hist_urgent_cap2,5,sym,34.575694023934446,27.03748086647641,43.51314057630306,874
cal_expanding_hist_urgent_cap2,5,forward,57.19693157689313,34.83408591964856,78.54748116295784,874
cal_expanding_hist_urgent_cap2,10,sym,38.919177895364356,24.505136959314743,53.18881815021384,869
cal_expanding_hist_urgent_cap2,10,forward,58.65170723663586,21.225208010750002,90.9821921164424,869
cal_expanding_hist_urgent_cap2,20,sym,49.37228597810207,23.160115324912567,76.67758797355474,855
cal_expanding_hist_urgent_cap2,20,forward,61.9176307086127,-4.329455949502256,118.27344597966844,855
cal_expanding_extra_urgent_cap2,1,sym,18.647918391957667,14.213714339621248,23.634505909476005,867
cal_expanding_extra_urgent_cap2,1,forward,54.375256219018084,45.1770425803263,64.20326573446377,867
cal_expanding_extra_urgent_cap2,3,sym,27.640931248875148,21.314777828081567,34.067367609157905,866
cal_expanding_extra_urgent_cap2,3,forward,59.944662403436425,44.8536369231827,75.68258604848774,866
cal_expanding_extra_urgent_cap2,5,sym,31.39880227752593,24.141757472074644,39.29382858922694,862
cal_expanding_extra_urgent_cap2,5,forward,61.660275512205786,40.193663376075946,82.87961740796237,862
cal_expanding_extra_urgent_cap2,10,sym,36.19114687811114,22.88219278755075,50.13566782919773,857
cal_expanding_extra_urgent_cap2,10,forward,61.056470264009874,22.774171008334477,94.42939330229098,857
cal_expanding_extra_urgent_cap2,20,sym,43.80924571305693,16.172149825422842,72.16621860317964,842
cal_expanding_extra_urgent_cap2,20,forward,57.80283180152483,-8.643143721677419,116.41204549501397,842
cal_expanding_survival_hist_urgent_cap2,1,sym,17.85014455087821,13.321209420416182,22.841107796888025,868
cal_expanding_survival_hist_urgent_cap2,1,forward,46.370663409839594,36.10621763590964,57.103990793811576,868
cal_expanding_survival_hist_urgent_cap2,3,sym,29.885833035267954,22.816545306286557,37.63520830166967,865
cal_expanding_survival_hist_urgent_cap2,3,forward,52.98708922667043,35.7906144949308,69.1825297245795,865
cal_expanding_survival_hist_urgent_cap2,5,sym,33.71042383083306,24.94219299846905,43.28264419819354,864
cal_expanding_survival_hist_urgent_cap2,5,forward,53.756144721138554,30.246321858692276,77.26774775994468,864
cal_expanding_survival_hist_urgent_cap2,10,sym,39.00244952422399,24.83174543685263,52.89710063163185,859
cal_expanding_survival_hist_urgent_cap2,10,forward,53.59450507822399,13.220185044072542,90.98024894872455,859
cal_expanding_survival_hist_urgent_cap2,20,sym,47.676938977831206,21.614132242027306,75.34829231942285,849
cal_expanding_survival_hist_urgent_cap2,20,forward,51.211437998593325,-15.993154765465514,110.68253604272466,849
cal_expanding_survival_logit_urgent_cap2,1,sym,16.111683150725877,11.568996522019596,21.13113051260332,754
cal_expanding_survival_logit_urgent_cap2,1,forward,39.65573506570702,29.004582724188605,50.61363768020145,754
cal_expanding_survival_logit_urgent_cap2,3,sym,28.271624248603715,20.773573294102395,36.07171230208307,752
cal_expanding_survival_logit_urgent_cap2,3,forward,43.64012070611764,25.156908625027707,62.037428305667774,752
cal_expanding_survival_logit_urgent_cap2,5,sym,31.574153354692513,21.32814339685791,41.700079764083796,749
cal_expanding_survival_logit_urgent_cap2,5,forward,43.23937332795731,17.376618227178234,70.4944958829272,749
cal_expanding_survival_logit_urgent_cap2,10,sym,38.620179038775014,21.323845680465283,55.36573655969509,739
cal_expanding_survival_logit_urgent_cap2,10,forward,41.60736810360725,-1.5753796066578378,84.36302753898511,739
cal_expanding_survival_logit_urgent_cap2,20,sym,46.13854296103368,13.847501103348119,78.88929798998188,724
cal_expanding_survival_logit_urgent_cap2,20,forward,27.846053337815636,-45.16094103465217,98.2717203256654,724
cal_expanding_survival_local_urgent_cap2,1,sym,16.05034251007686,11.375674771451726,20.880105097022156,673
cal_expanding_survival_local_urgent_cap2,1,forward,40.116023188839435,25.072627839313384,55.06329442643634,673
cal_expanding_survival_local_urgent_cap2,3,sym,30.3997424300825,23.16252997913866,37.80194233513579,672
