candidate,min_lift,mean_lift,min_rate,max_rate,min_forward,min_symmetric,cadence_penalty,selection_value,min_benefit_lower_ci,max_weekly_signals,early_forward_ratio_min,joint_early_pass
cny_hist50_urgent_cap2,1.3099425430926803,1.4097937509250202,1.2844036697247707,1.348623853211009,47.765673843118904,17.539238241098772,0.0,1.3099425430926803,7.37906754563444,2,1.0,True
cny50_hazard_hist_h5_urgent_cap2,1.3375037609066294,1.4129792048566885,1.2629969418960245,1.3914373088685015,54.88962556807014,17.937269012857666,0.0,1.3375037609066294,2.6322055544005574,2,0.9873788763949082,True
cal_expanding_cny_urgent_cap2,1.3363181162035367,1.3482336814668296,1.45565749235474,1.45565749235474,54.16422393366073,21.84247722977629,0.0,0.9289254029043587,-20.369635664958903,2,0.8593267069861148,False
cal_expanding_hist_urgent_cap2,1.2079294493854302,1.3140865622974613,1.2415902140672783,1.3700305810397553,31.05534677532169,7.741349265829165,0.0,0.8622121351983587,-17.285865709353573,2,0.6501603406102792,False
cal_expanding_extra_urgent_cap2,1.211550191704427,1.271396976553564,1.4984709480122325,1.5198776758409787,36.44813722413069,8.983938653807776,0.0,0.6961147029068312,-25.771774439879785,2,0.7630613009635452,False
cal_expanding_survival_hist_urgent_cap2,1.2784340659340658,1.3160312372321434,1.4128440366972477,1.45565749235474,43.20601226465206,14.950285414686585,0.0,1.0755717747230054,-10.143114560553018,2,0.9045410393781411,False
cal_expanding_survival_logit_urgent_cap2,0.968457126870891,1.0504432461401803,0.9847094801223242,1.0275229357798166,26.127336638494764,8.458386991143255,0.015290519877675823,-0.693804178530216,-81.58401328228777,2,0.16362818040655147,False
cal_expanding_survival_local_urgent_cap2,0.8601501649007087,0.9226602722734712,0.8990825688073394,1.1559633027522935,12.575613479914686,3.1724131598650778,0.10091743119266061,-0.6486472283489629,-65.34812654321752,2,0.22880162322352035,False
equal_expanding_h5_urgent_cap2,1.3045977011494254,1.3378698507155178,1.2844036697247707,1.3914373088685015,51.856318994624715,17.38660939681288,0.0,0.9456083767624723,-17.949466219347656,2,0.790007245335507,False
equal_expanding_mean_urgent_cap2,1.3338496336726167,1.3636721587644025,1.3058103975535167,1.3700305810397553,54.22469041720582,18.48810231601945,0.0,1.0123466248826047,-16.075150439500593,2,0.8306633516151036,False
cny50_probability_expanding_urgent_cap2,1.3018138170178717,1.3454662798759838,1.45565749235474,1.5198776758409787,52.161092047192255,20.10772932396518,0.0,0.8798851650986398,-21.096432595961595,2,0.8779994033379522,False
cal_rolling365_cny_urgent_cap2,1.3169511869831956,1.3286940628948465,1.4770642201834863,1.4770642201834863,52.110542010210246,21.340022083341672,0.0,0.9095584736840175,-20.369635664958903,2,0.8214302781864861,False
cal_rolling365_hist_urgent_cap2,1.2296982584042122,1.3452230156953247,1.2415902140672783,1.3272171253822629,32.67196128356554,8.194250880071623,0.0,0.8523054580416584,-18.869640018127694,2,0.6840050323768695,False
cal_rolling365_extra_urgent_cap2,1.2173810036614259,1.2688224370388437,1.4984709480122325,1.5412844036697246,37.15990733677684,8.801596345345176,0.0,0.6863296962150728,-26.552565372317655,2,0.7779625900144205,False
cal_rolling365_survival_hist_urgent_cap2,1.2720981940284966,1.3078957056636784,1.4128440366972477,1.4770642201834863,43.11450587527549,15.106423812940774,0.0,1.048962982073975,-11.156760597726073,2,0.8884331992329331,False
cal_rolling365_survival_logit_urgent_cap2,0.9287919029502547,1.0077409377139088,0.9418960244648318,1.0275229357798166,21.091307625199704,8.052372561145164,0.05810397553516822,-1.0433979617321367,-92.79909568060275,2,0.12109228489516748,False
cal_rolling365_survival_local_urgent_cap2,0.8375217542638357,0.9022724720810877,0.8990825688073394,1.1559633027522935,10.494842242306971,2.7504193865286504,0.10091743119266061,-0.7872876300853969,-71.14872609819557,2,0.19528926711866904,False
equal_rolling365_h5_urgent_cap2,1.295983716427543,1.334399457844142,1.2629969418960245,1.348623853211009,50.94480668446431,17.46227236713188,0.0,0.8607585832366765,-21.76125665954332,2,0.7846251605725078,False
equal_rolling365_mean_urgent_cap2,1.3297259729944402,1.364127864102367,1.3058103975535167,1.348623853211009,53.88844234396624,17.99236963712311,0.0,1.0382412919769073,-14.574234050876647,2,0.8391355353787354,False
cny50_probability_rolling365_urgent_cap2,1.2954079358002675,1.3363887055400525,1.45565749235474,1.4984709480122325,50.76646333057033,19.2106073970681,0.0,0.8209011494935428,-23.725339315336235,2,0.8577626373474538,False
cal_local365_cny_urgent_cap2,1.3282189643402789,1.3419936256688971,1.4770642201834863,1.5198776758409787,52.949847781635405,22.139313249454784,0.0,0.9677461746174638,-18.023639486140752,2,0.8322299808659555,False
cal_local365_hist_urgent_cap2,1.2315786817401837,1.359499966227698,1.2415902140672783,1.348623853211009,32.06631852108732,8.118966210889775,0.0,0.8549863306341356,-18.829617555302402,2,0.6713255763208871,False
