h,slice,group,n,mae_model,mae_prior,rmse_model,rmse_prior,spearman,positive_sign_accuracy,mean_predicted_bps,mean_actual_bps
3,ALL,ALL,3270,56.646565341868815,93.80195783653863,75.25500214091711,127.07118099100809,0.7915634058134017,0.789908256880734,-4.0592925758055385,0.013077588110356779
3,currency,AMD,654,54.41897825430985,89.91089818842572,71.8444055838304,122.28226427339045,0.7949710360806792,0.7782874617737003,-2.2977969608109046,1.3114350400243182
3,currency,KGS,654,54.68879094406214,88.82982180720134,71.93132112780891,120.95813751555285,0.7862000408185723,0.7798165137614679,-4.827281271565015,-1.3142108353052342
3,currency,KZT,654,60.603279186615275,99.78533209911731,81.57280034069514,135.9399394652029,0.7826742857044803,0.8042813455657493,-4.481727865370572,-2.5394114966669377
3,currency,TJS,654,55.1936801387027,93.31644330064863,74.05062164155173,125.65899198991272,0.7912511192664841,0.8073394495412844,-1.821408913125655,3.2159697892282946
3,currency,UZS,654,58.3280981856541,97.16729378730021,76.44100236351005,129.92979872017426,0.8006358731329606,0.7798165137614679,-6.86824786815555,-0.6083945567286618
3,year,2024,1240,57.03347985924582,87.67911035429773,78.9927493537169,127.52859048238886,0.7962526283909461,0.7903225806451613,-9.01321303164868,7.256533989141921
3,year,2025,1235,57.43625603975768,95.08355888863612,75.50082957172202,127.20477672959738,0.7765813959103394,0.7740890688259109,-5.900637311052915,-16.815124020400106
3,year,2026,795,54.81632381552889,101.36114472790761,68.60385061106047,126.14543643688339,0.830033848726547,0.8138364779874214,6.5280308371202524,14.857031109155992
5,ALL,ALL,3260,85.91482835057134,113.06480312266508,112.20310081798728,150.05731863772394,0.6646745163951775,0.7349693251533742,-3.581192060926422,-0.09564672834099179
5,currency,AMD,652,83.26323249152875,109.84175807585486,108.52531037552825,145.49905075212413,0.6730461094026595,0.7177914110429447,-0.35266581671829983,1.7642733875848715
5,currency,KGS,652,83.51448867380601,108.24254236076929,107.21641667617492,143.47265052599366,0.6610744311999217,0.7315950920245399,-5.981878914232984,-2.156089823429896
5,currency,KZT,652,88.79985123556088,117.21821997739808,120.15831207466654,159.5885635115757,0.6488517275834803,0.7653374233128835,-2.1490528186989475,-3.8114995780329335
5,currency,TJS,652,85.88574200010379,113.50947250953658,110.95621873598749,148.99638065684962,0.6734268038598339,0.74079754601227,-0.885155330158066,4.648394460487021
5,currency,UZS,652,88.11082735185728,116.5120226897667,113.68937387483462,152.1945732030709,0.6683247274796151,0.7193251533742331,-8.537207424823812,-0.923312088314035
5,year,2024,1240,84.42689608110084,102.90221275262586,116.53185623157155,146.33792400783764,0.6677816937420804,0.7209677419354839,-7.458830096985595,11.693101668126104
5,year,2025,1235,85.59660602632891,114.01843620495836,110.390639930698,149.53398912013967,0.6490915103601641,0.7336032388663968,-5.99395662009724,-25.190515100652323
5,year,2026,785,88.76583546468963,127.61751038663513,107.98246098275487,156.54152313501683,0.7206965686065353,0.759235668789809,6.339872136894391,20.763097766162563
10,ALL,ALL,3235,132.67922702134484,148.7753351863555,172.10242911147898,193.85148137393355,0.49838450401472223,0.6902627511591963,3.2097497188526694,-0.04757738701235021
10,currency,AMD,647,128.28462514653654,145.18463382255104,166.63384003705588,187.2575450297248,0.5088370606790942,0.7017001545595054,10.951511424926547,3.377110001774711
10,currency,KGS,647,128.65188745686893,142.20267080206082,165.34264885458393,185.99916261462315,0.491550622978839,0.6769706336939721,-0.8141080260815907,-3.767800763361106
10,currency,KZT,647,137.11052217113544,154.26330200088015,184.04534067762745,206.84413851890264,0.4832724027543174,0.6924265842349304,5.653239294834176,-7.022329846190906
10,currency,TJS,647,132.197011337201,150.46629535224287,170.64835623388194,192.7208856892292,0.50739731434029,0.7001545595054096,6.597785289695862,8.769791496498266
10,currency,UZS,647,137.15208899498217,151.75977395404257,173.1983067011425,195.71681090283016,0.5014988514816251,0.6800618238021638,-6.339679389111652,-1.5946578237827274
10,year,2024,1240,126.66181589916859,130.97479034701635,170.4566543959243,173.42198375230305,0.4615186320339531,0.6661290322580645,5.116895940374623,23.397704837758397
10,year,2025,1235,129.0770110200521,145.39545754290558,167.04723766759943,195.08723180326135,0.49574276695875674,0.6898785425101215,-3.750466430886265,-46.68102403232997
10,year,2026,760,148.35070932804877,183.31063056851497,182.551630250192,221.44853695842664,0.5691023028998173,0.7302631578947368,11.408441337589984,37.47894451858177
20,ALL,ALL,3185,197.08077528037765,206.9586148611476,252.98158001302403,262.5693749339095,0.3567682431468676,0.6379905808477238,37.63679679913375,-3.045306880422909
20,currency,AMD,637,191.82657085252953,201.2554155194742,246.07773541860178,251.62750105746474,0.3546244628129561,0.6279434850863422,53.691874340994936,3.976010587703284
20,currency,KGS,637,189.13626186534904,200.34512170233674,242.66046119363995,255.32931930880773,0.3741290775401752,0.6373626373626373,31.477476865732285,-9.477632940121042
20,currency,KZT,637,206.63941412358457,220.16200871710558,270.9723424685021,282.4967827781574,0.37393111582162614,0.6342229199372057,40.52214891669755,-18.582008748715037
20,currency,TJS,637,193.01303906494164,201.38818207900815,248.51673268926444,256.8441250024376,0.34340958790257053,0.6718995290423861,42.113619597379945,14.963232320413574
20,currency,UZS,637,204.78859049548342,211.64234628781333,255.6823635383529,265.38761435025367,0.3401907136454957,0.6185243328100472,20.378864274864036,-6.106135621395302
20,year,2024,1240,169.68798006987043,168.28707214696863,225.26521835695152,213.5806074371243,0.3124433089217922,0.6443548387096775,71.28356963914779,40.93648818714773
20,year,2025,1235,198.3267228984875,206.73392056088716,255.25310972560283,267.6205023310532,0.32717880255183485,0.6048582995951417,18.752176643873653,-87.85241284460831
20,year,2026,710,242.75446648131165,274.8884887011526,291.7903113088437,324.07211306623316,0.4295516231176253,0.6845070422535211,11.72201872889265,67.65800295335372
