model,period,target,n,brier_or_mse,mean_prediction,mean_target
positive_exp,early,h5,1135,0.2042712190442478,0.40884144949192647,0.3894273127753304
positive_exp,later,h5,3260,0.18005574703922286,0.3182730536360359,0.294478527607362
positive_730,early,h5,1135,0.2042712190442478,0.40884144949192647,0.3894273127753304
positive_730,later,h5,3260,0.17885865331067308,0.29471713138365735,0.294478527607362
logit_exp,early,h5,1135,0.20806539114838385,0.3898832360372719,0.3894273127753304
logit_exp,later,h5,3260,0.18074998118440774,0.31219819803376125,0.294478527607362
logit_context_exp,early,h5,1135,0.2280875309606443,0.3472282594347082,0.3894273127753304
logit_context_exp,later,h5,3260,0.18488826702456904,0.3037460304983145,0.294478527607362
logit_context730,early,h5,1135,0.2280875309606443,0.3472282594347082,0.3894273127753304
logit_context730,later,h5,3260,0.18286764224158425,0.2835009699689116,0.294478527607362
local_logit,early,h5,1135,0.2104243777683854,0.4027391471924421,0.3894273127753304
local_logit,later,h5,3260,0.1806454313841255,0.3100152328870489,0.294478527607362
shrunken_logit,early,h5,1135,0.2085641458405226,0.3959885545388686,0.3894273127753304
shrunken_logit,later,h5,3260,0.18050855288776835,0.3105879013215996,0.294478527607362
hist_experts,early,h5,1135,0.22892473910847713,0.39173254022781095,0.3894273127753304
hist_experts,later,h5,3260,0.18759548948737512,0.3078259035142172,0.294478527607362
hist_context,early,h5,1135,0.21030859282191555,0.3749718920024884,0.3894273127753304
hist_context,later,h5,3260,0.1888723781950966,0.3041113220347623,0.294478527607362
hist_context730,early,h5,1135,0.21030859282191555,0.3749718920024884,0.3894273127753304
hist_context730,later,h5,3260,0.1878870671241445,0.2891921338441958,0.294478527607362
hist_multi,early,mean5,1135,0.15391939614633332,0.40706038726358096,0.39964757709251103
hist_multi,later,mean5,3185,0.1287875417131393,0.3166871271874284,0.30712715855573
equal_residual,early,h5,1135,0.22396978348234636,0.3997894845170081,0.3894273127753304
equal_residual,later,h5,3260,0.19517077851732967,0.2499570513458328,0.294478527607362
local_residual,early,h5,1135,0.22695226158306145,0.3926768346736086,0.3894273127753304
local_residual,later,h5,3260,0.1909553075055167,0.26275740867064856,0.294478527607362
context_logit,early,h5,1135,0.203919342314535,0.3914606931711712,0.3894273127753304
context_logit,later,h5,3260,0.18648704349372547,0.3091491509745545,0.294478527607362
context_hist,early,h5,1135,0.19819636470188276,0.3710611217599227,0.3894273127753304
context_hist,later,h5,3260,0.1889595383456749,0.30410936998660587,0.294478527607362
