model,origin,currency,n_train,n_test,fitted,last_train_date,last_train_maturity,n_pairs,last_local_origin
positive_exp,2022-07-01,ALL,0,105,False,,,0,
positive_730,2022-07-01,ALL,0,105,False,,,0,
logit_exp,2022-07-01,ALL,0,105,False,,,0,
logit_context_exp,2022-07-01,ALL,0,105,False,,,0,
logit_context730,2022-07-01,ALL,0,105,False,,,0,
context_logit,2022-07-01,ALL,0,105,False,,,0,
local_logit,2022-07-01,TJS,0,21,False,,,0,
local_logit,2022-07-01,UZS,0,21,False,,,0,
local_logit,2022-07-01,KGS,0,21,False,,,0,
local_logit,2022-07-01,AMD,0,21,False,,,0,
local_logit,2022-07-01,KZT,0,21,False,,,0,
hist_experts,2022-07-01,ALL,0,105,False,,,0,
hist_context,2022-07-01,ALL,0,105,False,,,0,
hist_context730,2022-07-01,ALL,0,105,False,,,0,
context_hist,2022-07-01,ALL,0,105,False,,,0,
hist_multi,2022-07-01,ALL,0,105,False,,,0,
pairwise_context,2022-07-01,ALL,0,105,False,,,0,
equal_residual,2022-07-01,ALL,0,105,False,,,0,
local_residual,2022-07-01,ALL,0,105,False,,,0,
positive_exp,2022-08-01,ALL,5,115,False,2022-07-01,2022-07-29,0,
positive_730,2022-08-01,ALL,5,115,False,2022-07-01,2022-07-29,0,
logit_exp,2022-08-01,ALL,5,115,False,2022-07-01,2022-07-29,0,
logit_context_exp,2022-08-01,ALL,5,115,False,2022-07-01,2022-07-29,0,
logit_context730,2022-08-01,ALL,5,115,False,2022-07-01,2022-07-29,0,
context_logit,2022-08-01,ALL,5,115,False,2022-07-01,2022-07-29,0,
local_logit,2022-08-01,TJS,1,23,False,2022-07-01,2022-07-29,0,
local_logit,2022-08-01,UZS,1,23,False,2022-07-01,2022-07-29,0,
local_logit,2022-08-01,KGS,1,23,False,2022-07-01,2022-07-29,0,
local_logit,2022-08-01,AMD,1,23,False,2022-07-01,2022-07-29,0,
local_logit,2022-08-01,KZT,1,23,False,2022-07-01,2022-07-29,0,
hist_experts,2022-08-01,ALL,5,115,False,2022-07-01,2022-07-29,0,
hist_context,2022-08-01,ALL,5,115,False,2022-07-01,2022-07-29,0,
hist_context730,2022-08-01,ALL,5,115,False,2022-07-01,2022-07-29,0,
context_hist,2022-08-01,ALL,5,115,False,2022-07-01,2022-07-29,0,
hist_multi,2022-08-01,ALL,5,115,False,2022-07-01,2022-07-29,0,
pairwise_context,2022-08-01,ALL,5,115,False,2022-07-01,2022-07-29,0,
equal_residual,2022-08-01,ALL,5,115,False,2022-07-01,2022-07-29,0,
local_residual,2022-08-01,ALL,5,115,False,2022-07-01,2022-07-29,0,2022-07-01
positive_exp,2022-09-01,ALL,110,110,False,2022-08-01,2022-08-29,0,
positive_730,2022-09-01,ALL,110,110,False,2022-08-01,2022-08-29,0,
logit_exp,2022-09-01,ALL,110,110,False,2022-08-01,2022-08-29,0,
logit_context_exp,2022-09-01,ALL,110,110,False,2022-08-01,2022-08-29,0,
logit_context730,2022-09-01,ALL,110,110,False,2022-08-01,2022-08-29,0,
context_logit,2022-09-01,ALL,110,110,False,2022-08-01,2022-08-29,0,
local_logit,2022-09-01,TJS,22,22,False,2022-08-01,2022-08-29,0,
local_logit,2022-09-01,UZS,22,22,False,2022-08-01,2022-08-29,0,
local_logit,2022-09-01,KGS,22,22,False,2022-08-01,2022-08-29,0,
local_logit,2022-09-01,AMD,22,22,False,2022-08-01,2022-08-29,0,
local_logit,2022-09-01,KZT,22,22,False,2022-08-01,2022-08-29,0,
hist_experts,2022-09-01,ALL,110,110,False,2022-08-01,2022-08-29,0,
hist_context,2022-09-01,ALL,110,110,False,2022-08-01,2022-08-29,0,
hist_context730,2022-09-01,ALL,110,110,False,2022-08-01,2022-08-29,0,
context_hist,2022-09-01,ALL,110,110,False,2022-08-01,2022-08-29,0,
hist_multi,2022-09-01,ALL,110,110,False,2022-08-01,2022-08-29,0,
pairwise_context,2022-09-01,ALL,110,110,False,2022-08-01,2022-08-29,304,
equal_residual,2022-09-01,ALL,110,110,False,2022-08-01,2022-08-29,0,
local_residual,2022-09-01,ALL,110,110,False,2022-08-01,2022-08-29,0,2022-08-01
positive_exp,2022-10-01,ALL,220,105,True,2022-08-31,2022-09-28,0,
positive_730,2022-10-01,ALL,220,105,True,2022-08-31,2022-09-28,0,
logit_exp,2022-10-01,ALL,220,105,True,2022-08-31,2022-09-28,0,
logit_context_exp,2022-10-01,ALL,220,105,True,2022-08-31,2022-09-28,0,
logit_context730,2022-10-01,ALL,220,105,True,2022-08-31,2022-09-28,0,
context_logit,2022-10-01,ALL,220,105,True,2022-08-31,2022-09-28,0,
local_logit,2022-10-01,TJS,44,21,False,2022-08-31,2022-09-28,0,
local_logit,2022-10-01,UZS,44,21,False,2022-08-31,2022-09-28,0,
local_logit,2022-10-01,KGS,44,21,False,2022-08-31,2022-09-28,0,
local_logit,2022-10-01,AMD,44,21,False,2022-08-31,2022-09-28,0,
local_logit,2022-10-01,KZT,44,21,False,2022-08-31,2022-09-28,0,
hist_experts,2022-10-01,ALL,220,105,True,2022-08-31,2022-09-28,0,
hist_context,2022-10-01,ALL,220,105,True,2022-08-31,2022-09-28,0,
hist_context730,2022-10-01,ALL,220,105,True,2022-08-31,2022-09-28,0,
context_hist,2022-10-01,ALL,220,105,True,2022-08-31,2022-09-28,0,
hist_multi,2022-10-01,ALL,220,105,True,2022-08-31,2022-09-28,0,
pairwise_context,2022-10-01,ALL,220,105,True,2022-08-31,2022-09-28,688,
equal_residual,2022-10-01,ALL,220,105,True,2022-08-31,2022-09-28,0,
local_residual,2022-10-01,ALL,220,105,True,2022-08-31,2022-09-28,0,2022-08-01
positive_exp,2022-11-01,ALL,330,105,True,2022-09-30,2022-10-28,0,
positive_730,2022-11-01,ALL,330,105,True,2022-09-30,2022-10-28,0,
logit_exp,2022-11-01,ALL,330,105,True,2022-09-30,2022-10-28,0,
logit_context_exp,2022-11-01,ALL,330,105,True,2022-09-30,2022-10-28,0,
logit_context730,2022-11-01,ALL,330,105,True,2022-09-30,2022-10-28,0,
context_logit,2022-11-01,ALL,330,105,True,2022-09-30,2022-10-28,0,
local_logit,2022-11-01,TJS,66,21,True,2022-09-30,2022-10-28,0,
local_logit,2022-11-01,UZS,66,21,True,2022-09-30,2022-10-28,0,
local_logit,2022-11-01,KGS,66,21,True,2022-09-30,2022-10-28,0,
local_logit,2022-11-01,AMD,66,21,True,2022-09-30,2022-10-28,0,
local_logit,2022-11-01,KZT,66,21,True,2022-09-30,2022-10-28,0,
hist_experts,2022-11-01,ALL,330,105,True,2022-09-30,2022-10-28,0,
hist_context,2022-11-01,ALL,330,105,True,2022-09-30,2022-10-28,0,
hist_context730,2022-11-01,ALL,330,105,True,2022-09-30,2022-10-28,0,
context_hist,2022-11-01,ALL,330,105,True,2022-09-30,2022-10-28,0,
hist_multi,2022-11-01,ALL,330,105,True,2022-09-30,2022-10-28,0,
pairwise_context,2022-11-01,ALL,330,105,True,2022-09-30,2022-10-28,784,
equal_residual,2022-11-01,ALL,330,105,True,2022-09-30,2022-10-28,0,
local_residual,2022-11-01,ALL,330,105,True,2022-09-30,2022-10-28,0,2022-09-01
positive_exp,2022-12-01,ALL,430,110,True,2022-10-28,2022-11-28,0,
positive_730,2022-12-01,ALL,430,110,True,2022-10-28,2022-11-28,0,
logit_exp,2022-12-01,ALL,430,110,True,2022-10-28,2022-11-28,0,
logit_context_exp,2022-12-01,ALL,430,110,True,2022-10-28,2022-11-28,0,
logit_context730,2022-12-01,ALL,430,110,True,2022-10-28,2022-11-28,0,
context_logit,2022-12-01,ALL,430,110,True,2022-10-28,2022-11-28,0,
local_logit,2022-12-01,TJS,86,22,True,2022-10-28,2022-11-28,0,
local_logit,2022-12-01,UZS,86,22,True,2022-10-28,2022-11-28,0,
local_logit,2022-12-01,KGS,86,22,True,2022-10-28,2022-11-28,0,
local_logit,2022-12-01,AMD,86,22,True,2022-10-28,2022-11-28,0,
local_logit,2022-12-01,KZT,86,22,True,2022-10-28,2022-11-28,0,
hist_experts,2022-12-01,ALL,430,110,True,2022-10-28,2022-11-28,0,
hist_context,2022-12-01,ALL,430,110,True,2022-10-28,2022-11-28,0,
hist_context730,2022-12-01,ALL,430,110,True,2022-10-28,2022-11-28,0,
context_hist,2022-12-01,ALL,430,110,True,2022-10-28,2022-11-28,0,
hist_multi,2022-12-01,ALL,430,110,True,2022-10-28,2022-11-28,0,
pairwise_context,2022-12-01,ALL,430,110,True,2022-10-28,2022-11-28,1096,
equal_residual,2022-12-01,ALL,430,110,True,2022-10-28,2022-11-28,0,
local_residual,2022-12-01,ALL,430,110,True,2022-10-28,2022-11-28,0,2022-10-01
positive_exp,2023-01-01,ALL,545,85,True,2022-12-01,2022-12-29,0,
positive_730,2023-01-01,ALL,545,85,True,2022-12-01,2022-12-29,0,
logit_exp,2023-01-01,ALL,545,85,True,2022-12-01,2022-12-29,0,
logit_context_exp,2023-01-01,ALL,545,85,True,2022-12-01,2022-12-29,0,
logit_context730,2023-01-01,ALL,545,85,True,2022-12-01,2022-12-29,0,
context_logit,2023-01-01,ALL,545,85,True,2022-12-01,2022-12-29,0,
local_logit,2023-01-01,TJS,109,17,True,2022-12-01,2022-12-29,0,
local_logit,2023-01-01,UZS,109,17,True,2022-12-01,2022-12-29,0,
local_logit,2023-01-01,KGS,109,17,True,2022-12-01,2022-12-29,0,
local_logit,2023-01-01,AMD,109,17,True,2022-12-01,2022-12-29,0,
local_logit,2023-01-01,KZT,109,17,True,2022-12-01,2022-12-29,0,
hist_experts,2023-01-01,ALL,545,85,True,2022-12-01,2022-12-29,0,
hist_context,2023-01-01,ALL,545,85,True,2022-12-01,2022-12-29,0,
hist_context730,2023-01-01,ALL,545,85,True,2022-12-01,2022-12-29,0,
context_hist,2023-01-01,ALL,545,85,True,2022-12-01,2022-12-29,0,
hist_multi,2023-01-01,ALL,545,85,True,2022-12-01,2022-12-29,0,
pairwise_context,2023-01-01,ALL,545,85,True,2022-12-01,2022-12-29,1400,
equal_residual,2023-01-01,ALL,545,85,True,2022-12-01,2022-12-29,0,
local_residual,2023-01-01,ALL,545,85,True,2022-12-01,2022-12-29,0,2022-12-01
positive_exp,2023-02-01,ALL,625,90,True,2022-12-23,2023-01-27,0,
positive_730,2023-02-01,ALL,625,90,True,2022-12-23,2023-01-27,0,
logit_exp,2023-02-01,ALL,625,90,True,2022-12-23,2023-01-27,0,
logit_context_exp,2023-02-01,ALL,625,90,True,2022-12-23,2023-01-27,0,
logit_context730,2023-02-01,ALL,625,90,True,2022-12-23,2023-01-27,0,
context_logit,2023-02-01,ALL,625,90,True,2022-12-23,2023-01-27,0,
local_logit,2023-02-01,TJS,125,18,True,2022-12-23,2023-01-27,0,
local_logit,2023-02-01,UZS,125,18,True,2022-12-23,2023-01-27,0,
local_logit,2023-02-01,KGS,125,18,True,2022-12-23,2023-01-27,0,
local_logit,2023-02-01,AMD,125,18,True,2022-12-23,2023-01-27,0,
local_logit,2023-02-01,KZT,125,18,True,2022-12-23,2023-01-27,0,
hist_experts,2023-02-01,ALL,625,90,True,2022-12-23,2023-01-27,0,
hist_context,2023-02-01,ALL,625,90,True,2022-12-23,2023-01-27,0,
hist_context730,2023-02-01,ALL,625,90,True,2022-12-23,2023-01-27,0,
context_hist,2023-02-01,ALL,625,90,True,2022-12-23,2023-01-27,0,
hist_multi,2023-02-01,ALL,625,90,True,2022-12-23,2023-01-27,0,
pairwise_context,2023-02-01,ALL,625,90,True,2022-12-23,2023-01-27,1752,
equal_residual,2023-02-01,ALL,625,90,True,2022-12-23,2023-01-27,0,
local_residual,2023-02-01,ALL,625,90,True,2022-12-23,2023-01-27,0,2022-12-01
positive_exp,2023-03-01,ALL,715,110,True,2023-01-25,2023-02-22,0,
positive_730,2023-03-01,ALL,715,110,True,2023-01-25,2023-02-22,0,
logit_exp,2023-03-01,ALL,715,110,True,2023-01-25,2023-02-22,0,
logit_context_exp,2023-03-01,ALL,715,110,True,2023-01-25,2023-02-22,0,
logit_context730,2023-03-01,ALL,715,110,True,2023-01-25,2023-02-22,0,
context_logit,2023-03-01,ALL,715,110,True,2023-01-25,2023-02-22,0,
local_logit,2023-03-01,TJS,143,22,True,2023-01-25,2023-02-22,0,
local_logit,2023-03-01,UZS,143,22,True,2023-01-25,2023-02-22,0,
local_logit,2023-03-01,KGS,143,22,True,2023-01-25,2023-02-22,0,
local_logit,2023-03-01,AMD,143,22,True,2023-01-25,2023-02-22,0,
local_logit,2023-03-01,KZT,143,22,True,2023-01-25,2023-02-22,0,
hist_experts,2023-03-01,ALL,715,110,True,2023-01-25,2023-02-22,0,
hist_context,2023-03-01,ALL,715,110,True,2023-01-25,2023-02-22,0,
hist_context730,2023-03-01,ALL,715,110,True,2023-01-25,2023-02-22,0,
context_hist,2023-03-01,ALL,715,110,True,2023-01-25,2023-02-22,0,
hist_multi,2023-03-01,ALL,715,110,True,2023-01-25,2023-02-22,0,
pairwise_context,2023-03-01,ALL,715,110,True,2023-01-25,2023-02-22,2000,
equal_residual,2023-03-01,ALL,715,110,True,2023-01-25,2023-02-22,0,
local_residual,2023-03-01,ALL,715,110,True,2023-01-25,2023-02-22,0,2023-01-01
positive_exp,2023-04-01,ALL,825,100,True,2023-02-28,2023-03-29,0,
positive_730,2023-04-01,ALL,825,100,True,2023-02-28,2023-03-29,0,
