family,period,h,n,brier,forward_mse,forward_bias
global64,early,1,1135,0.19946125994391234,5863.87971470544,5.199210593702843
global64,early,3,1135,0.21172922099337257,14202.833789293698,9.126054432195836
global64,early,5,1135,0.2099952096414228,23636.06114210182,19.430705957432426
global64,early,10,1135,0.20984861495055215,53192.37664406713,53.89691487856641
global64,early,20,1135,0.19929156274629223,133674.21528352934,129.56858774510098
global64,later,1,3280,0.2018781205988082,6992.732243073338,-3.287429346349961
global64,later,3,3270,0.20124814679205044,14603.531586748035,-1.2257460070176809
global64,later,5,3260,0.19252096156505846,21624.848732862178,6.672644476803002
global64,later,10,3235,0.17220527629367902,40207.44539307503,31.62720614158584
global64,later,20,3185,0.14363002892449028,85178.1938268692,81.6978199113856
global128,early,1,1135,0.1978860788648243,6068.465756065945,4.062935536833939
global128,early,3,1135,0.2127074956694984,14106.470652886412,6.61927679188186
global128,early,5,1135,0.21060143857944572,23173.4470784211,14.686529406483823
global128,early,10,1135,0.20804913704727412,50807.124474617915,46.071953503088615
global128,early,20,1135,0.19780508246487102,122135.48970608895,118.67327687276564
global128,later,1,3280,0.1984871819351096,6808.767379002357,-3.4028747761095492
global128,later,3,3270,0.19831539761893574,14010.949893753203,-1.349160852075306
global128,later,5,3260,0.1890074385561587,20790.493953402183,5.830860741876253
global128,later,10,3235,0.1678172025921917,37992.14713556233,29.726515454999053
global128,later,20,3185,0.13894782467126476,79840.53956316614,79.36155512695191
wide128,early,1,1135,0.2264837587113256,7596.726342638743,-2.5135754568733213
wide128,early,3,1135,0.23564118751903065,16006.58029035165,-2.2633368322928664
wide128,early,5,1135,0.2283554471651274,25723.62692036588,4.907848576928513
wide128,early,10,1135,0.21036611119723098,52005.58210845162,31.686993446873377
wide128,early,20,1135,0.1987395973289963,106959.36701014795,93.773437029256
wide128,later,1,3280,0.22400731734980286,7804.4547044476385,-1.4885925680303822
wide128,later,3,3270,0.21261822356909965,14789.001018171364,-0.7365923555809091
wide128,later,5,3260,0.1958024139842942,21160.23052487735,3.0266729226496154
wide128,later,10,3235,0.17073632390053778,36707.705377588434,20.81537452413483
wide128,later,20,3185,0.13754881352944776,73841.06377504503,64.16425424209052
local32,early,1,1135,0.2024121914301383,6209.649451176288,3.9338669437751905
local32,early,3,1135,0.217306324793804,14434.986120991734,6.195336950693768
local32,early,5,1135,0.21554222514996962,23657.290488529037,13.47335322444505
local32,early,10,1135,0.21087547319499775,51385.84261563572,43.99271857606216
local32,early,20,1135,0.2002184506767266,121811.48267834134,113.8276763217061
local32,later,1,3280,0.2012847782907634,6881.459987489967,-3.5211109770671305
local32,later,3,3270,0.2003711225928516,14179.102909633753,-1.5035061504342844
local32,later,5,3260,0.19065735484091553,21044.968428377186,5.492539819935203
local32,later,10,3235,0.1692591492092186,38511.053997980394,29.699868349008195
