origin,currency,n_library,n_structure,n_estimation,fitted,split_date,last_structure_maturity,last_library_maturity,last_library_date
2022-07-01,ALL,475,175,190,True,2022-04-01,2022-03-29,2022-06-28,2022-05-30
2022-07-01,AMD,95,35,38,True,2022-04-01,2022-03-29,2022-06-28,2022-05-30
2022-07-01,KGS,95,35,38,True,2022-04-01,2022-03-29,2022-06-28,2022-05-30
2022-07-01,KZT,95,35,38,True,2022-04-01,2022-03-29,2022-06-28,2022-05-30
2022-07-01,TJS,95,35,38,True,2022-04-01,2022-03-29,2022-06-28,2022-05-30
2022-07-01,UZS,95,35,38,True,2022-04-01,2022-03-29,2022-06-28,2022-05-30
2022-08-01,ALL,590,240,240,True,2022-04-20,2022-04-15,2022-07-29,2022-07-01
2022-08-01,AMD,118,48,48,True,2022-04-20,2022-04-15,2022-07-29,2022-07-01
2022-08-01,KGS,118,48,48,True,2022-04-20,2022-04-15,2022-07-29,2022-07-01
2022-08-01,KZT,118,48,48,True,2022-04-20,2022-04-15,2022-07-29,2022-07-01
2022-08-01,TJS,118,48,48,True,2022-04-20,2022-04-15,2022-07-29,2022-07-01
2022-08-01,UZS,118,48,48,True,2022-04-20,2022-04-15,2022-07-29,2022-07-01
2022-09-01,ALL,695,305,280,True,2022-05-13,2022-05-06,2022-08-29,2022-08-01
2022-09-01,AMD,139,61,56,True,2022-05-13,2022-05-06,2022-08-29,2022-08-01
2022-09-01,KGS,139,61,56,True,2022-05-13,2022-05-06,2022-08-29,2022-08-01
2022-09-01,KZT,139,61,56,True,2022-05-13,2022-05-06,2022-08-29,2022-08-01
2022-09-01,TJS,139,61,56,True,2022-05-13,2022-05-06,2022-08-29,2022-08-01
2022-09-01,UZS,139,61,56,True,2022-05-13,2022-05-06,2022-08-29,2022-08-01
2022-10-01,ALL,805,370,325,True,2022-06-01,2022-05-27,2022-09-28,2022-08-31
2022-10-01,AMD,161,74,65,True,2022-06-01,2022-05-27,2022-09-28,2022-08-31
2022-10-01,KGS,161,74,65,True,2022-06-01,2022-05-27,2022-09-28,2022-08-31
2022-10-01,KZT,161,74,65,True,2022-06-01,2022-05-27,2022-09-28,2022-08-31
2022-10-01,TJS,161,74,65,True,2022-06-01,2022-05-27,2022-09-28,2022-08-31
2022-10-01,UZS,161,74,65,True,2022-06-01,2022-05-27,2022-09-28,2022-08-31
2022-11-01,ALL,915,440,370,True,2022-06-21,2022-06-17,2022-10-28,2022-09-30
2022-11-01,AMD,183,88,74,True,2022-06-21,2022-06-17,2022-10-28,2022-09-30
2022-11-01,KGS,183,88,74,True,2022-06-21,2022-06-17,2022-10-28,2022-09-30
2022-11-01,KZT,183,88,74,True,2022-06-21,2022-06-17,2022-10-28,2022-09-30
2022-11-01,TJS,183,88,74,True,2022-06-21,2022-06-17,2022-10-28,2022-09-30
2022-11-01,UZS,183,88,74,True,2022-06-21,2022-06-17,2022-10-28,2022-09-30
2022-12-01,ALL,1015,495,410,True,2022-07-07,2022-07-04,2022-11-28,2022-10-28
2022-12-01,AMD,203,99,82,True,2022-07-07,2022-07-04,2022-11-28,2022-10-28
2022-12-01,KGS,203,99,82,True,2022-07-07,2022-07-04,2022-11-28,2022-10-28
2022-12-01,KZT,203,99,82,True,2022-07-07,2022-07-04,2022-11-28,2022-10-28
2022-12-01,TJS,203,99,82,True,2022-07-07,2022-07-04,2022-11-28,2022-10-28
2022-12-01,UZS,203,99,82,True,2022-07-07,2022-07-04,2022-11-28,2022-10-28
2023-01-01,ALL,1130,565,455,True,2022-07-27,2022-07-22,2022-12-29,2022-12-01
2023-01-01,AMD,226,113,91,True,2022-07-27,2022-07-22,2022-12-29,2022-12-01
2023-01-01,KGS,226,113,91,True,2022-07-27,2022-07-22,2022-12-29,2022-12-01
2023-01-01,KZT,226,113,91,True,2022-07-27,2022-07-22,2022-12-29,2022-12-01
2023-01-01,TJS,226,113,91,True,2022-07-27,2022-07-22,2022-12-29,2022-12-01
2023-01-01,UZS,226,113,91,True,2022-07-27,2022-07-22,2022-12-29,2022-12-01
2023-02-01,ALL,1210,615,485,True,2022-08-10,2022-08-05,2023-01-27,2022-12-23
2023-02-01,AMD,242,123,97,True,2022-08-10,2022-08-05,2023-01-27,2022-12-23
2023-02-01,KGS,242,123,97,True,2022-08-10,2022-08-05,2023-01-27,2022-12-23
2023-02-01,KZT,242,123,97,True,2022-08-10,2022-08-05,2023-01-27,2022-12-23
