clock,model,period,h,n,brier
1810,hist,early,5,1135,0.2024642437209437
1810,survival,early,1,1135,0.1929752146766592
1810,survival,early,3,1135,0.21099790875581761
1810,survival,early,5,1135,0.21111764636675526
1810,survival,early,10,1135,0.20696798276982561
1810,survival,early,20,1135,0.2089601027401463
1810,hist,later,5,3260,0.1869051649233028
1810,survival,later,1,3280,0.1928417622984999
1810,survival,later,3,3270,0.19263396848238762
1810,survival,later,5,3260,0.1862473728885479
1810,survival,later,10,3235,0.17044429281966328
1810,survival,later,20,3185,0.14225647575814415
1830,hist,early,5,1135,0.2169734266725476
1830,survival,early,1,1135,0.19847769332018234
1830,survival,early,3,1135,0.21953361614540615
1830,survival,early,5,1135,0.22250025790477024
1830,survival,early,10,1135,0.2182650799485789
1830,survival,early,20,1135,0.21713118598787592
1830,hist,later,5,3260,0.18813240554943836
1830,survival,later,1,3280,0.19511862481865774
1830,survival,later,3,3270,0.19524453588365934
1830,survival,later,5,3260,0.1882768668416019
1830,survival,later,10,3235,0.17159393252408753
1830,survival,later,20,3185,0.1413297108120427
1850,hist,early,5,1135,0.2036634027371569
1850,survival,early,1,1135,0.187751519513767
1850,survival,early,3,1135,0.20958004145008613
1850,survival,early,5,1135,0.2105956201635957
1850,survival,early,10,1135,0.20566987057769484
1850,survival,early,20,1135,0.20799627861092898
1850,hist,later,5,3260,0.18266896137620647
1850,survival,later,1,3280,0.18875479418898203
1850,survival,later,3,3270,0.19002256424168967
1850,survival,later,5,3260,0.18497703309934227
1850,survival,later,10,3235,0.1701446527529918
1850,survival,later,20,3185,0.1415911332269543
1930,hist,early,5,1135,0.21043592259568744
1930,survival,early,1,1135,0.18974603846566196
1930,survival,early,3,1135,0.21533595370099562
1930,survival,early,5,1135,0.2190098687876142
1930,survival,early,10,1135,0.21205760167325147
1930,survival,early,20,1135,0.21457079094145318
1930,hist,later,5,3260,0.18430787965193152
1930,survival,later,1,3280,0.1863015872538279
1930,survival,later,3,3270,0.18919763602805797
1930,survival,later,5,3260,0.18426112608120335
1930,survival,later,10,3235,0.1683544030710402
1930,survival,later,20,3185,0.14072266973822808
