model,period,h,n,brier,mean_probability,event_rate
quarter_direct_full20,early,5,1135,0.2169734266725476,0.3334069688408694,0.3894273127753304
quarter_direct_full20,later,5,3260,0.18813240554943836,0.28504454947372293,0.294478527607362
quarter_direct_mature5,early,5,1135,0.21903346846756097,0.2727206655965523,0.3894273127753304
quarter_direct_mature5,later,5,3260,0.1863274922642881,0.2913057254205158,0.294478527607362
quarter_coarse_full20,early,1,1135,0.19847769332018234,0.5743560533864115,0.5744493392070484
quarter_coarse_full20,early,3,1135,0.21953361614540615,0.4168593403178669,0.45198237885462555
quarter_coarse_full20,early,5,1135,0.22250025790477024,0.3389986766042656,0.3894273127753304
quarter_coarse_full20,early,10,1135,0.2182650799485789,0.2596498762479535,0.31541850220264317
quarter_coarse_full20,early,20,1135,0.21713118598787592,0.1855153062153477,0.2669603524229075
quarter_coarse_full20,later,1,3280,0.19511862481865774,0.5033511322024358,0.5161585365853658
quarter_coarse_full20,later,3,3270,0.19524453588365934,0.3445697053974389,0.354434250764526
quarter_coarse_full20,later,5,3260,0.1882768668416019,0.2686601781688216,0.294478527607362
quarter_coarse_full20,later,10,3235,0.17159393252408753,0.1925346705686162,0.22812982998454404
quarter_coarse_full20,later,20,3185,0.1413297108120427,0.1336424939685078,0.16577708006279435
quarter_coarse_partial,early,1,1135,0.19688256625934164,0.5924175030349053,0.5744493392070484
quarter_coarse_partial,early,3,1135,0.21127034253374205,0.4104762837795691,0.45198237885462555
quarter_coarse_partial,early,5,1135,0.2074520774855593,0.32047678477069336,0.3894273127753304
quarter_coarse_partial,early,10,1135,0.19663061625493952,0.24024635962267302,0.31541850220264317
quarter_coarse_partial,early,20,1135,0.2060230751827617,0.15813972448567282,0.2669603524229075
quarter_coarse_partial,later,1,3280,0.1931641673490649,0.505605004495579,0.5161585365853658
quarter_coarse_partial,later,3,3270,0.19135459486860643,0.34267241452125036,0.354434250764526
quarter_coarse_partial,later,5,3260,0.18292965235596084,0.26630538592032765,0.294478527607362
quarter_coarse_partial,later,10,3235,0.16574867336072518,0.1882581614629326,0.22812982998454404
quarter_coarse_partial,later,20,3185,0.13663990048487545,0.129735167748795,0.16577708006279435
quarter_fine_full20,early,1,1135,0.19009955180268542,0.5864475038341186,0.5744493392070484
quarter_fine_full20,early,3,1135,0.21636176134932641,0.46097372451123475,0.45198237885462555
quarter_fine_full20,early,5,1135,0.21909051948668148,0.3997966913244775,0.3894273127753304
quarter_fine_full20,early,10,1135,0.2102252081182895,0.30496584672559485,0.31541850220264317
quarter_fine_full20,early,20,1135,0.20251600909492046,0.20372624899153144,0.2669603524229075
quarter_fine_full20,later,1,3280,0.19175262401225934,0.5064089191064319,0.5161585365853658
quarter_fine_full20,later,3,3270,0.1954915863970045,0.35708594435706303,0.354434250764526
quarter_fine_full20,later,5,3260,0.19150067632005457,0.29374304772607984,0.294478527607362
quarter_fine_full20,later,10,3235,0.177340501709277,0.19841502629150043,0.22812982998454404
quarter_fine_full20,later,20,3185,0.14614128820854133,0.1092996248596375,0.16577708006279435
quarter_fine_partial,early,1,1135,0.19208004655776845,0.5883360410294964,0.5744493392070484
quarter_fine_partial,early,3,1135,0.20571367833595927,0.435022335192277,0.45198237885462555
quarter_fine_partial,early,5,1135,0.2102077854864363,0.35924818031147193,0.3894273127753304
quarter_fine_partial,early,10,1135,0.21445431737024157,0.25241747749054333,0.31541850220264317
quarter_fine_partial,early,20,1135,0.2145033681335201,0.15666912919273798,0.2669603524229075
quarter_fine_partial,later,1,3280,0.18937335038597755,0.5043207296611874,0.5161585365853658
quarter_fine_partial,later,3,3270,0.19084140155559154,0.3486837631015678,0.354434250764526
