candidate,control,h,metric,block_dates,draws,estimate,ci_lo,ci_hi,difference,delta_lo,delta_hi
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,1,lift,20,1000,1.4781098936911305,1.3921467473530478,1.5642011377886145,-0.025151878279492834,-0.060060577745757404,0.01179578761517585
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,1,sym,20,1000,20.95826479558971,16.59382254090846,25.78170176402231,1.2807663777059233,-0.3255479475541155,2.9335884320966366
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,1,forward,20,1000,47.443237243622896,36.91918328064494,57.57803187803144,-0.7556748264476099,-4.084276171138348,2.444298748253452
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,3,lift,20,1000,1.51111406356797,1.3846316852220344,1.655233071041467,-0.036476734023679125,-0.09189164347338329,0.012603304420489592
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,3,sym,20,1000,32.89684376572411,25.945113061866333,40.69899051772054,2.8199524525936006,0.29779469477284376,5.476193234728975
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,3,forward,20,1000,55.061202358739784,37.552762208449295,71.6880165488591,1.2473858981449837,-2.296729612453271,5.186575753973089
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,5,lift,20,1000,1.612490327289397,1.4683677739281327,1.7805625478154945,-0.017567176245751215,-0.07773218709066321,0.031199251453282107
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,5,sym,20,1000,36.818448209814015,29.231277206223986,45.60715116897533,3.424830158894487,0.2706375420817487,6.5455390409091745
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,5,forward,20,1000,55.76591837390501,32.86621865756767,78.6127733315676,0.8587254940569622,-3.3821413714594155,5.07358915470623
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,10,lift,20,1000,1.5662653568935914,1.4267255934772995,1.7205398945973003,0.031407958287939186,-0.017057609190984334,0.07857872624368274
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,10,sym,20,1000,43.364862364168125,30.38881641516295,56.81225573736564,5.7153529181103195,1.5717800138945117,10.459449635304246
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,10,forward,20,1000,56.731605328324406,18.779047438832265,92.75517020701004,2.754102016472231,-2.3660670182571812,8.745762366373334
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,20,lift,20,1000,1.571702123246788,1.4321045225157119,1.7340052851984118,0.025113642253458357,-0.031047714398307023,0.09025447695110445
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,20,sym,20,1000,52.18956627941422,26.682609980783372,79.183547342226,5.318200747979169,0.024846152726054452,11.299910292319531
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,20,forward,20,1000,53.94242835667427,-12.991693759224423,113.06096863011292,2.2473582189766077,-4.630464178472736,10.171807488836206
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,1,lift,50,1000,1.4781098936911305,1.3939526000905107,1.5766471897875705,-0.025151878279492834,-0.060427788534521965,0.007658239317723562
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,1,sym,50,1000,20.95826479558971,16.026318447201884,26.113980710724768,1.2807663777059233,-0.06437203024746763,2.91550442500996
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,1,forward,50,1000,47.443237243622896,37.12246453101958,57.86887843196435,-0.7556748264476099,-3.627354051819492,2.8902089274776435
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,3,lift,50,1000,1.51111406356797,1.3816042734913407,1.65055111085407,-0.036476734023679125,-0.0909383042723471,0.014610598354611218
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,3,sym,50,1000,32.89684376572411,24.922493412977722,41.5054989239209,2.8199524525936006,0.3490314096259748,5.361038539979464
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,3,forward,50,1000,55.061202358739784,38.86273591138873,71.86484250223013,1.2473858981449837,-2.1649859771085316,5.4437820087135105
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,5,lift,50,1000,1.612490327289397,1.4627854897356778,1.798317264461705,-0.017567176245751215,-0.0705131215393373,0.028796927839363905
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,5,sym,50,1000,36.818448209814015,28.0904842010527,46.03721825535738,3.424830158894487,0.4825406740533925,6.148715976031815
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,5,forward,50,1000,55.76591837390501,33.65321967095835,81.51145787723388,0.8587254940569622,-2.9141677360533778,4.659537568746206
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,10,lift,50,1000,1.5662653568935914,1.4329287048401431,1.7346986670522628,0.031407958287939186,-0.009531216868232556,0.07451664270892824
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,10,sym,50,1000,43.364862364168125,31.80932794277152,56.53066614654721,5.7153529181103195,1.2540482719197439,9.836316669078883
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,10,forward,50,1000,56.731605328324406,17.412703762441488,99.20983181660112,2.754102016472231,-1.9159334325163702,7.507775546651286
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,20,lift,50,1000,1.571702123246788,1.4222213808289141,1.7709502452814108,0.025113642253458357,-0.01813305620446106,0.08874361842094086
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,20,sym,50,1000,52.18956627941422,31.911944224574498,76.23943608622406,5.318200747979169,0.57526184313421,10.24375377414368
cny50_quarter_fine_full20_urgent_cap2,cny_hist50_urgent_cap2,20,forward,50,1000,53.94242835667427,-21.504836943275127,131.41206928094107,2.2473582189766077,-3.533693195570875,9.691945201397548
