packet,n_events,n_policies,index_gap_always1,effective_h1_fully_known,original_targets_exact,unchanged_signals,panel_sha256
ap1/publication,19326,28,True,True,True,True,1887d494397c3e0baaff342ab8693fd66eddbae734c36cf836a4c7d8cfa24ad5
ap1/effective,19326,28,True,True,True,True,1887d494397c3e0baaff342ab8693fd66eddbae734c36cf836a4c7d8cfa24ad5
ap2,5755,55,True,True,True,True,b131819df3552fb6db22b437556e93b9034c0375de338c31766a6d7fc89df44f
ap2_delay20,5755,55,True,True,True,True,b131819df3552fb6db22b437556e93b9034c0375de338c31766a6d7fc89df44f
ap3,5755,57,True,True,True,True,b131819df3552fb6db22b437556e93b9034c0375de338c31766a6d7fc89df44f
ap4,5755,46,True,True,True,True,b131819df3552fb6db22b437556e93b9034c0375de338c31766a6d7fc89df44f
ap5,5755,66,True,True,True,True,313d0ef75b7e942210189e6491f011b0675f7fd92ad549b30ac8b6820a71a786
ap6,5755,51,True,True,True,True,b131819df3552fb6db22b437556e93b9034c0375de338c31766a6d7fc89df44f
ap7,5755,70,True,True,True,True,313d0ef75b7e942210189e6491f011b0675f7fd92ad549b30ac8b6820a71a786
ap8,5755,20,True,True,True,True,b131819df3552fb6db22b437556e93b9034c0375de338c31766a6d7fc89df44f
ap9,5755,34,True,True,True,True,313d0ef75b7e942210189e6491f011b0675f7fd92ad549b30ac8b6820a71a786
