all,top80,top140
accel_20_60,share_above_sma_20,share_above_sma_20
accel_5_20,cny_raw_ret_20,cny_raw_ret_20
autocorr_30,cny_ret_20,cny_ret_20
bars_since_max_30,bars_since_min_30,bars_since_min_30
bars_since_max_90,usd_ret_20,usd_ret_20
bars_since_min_30,usd_raw_ret_20,usd_raw_ret_20
bars_since_min_90,quarter_cos,quarter_cos
cny_ret_20,accel_5_20,accel_5_20
cny_ret_5,calendar_week,calendar_week
currency_AMD,raw_ret_30,raw_ret_30
currency_KGS,ret_kurt_20,ret_kurt_20
currency_KZT,eur_ret_20,eur_ret_20
currency_TJS,eur_raw_ret_20,eur_raw_ret_20
currency_UZS,slope_z_20,slope_z_20
days_beaten_180,raw_ret_15,raw_ret_15
days_beaten_30,slope_z_60,slope_z_60
days_beaten_90,calendar_doy,calendar_doy
days_since_payday,calendar_month,calendar_month
days_to_payday,rank_level_60,rank_level_60
dist_max_180,macd_5_20,macd_5_20
dist_max_30,days_beaten_90,days_beaten_90
dist_max_90,annual_sin_1,annual_sin_1
dist_min_180,ret_20,ret_20
dist_min_30,macd_20_60,macd_20_60
dist_min_90,z_90,z_90
dom_cos,bars_since_max_30,bars_since_max_30
dom_sin,usd_pct_range_90,usd_pct_range_90
dow_cos,dist_max_30,dist_max_30
dow_sin,drawdown_30,drawdown_30
drawdown_30,up_share_14,up_share_14
drawdown_90,raw_ret_45,raw_ret_45
eur_ret_20,dist_max_90,dist_max_90
eur_ret_5,drawdown_90,drawdown_90
excess_ret_20,pre_new_year_14,pre_new_year_14
excess_ret_5,month_cos,month_cos
gap_days,range_pos_60,range_pos_60
in_payday_window,level_vs_mean_60,level_vs_mean_60
is_after_gap,vs_sma_60,vs_sma_60
is_month_end,cny_raw_ret_10,cny_raw_ret_10
is_month_start,post_new_year_7,post_new_year_7
month_cos,ret_mad_250,ret_mad_250
month_sin,days_beaten_30,days_beaten_30
pct_range_180,cnyusd_ret_60,cnyusd_ret_60
pct_range_30,pct_range_30,pct_range_30
pct_range_90,level_vs_ema_60,level_vs_ema_60
pct_x_vol,raw_ret1_lag_10,raw_ret1_lag_10
peer_dispersion_5,dom_cos,dom_cos
peer_ret_5_mean,is_month_05,is_month_05
pre_holiday_14d,usd_raw_ret_10,usd_raw_ret_10
quarter_cos,rank_level_120,rank_level_120
quarter_sin,z_30,z_30
range_width_30,is_month_02,is_month_02
range_width_90,positive_share_20,positive_share_20
rel_to_peers_5,ret_median_20,ret_median_20
ret_1,positive_share_60,positive_share_60
ret_10,pct_range_90,pct_range_90
ret_120,is_month_11,is_month_11
ret_20,ret_kurt_250,ret_kurt_250
ret_250,eur_raw_ret_10,eur_raw_ret_10
ret_3,level_vs_ema_120,level_vs_ema_120
ret_5,is_month_end,is_month_end
ret_60,level_vs_ema_20,level_vs_ema_20
share_above_sma_20,annual_cos_4,annual_cos_4
share_above_sma_60,ret_ac1_60,ret_ac1_60
since_eid_adha,ret_ac5_60,ret_ac5_60
since_eid_fitr,level_vs_mean_20,level_vs_mean_20
since_navruz,vs_sma_20,vs_sma_20
since_new_year,days_beaten_180,days_beaten_180
since_sep_first,range_pos_120,range_pos_120
skew_30,dist_max_180,dist_max_180
streak_dn,ret_median_60,ret_median_60
streak_up,pre_sep_first_14,pre_sep_first_14
to_any_holiday,last_week_month,last_week_month
to_eid_adha,pre_sep_first_7,pre_sep_first_7
to_eid_fitr,z_180,z_180
to_navruz,cny_raw_ret_60,cny_raw_ret_60
to_new_year,eur_raw_ret_60,eur_raw_ret_60
to_sep_first,ret_mad_20,ret_mad_20
up_share_14,month_sin,month_sin
usd_pct_range_90,annual_sin_2,annual_sin_2
usd_ret_20,currency_AMD,rank_level_250
usd_ret_5,currency_KGS,pct_range_180
vol_10,currency_KZT,ret_10
vol_30,currency_TJS,range_pos_250
vol_90,currency_UZS,rank_level_20
vol_of_vol,pct_range_180,level_vs_mean_120
vol_ratio,,annual_sin_3
vs_sma_20,,ret_60
vs_sma_60,,positive_share_250
week_of_month_cos,,week_of_month_sin
week_of_month_sin,,is_month_08
z_180,,share_above_sma_60
z_30,,range_pos_20
z_90,,ret_ac5_20
annual_cos_1,,is_month_04
annual_cos_2,,bars_since_max_90
annual_cos_3,,max_up_5
annual_cos_4,,ret_median_250
annual_sin_1,,is_dow_6
annual_sin_2,,year_end
annual_sin_3,,dist_min_30
annual_sin_4,,rank_level_500
beta_cny_120,,is_month_03
beta_eur_120,,usd_raw_ret_60
beta_usd_120,,annual_cos_1
calendar_dom,,skew_30
calendar_dow,,days_to_payday
calendar_doy,,ret_250
calendar_month,,dist_min_90
calendar_week,,high_vol_regime
cny_raw_ret_1,,days_since_payday
cny_raw_ret_10,,level_vs_mean_250
cny_raw_ret_120,,max_up_120
cny_raw_ret_2,,raw_ret1_lag_9
