currency,lag,label_autocorrelation
TJS,1,0.37010791852151625
TJS,2,0.22078916799198903
TJS,3,0.10912456750074989
TJS,4,0.06344698545540725
TJS,5,0.02166851492260791
TJS,6,0.01245264596549978
TJS,7,0.029294156875707814
TJS,8,0.029198757018765082
TJS,9,0.018677543233883858
TJS,10,0.043715930586849416
UZS,1,0.3888605630291347
UZS,2,0.2252498074442046
UZS,3,0.1482997039230383
UZS,4,0.08040641101656096
UZS,5,0.019283141013630017
UZS,6,0.015125108339226315
UZS,7,0.0272466862328234
UZS,8,0.023088530256506163
UZS,9,0.026073139825384384
UZS,10,0.0317763257767074
KGS,1,0.3658718611458206
KGS,2,0.20239590239607777
KGS,3,0.11018546971343383
KGS,4,0.058531818974017866
KGS,5,-0.00900064489204154
KGS,6,-0.017031723549717052
KGS,7,-0.009192400510415885
KGS,8,-0.002674427173647049
KGS,9,0.01442806901154219
KGS,10,0.02925200783269917
AMD,1,0.3643395639005524
AMD,2,0.19248850658037123
AMD,3,0.10342438518679983
AMD,4,0.050209325908065684
AMD,5,0.002167208523237963
AMD,6,-0.019611362709896895
AMD,7,0.0036247369276448723
AMD,8,0.014261874906561762
AMD,9,0.019352535190867718
AMD,10,0.018322250927219095
KZT,1,0.34870166324172286
KZT,2,0.18017975431340397
KZT,3,0.10674615134799635
KZT,4,0.0399610696612581
KZT,5,-0.0017260950407812434
KZT,6,-0.011212420689225944
KZT,7,0.016879566859312724
KZT,8,0.012762193499185438
KZT,9,0.03317006263619447
KZT,10,0.030757490098393358
