block,currency,month,n,base_rate_h5,benefit_h5_bps
development,AMD,1,92,0.2717391304347826,30.996065184438752
development,AMD,2,117,0.1623931623931624,-46.867062366118816
development,AMD,3,126,0.19047619047619047,-42.06332490120366
development,AMD,4,130,0.2076923076923077,-46.70239954802392
development,AMD,5,114,0.30701754385964913,43.02274537938939
development,AMD,6,121,0.24793388429752067,-1.993109846197639
development,AMD,7,133,0.3007518796992481,43.950118566357816
development,AMD,8,133,0.3458646616541353,35.563589127712625
development,AMD,9,128,0.296875,16.147432664591896
development,AMD,10,133,0.2631578947368421,0.29918119376467567
development,AMD,11,122,0.30327868852459017,37.22721893699209
development,AMD,12,134,0.26119402985074625,21.9271857622285
development,KGS,1,92,0.17391304347826086,24.07245729051637
development,KGS,2,117,0.13675213675213677,-58.26234071772541
development,KGS,3,126,0.21428571428571427,-39.69077638141849
development,KGS,4,130,0.2230769230769231,-13.591897764088282
development,KGS,5,114,0.42105263157894735,70.0420158118741
development,KGS,6,121,0.19834710743801653,-18.79972509756564
development,KGS,7,133,0.3082706766917293,42.29887119025491
development,KGS,8,133,0.3157894736842105,28.416417059240917
development,KGS,9,128,0.265625,-21.60593187488196
development,KGS,10,133,0.21804511278195488,-10.526840334933514
development,KGS,11,122,0.3442622950819672,37.548329839502124
development,KGS,12,134,0.26865671641791045,24.73966276908188
development,KZT,1,93,0.21505376344086022,22.50921601773311
development,KZT,2,117,0.19658119658119658,-65.8216057210598
development,KZT,3,126,0.23015873015873015,-39.57831273311383
development,KZT,4,130,0.2076923076923077,-34.55937462435032
development,KZT,5,114,0.34210526315789475,47.26454831480661
development,KZT,6,121,0.2231404958677686,-9.921251652633767
development,KZT,7,133,0.3007518796992481,25.70880634191876
development,KZT,8,133,0.3082706766917293,-13.501232357902465
development,KZT,9,128,0.2734375,-19.32857216906384
development,KZT,10,133,0.2706766917293233,-9.1763337617842
development,KZT,11,122,0.3524590163934426,45.3961679337891
development,KZT,12,134,0.23134328358208955,11.426372707003859
development,TJS,1,92,0.13043478260869565,-14.232113794731857
development,TJS,2,117,0.18803418803418803,-35.71984121798156
development,TJS,3,126,0.18253968253968253,-65.9083470627846
development,TJS,4,130,0.18461538461538463,-61.53274437691535
development,TJS,5,114,0.32456140350877194,44.79551484075054
development,TJS,6,121,0.17355371900826447,-11.898375061804998
development,TJS,7,133,0.3007518796992481,31.84873230386359
development,TJS,8,133,0.3308270676691729,34.66602196174375
development,TJS,9,128,0.296875,4.498703188784657
development,TJS,10,133,0.2781954887218045,0.7551215555553105
development,TJS,11,122,0.36065573770491804,56.863287273312906
development,TJS,12,134,0.26119402985074625,24.58825516336765
development,UZS,1,92,0.22826086956521738,27.827557019964186
development,UZS,2,117,0.15384615384615385,-51.80078669143757
development,UZS,3,126,0.18253968253968253,-58.04542851658726
development,UZS,4,130,0.16923076923076924,-51.23466813661166
development,UZS,5,114,0.34210526315789475,37.185694831701674
development,UZS,6,121,0.19008264462809918,-12.79805733495209
development,UZS,7,133,0.2857142857142857,27.73850105710748
development,UZS,8,133,0.2781954887218045,25.59484984185854
development,UZS,9,128,0.2734375,-0.9335661544563045
development,UZS,10,133,0.21052631578947367,-16.522395891959775
development,UZS,11,122,0.3442622950819672,45.330766400277355
development,UZS,12,134,0.23880597014925373,25.103961283292705
general_validation,AMD,1,65,0.2153846153846154,1.1952222971627398
general_validation,AMD,2,77,0.2857142857142857,7.756635343997918
general_validation,AMD,3,83,0.24096385542168675,24.794239993815832
general_validation,AMD,4,81,0.2839506172839506,42.417792642348296
general_validation,AMD,5,74,0.20270270270270271,-32.86620692779195
general_validation,AMD,6,82,0.3048780487804878,24.71204872433709
