block,dimension,state,n,base_rate_h5,benefit_h5_bps,currencies
development,trend_state,down,2847,0.2880224798033017,22.60852790321603,5
development,trend_state,flat,1540,0.2688311688311688,3.550428449538336,5
development,trend_state,up,3029,0.2202046880158468,-18.792144109831195,5
development,vol_state,normal,4328,0.25046210720887246,-4.839102571633631,5
development,vol_state,quiet,2123,0.2491756947715497,-3.8194400105683934,5
development,vol_state,shock,965,0.29844559585492225,43.487089447184886,5
development,position_state,high,1855,0.31805929919137466,28.567108982318203,5
development,position_state,low,2726,0.23624358033749082,-6.476112043496777,5
development,position_state,middle,2835,0.23527336860670195,-7.910183946229869,5
general_validation,trend_state,down,1524,0.2526246719160105,-0.2108902207266671,5
general_validation,trend_state,flat,1446,0.24204702627939143,-0.16924842280458635,5
general_validation,trend_state,up,1945,0.24318766066838046,-17.83437903568055,5
general_validation,vol_state,normal,3218,0.23368551895587322,-4.033409533014978,5
general_validation,vol_state,quiet,1240,0.2620967741935484,-20.66889129986512,5
general_validation,vol_state,shock,457,0.28665207877461707,7.341225271145325,5
general_validation,position_state,high,1022,0.25146771037182,5.141441559794236,5
general_validation,position_state,low,2032,0.25984251968503935,-13.661359397222089,5
general_validation,position_state,middle,1861,0.22729715206878023,-6.850439612636191,5
transition,trend_state,down,344,0.21220930232558138,-14.888710217847173,5
transition,trend_state,flat,420,0.2119047619047619,5.610154149270097,5
transition,trend_state,up,476,0.26260504201680673,8.509888954967618,5
transition,vol_state,normal,793,0.2421185372005044,4.523617540544273,5
transition,vol_state,quiet,397,0.21662468513853905,-2.854941713349968,5
transition,vol_state,shock,50,0.18,-23.371225582661413,5
transition,position_state,high,169,0.20710059171597633,-21.408520788850744,5
transition,position_state,low,470,0.25957446808510637,13.39107066411183,5
transition,position_state,middle,601,0.21630615640599002,-2.3136566197973116,5
shock_adaptation,trend_state,down,1334,0.34182908545727136,15.12090668531268,5
shock_adaptation,trend_state,flat,342,0.38596491228070173,22.386464510306478,5
shock_adaptation,trend_state,up,794,0.2795969773299748,-12.937069815322468,5
shock_adaptation,vol_state,normal,1247,0.29029671210906177,-23.585339438850504,5
shock_adaptation,vol_state,quiet,834,0.4136690647482014,80.50606191345051,5
shock_adaptation,vol_state,shock,389,0.2647814910025707,-51.8655794555405,5
shock_adaptation,position_state,high,1054,0.3747628083491461,48.25199179857959,5
shock_adaptation,position_state,low,562,0.19572953736654805,-47.255557933326486,5
shock_adaptation,position_state,middle,854,0.35714285714285715,-7.897598184786293,5
retrospective_final,trend_state,down,1297,0.36237471087124135,16.902284277656616,5
retrospective_final,trend_state,flat,617,0.3225283630470016,5.567923374026506,5
retrospective_final,trend_state,up,1346,0.2161961367013373,-18.167158700594932,5
retrospective_final,vol_state,normal,1952,0.24743852459016394,-23.39337819359387,5
retrospective_final,vol_state,quiet,1074,0.3789571694599628,38.81130333284374,5
retrospective_final,vol_state,shock,234,0.29914529914529914,20.87696697997973,5
retrospective_final,position_state,high,953,0.3746065057712487,24.218418826708792,5
retrospective_final,position_state,low,1187,0.22577927548441448,-18.169510727632115,5
retrospective_final,position_state,middle,1120,0.29910714285714285,-0.5430965082678151,5
