candidate,base,correction,correction_scope,state_features,first_scored_year,last_scored_year
local_logit_top80_5y__global_ridge_residual,local_logit_top80_5y,ridge_residual,global,72,2019,2026
local_logit_top80_5y__global_hist_residual,local_logit_top80_5y,hist_residual,global,72,2019,2026
local_logit_top80_5y__global_extra_residual,local_logit_top80_5y,extra_residual,global,72,2019,2026
local_logit_top80_5y__global_hist_stack,local_logit_top80_5y,hist_stack,global,72,2019,2026
local_logit_top80_5y__global_xgb_offset,local_logit_top80_5y,xgb_offset,global,72,2019,2026
local_cat_top80_5y__global_ridge_residual,local_cat_top80_5y,ridge_residual,global,72,2019,2026
local_cat_top80_5y__global_hist_residual,local_cat_top80_5y,hist_residual,global,72,2019,2026
local_cat_top80_5y__global_extra_residual,local_cat_top80_5y,extra_residual,global,72,2019,2026
local_cat_top80_5y__global_hist_stack,local_cat_top80_5y,hist_stack,global,72,2019,2026
local_cat_top80_5y__global_xgb_offset,local_cat_top80_5y,xgb_offset,global,72,2019,2026
logit_top80_expand__local_ridge_residual,logit_top80_expand,ridge_residual,local,72,2019,2026
logit_top80_expand__local_hist_residual,logit_top80_expand,hist_residual,local,72,2019,2026
logit_top80_expand__local_extra_residual,logit_top80_expand,extra_residual,local,72,2019,2026
hist_top80_expand__local_ridge_residual,hist_top80_expand,ridge_residual,local,72,2019,2026
hist_top80_expand__local_hist_residual,hist_top80_expand,hist_residual,local,72,2019,2026
hist_top80_expand__local_extra_residual,hist_top80_expand,extra_residual,local,72,2019,2026
extra_top80_5y__local_ridge_residual,extra_top80_5y,ridge_residual,local,72,2019,2026
extra_top80_5y__local_hist_residual,extra_top80_5y,hist_residual,local,72,2019,2026
extra_top80_5y__local_extra_residual,extra_top80_5y,extra_residual,local,72,2019,2026
