rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,candidate,stage1_rate,stage1_rolling,stage1_cooldown,robustness,clears_1p30_gate
0.18,231,0.9109859154929578,120,0,0.3246753246753247,0.22186234817813766,1.4634088539198027,0.5088354588058364,4.183587357131191,1.4634088539198027,1.4634088539198027,1,1,0.7492957746478873,1.123943661971831,1.0517523747133966,0.9424778761061947,1.4634088539198027,0.9109859154929578,0.9109859154929578,quarterly_reset_hist_anchor50,0.18,120,0,1.0517523747133966,True
0.18,183,0.7216901408450704,120,0,0.3005464480874317,0.22186234817813766,1.3546527860875115,0.49958224781059873,-5.585190109619079,1.3546527860875115,1.3546527860875115,1,1,0.6112676056338028,0.8084507042253521,1.0099954566106317,0.8764044943820225,1.3546527860875115,0.7216901408450704,0.7216901408450704,quarterly_decay_hist_anchor25,0.18,120,0,1.0099954566106317,False
0.18,198,0.7808450704225353,120,0,0.2878787878787879,0.22186234817813766,1.2975558504755587,0.493355841314932,-19.08635763644802,1.2975558504755587,1.2975558504755587,1,1,0.6901408450704225,0.8676056338028169,0.993963782696177,0.8238341968911918,1.2975558504755587,0.7808450704225353,0.7808450704225353,quarterly_decay1_hist,0.18,120,0,0.993963782696177,False
0.18,188,0.7414084507042253,120,0,0.26595744680851063,0.22186234817813766,1.1987498058704766,0.5060232270217306,-7.580450386974376,1.1987498058704766,1.1987498058704766,1,1,0.6112676056338028,0.8676056338028169,0.8977737392094502,0.8797814207650273,1.1987498058704766,0.7414084507042253,0.7414084507042253,quarterly_reset_hist_anchor25,0.18,120,0,0.8977737392094502,False
0.22,276,1.0884507042253522,120,0,0.22826086956521738,0.22186234817813766,1.0288400507775308,0.5027761531859302,-36.67875521706924,1.0288400507775308,1.0288400507775308,1,1,0.9859154929577465,1.2619718309859154,0.7653521126760564,0.8892988929889298,1.0288400507775308,1.0884507042253522,1.0884507042253522,quarterly_reset_hist,0.22,120,0,0.7653521126760564,False
0.3,232,0.9149295774647886,250,0,0.1939655172413793,0.22186234817813766,0.8742606342813994,0.5162011894544157,-34.05464121224337,0.8742606342813994,0.8742606342813994,0,1,0.571830985915493,1.3211267605633803,0.6813793103448276,0.933920704845815,0.8742606342813994,0.9149295774647886,0.9149295774647886,anchor_multiscale_locked,0.3,250,0,0.6813793103448276,False
0.18,209,0.824225352112676,120,0,0.19617224880382775,0.22186234817813766,0.8842070338420703,0.46548987140828063,-43.1650841207931,0.8842070338420703,0.8842070338420703,0,1,0.7492957746478873,0.9267605633802817,0.6788045345242185,0.8823529411764706,0.8842070338420703,0.824225352112676,0.824225352112676,quarterly_window3_hist,0.18,120,0,0.6788045345242185,False
0.18,246,0.9701408450704225,120,0,0.17479674796747968,0.22186234817813766,0.787861254524954,0.4614414729182649,-61.72448133763479,0.787861254524954,0.787861254524954,0,1,0.7690140845070422,1.2816901408450705,0.6534391534391534,0.9004149377593361,0.787861254524954,0.9701408450704225,0.9701408450704225,quarterly_reset_extra,0.18,120,0,0.6534391534391534,False
0.22,159,0.6270422535211267,250,0,0.18867924528301888,0.22186234817813766,0.8504338245420742,0.48753959151431364,-76.85481921227559,0.8504338245420742,0.8504338245420742,0,1,0.571830985915493,0.6507042253521127,0.6325224071702945,0.9090909090909091,0.8504338245420742,0.6270422535211267,0.6270422535211267,quarterly_window2_hist,0.22,250,0,0.6325224071702945,False
0.2,278,1.096338028169014,120,0,0.18345323741007194,0.22186234817813766,0.8268786430709447,0.46890594499342986,-55.73713734197674,0.8268786430709447,0.8268786430709447,0,1,0.9070422535211268,1.3211267605633803,0.5218309859154929,0.9084249084249084,0.8268786430709447,1.096338028169014,1.096338028169014,quarterly_reset_tree_consensus,0.2,120,0,0.5218309859154929,False
0.25,27,0.10647887323943662,500,0,0.25925925925925924,0.22186234817813766,1.168559070018924,0.5162125826959447,12.61528090261667,1.168559070018924,1.168559070018924,1,1,0.0,0.2563380281690141,0.0,0.6956521739130435,1.168559070018924,0.10647887323943662,0.10647887323943662,quarterly_reset_logit,0.25,500,0,0.0,False
