candidate,quarter,n_train,first_train,last_resolved,rank_window
quarterly_reset_hist_qrank60,2023-01-01,1050,2022-02-25,2022-12-31,60
quarterly_reset_hist_qrank60,2023-04-01,1330,2022-02-25,2023-03-31,60
quarterly_reset_hist_qrank60,2023-07-01,1635,2022-02-25,2023-06-30,60
quarterly_reset_hist_qrank60,2023-10-01,1965,2022-02-25,2023-09-30,60
quarterly_reset_hist_qrank60,2024-01-01,2285,2022-02-25,2023-12-30,60
quarterly_reset_hist_qrank60,2024-04-01,2570,2022-02-25,2024-03-30,60
quarterly_reset_hist_qrank60,2024-07-01,2870,2022-02-25,2024-06-29,60
quarterly_reset_hist_qrank60,2024-10-01,3195,2022-02-25,2024-09-28,60
quarterly_reset_hist_qrank60,2025-01-01,3525,2022-02-25,2024-12-29,60
quarterly_reset_hist_qrank60,2025-04-01,3810,2022-02-25,2025-03-29,60
quarterly_reset_hist_qrank60,2025-07-01,4105,2022-02-25,2025-06-28,60
quarterly_reset_hist_qrank60,2025-10-01,4435,2022-02-25,2025-09-30,60
quarterly_reset_hist_qrank60,2026-01-01,4760,2022-02-25,2025-12-31,60
quarterly_reset_hist_qrank60,2026-04-01,5030,2022-02-25,2026-03-31,60
quarterly_reset_hist_qrank60,2026-07-01,5340,2022-02-25,2026-06-30,60
quarterly_reset_hist_qrank120,2023-01-01,1050,2022-02-25,2022-12-31,120
quarterly_reset_hist_qrank120,2023-04-01,1330,2022-02-25,2023-03-31,120
quarterly_reset_hist_qrank120,2023-07-01,1635,2022-02-25,2023-06-30,120
quarterly_reset_hist_qrank120,2023-10-01,1965,2022-02-25,2023-09-30,120
quarterly_reset_hist_qrank120,2024-01-01,2285,2022-02-25,2023-12-30,120
quarterly_reset_hist_qrank120,2024-04-01,2570,2022-02-25,2024-03-30,120
quarterly_reset_hist_qrank120,2024-07-01,2870,2022-02-25,2024-06-29,120
quarterly_reset_hist_qrank120,2024-10-01,3195,2022-02-25,2024-09-28,120
quarterly_reset_hist_qrank120,2025-01-01,3525,2022-02-25,2024-12-29,120
quarterly_reset_hist_qrank120,2025-04-01,3810,2022-02-25,2025-03-29,120
quarterly_reset_hist_qrank120,2025-07-01,4105,2022-02-25,2025-06-28,120
quarterly_reset_hist_qrank120,2025-10-01,4435,2022-02-25,2025-09-30,120
quarterly_reset_hist_qrank120,2026-01-01,4760,2022-02-25,2025-12-31,120
quarterly_reset_hist_qrank120,2026-04-01,5030,2022-02-25,2026-03-31,120
quarterly_reset_hist_qrank120,2026-07-01,5340,2022-02-25,2026-06-30,120
quarterly_reset_hist_qrank250,2023-01-01,1050,2022-02-25,2022-12-31,250
quarterly_reset_hist_qrank250,2023-04-01,1330,2022-02-25,2023-03-31,250
quarterly_reset_hist_qrank250,2023-07-01,1635,2022-02-25,2023-06-30,250
quarterly_reset_hist_qrank250,2023-10-01,1965,2022-02-25,2023-09-30,250
quarterly_reset_hist_qrank250,2024-01-01,2285,2022-02-25,2023-12-30,250
quarterly_reset_hist_qrank250,2024-04-01,2570,2022-02-25,2024-03-30,250
quarterly_reset_hist_qrank250,2024-07-01,2870,2022-02-25,2024-06-29,250
quarterly_reset_hist_qrank250,2024-10-01,3195,2022-02-25,2024-09-28,250
quarterly_reset_hist_qrank250,2025-01-01,3525,2022-02-25,2024-12-29,250
quarterly_reset_hist_qrank250,2025-04-01,3810,2022-02-25,2025-03-29,250
quarterly_reset_hist_qrank250,2025-07-01,4105,2022-02-25,2025-06-28,250
quarterly_reset_hist_qrank250,2025-10-01,4435,2022-02-25,2025-09-30,250
quarterly_reset_hist_qrank250,2026-01-01,4760,2022-02-25,2025-12-31,250
quarterly_reset_hist_qrank250,2026-04-01,5030,2022-02-25,2026-03-31,250
quarterly_reset_hist_qrank250,2026-07-01,5340,2022-02-25,2026-06-30,250
quarterly_reset_extra_qrank120,2023-01-01,1050,2022-02-25,2022-12-31,120
quarterly_reset_extra_qrank120,2023-04-01,1330,2022-02-25,2023-03-31,120
quarterly_reset_extra_qrank120,2023-07-01,1635,2022-02-25,2023-06-30,120
quarterly_reset_extra_qrank120,2023-10-01,1965,2022-02-25,2023-09-30,120
quarterly_reset_extra_qrank120,2024-01-01,2285,2022-02-25,2023-12-30,120
quarterly_reset_extra_qrank120,2024-04-01,2570,2022-02-25,2024-03-30,120
quarterly_reset_extra_qrank120,2024-07-01,2870,2022-02-25,2024-06-29,120
quarterly_reset_extra_qrank120,2024-10-01,3195,2022-02-25,2024-09-28,120
quarterly_reset_extra_qrank120,2025-01-01,3525,2022-02-25,2024-12-29,120
quarterly_reset_extra_qrank120,2025-04-01,3810,2022-02-25,2025-03-29,120
quarterly_reset_extra_qrank120,2025-07-01,4105,2022-02-25,2025-06-28,120
quarterly_reset_extra_qrank120,2025-10-01,4435,2022-02-25,2025-09-30,120
quarterly_reset_extra_qrank120,2026-01-01,4760,2022-02-25,2025-12-31,120
quarterly_reset_extra_qrank120,2026-04-01,5030,2022-02-25,2026-03-31,120
quarterly_reset_extra_qrank120,2026-07-01,5340,2022-02-25,2026-06-30,120
