rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,candidate,rate,rolling,cooldown,family,robustness
0.22,1019,0.9831840110268781,120,0,0.3071638861629048,0.24577822990844353,1.2497603480883088,0.5337378541045489,16.28620771407058,1.0475811946400182,1.2600511930219072,4,4,0.9648518263266713,1.0034458993797382,1.028242677824268,0.796844181459566,1.2636103012704765,0.7632876712328767,1.3408450704225352,invariant_summary_hist,0.22,120,0,invariant,1.028242677824268
0.25,1292,1.2465885596140591,120,0,0.2654798761609907,0.24577822990844353,1.0801602577245608,0.5193947998863793,3.6827304138576316,0.9673959673959673,1.037834015269464,2,4,1.2253618194348725,1.2784286698828395,0.99223417937906,0.8142968142968143,1.053161665615345,1.064788732394366,1.384180790960452,path_analogue_knn250,0.25,120,0,analogue,0.9673959673959673
0.2,1250,1.206064782908339,0,0,0.248,0.24577822990844353,1.0090397350993379,0.49034033964738266,-5.520629400725089,0.9640303483897493,1.0308277627648983,3,4,1.0854583046175053,1.2977257064093728,0.9682344250184685,0.9188755020080321,1.0952603622463484,0.0672316384180791,2.3701408450704227,era_logit_median,0.2,0,0,era,0.9640303483897493
0.18,627,0.604962095106823,250,3,0.2631578947368421,0.24577822990844353,1.0707127919135586,0.5140067475708209,-13.15719357010857,0.9640897610822422,1.0428106882321937,2,4,0.5499655410062027,0.6560992419021365,0.9619044405452828,0.5385852090032154,1.0551988687240068,0.5245070422535212,0.664406779661017,path_analogue_knn100,0.18,250,3,analogue,0.9619044405452828
0.25,1552,1.4974500344589938,250,0,0.2777061855670103,0.24577822990844353,1.1299055480644502,0.5257051274034983,11.299071035977478,1.0762862211709048,1.1190251934885207,4,4,1.4135079255685734,1.6161268090971743,0.9428404620581327,0.9301874595992243,1.1242682617547417,1.0174647887323944,1.9945205479452053,invariant_extra_anchor50,0.25,250,0,ensemble,0.9428404620581327
0.25,1238,1.1944865609924191,500,0,0.26009693053311794,0.24577822990844353,1.0582586205051943,0.5015628433409497,3.1346179578507765,0.9270168855534708,1.1064808806245583,3,4,1.124052377670572,1.2398345968297726,0.9708729146838581,0.8564476885644768,1.0955969809865702,0.8067796610169491,2.0507042253521126,new_triad_equal,0.25,500,0,ensemble,0.9270168855534708
0.18,1109,1.0700206753962784,0,0,0.2551848512173129,0.24577822990844353,1.0382728011035538,0.4917627202518236,-3.6852581280578285,1.0030018761726078,1.0155658729696688,3,3,1.0179186767746382,1.124052377670572,0.9097815398260803,0.9094202898550725,0.9140357031117867,0.03163841807909605,2.011267605633803,era_logit_lower,0.18,0,0,era,0.9097815398260803
0.35,1975,1.9055823569951758,120,0,0.26936708860759495,0.24577822990844353,1.095976192472127,0.524826621194554,6.100513073763472,0.9052466941561211,1.1277812564311334,3,4,1.828394210889042,1.9586492074431427,0.9983992227950674,0.918274111675127,1.1186033997130804,1.7203389830508475,2.1019718309859154,invariant_summary_extra,0.35,120,0,invariant,0.9052466941561211
0.3,1422,1.3720192970365266,250,0,0.2545710267229255,0.24577822990844353,1.035775328098658,0.5083929276453889,2.3737676256110736,0.9031114952463267,1.057240688845818,3,4,1.3459682977257064,1.4038594073053068,0.9268666391655372,0.8899082568807339,1.0311484949847673,0.9016949152542374,1.691830985915493,new_triad_anchor25,0.3,250,0,ensemble,0.9031114952463267
0.4,2006,1.9354927636113026,120,0,0.2522432701894317,0.24577822990844353,1.026304365050544,0.4899898527396709,2.1554577026355672,0.9152794477382976,1.0287633059742816,3,4,1.881461061337009,2.0068917987594763,0.8997123430962344,0.9225387306346826,1.025882154745212,1.5898305084745765,2.143502824858757,stable_invariant_logit,0.4,120,0,stable,0.8997123430962344
