hypothesis,subset,n,share,lift,benefit_bps
cba_freshness,control,515,0.25495049504950495,0.9135186547745096,-24.638856664271266
cba_freshness,challenger,515,0.25495049504950495,1.3920284263230622,29.142204724498573
cba_freshness,intersection,125,0.06188118811881188,1.2844362292051754,7.195690975029661
cba_freshness,control_only,390,0.19306930693069307,0.7946348168159628,-34.84223731789336
cba_freshness,challenger_only,390,0.19306930693069307,1.4265131048864874,36.17634374676425
cba_freshness,neither,1115,0.551980198019802,0.8907603424981142,-14.1780352981011
cba_on_primary,control,544,0.2693069306930693,1.8463221702729151,71.28443344868988
cba_on_primary,challenger,506,0.2504950495049505,1.9259459498951583,87.15076290787897
cba_on_primary,intersection,452,0.22376237623762377,1.8586524463055958,86.07220735407502
cba_on_primary,control_only,92,0.04554455445544554,1.7857429880253957,-1.3685426951588517
cba_on_primary,challenger_only,54,0.026732673267326732,2.4892174984596425,96.17867235823798
cba_on_primary,neither,1422,0.7039603960396039,0.6196786177599953,-41.041579874596714
cba_on_label_free_geometry,control,527,0.2608910891089109,1.9271361278397232,84.68914312706514
cba_on_label_free_geometry,challenger,535,0.26485148514851486,1.9471729403838514,85.28894873540864
cba_on_label_free_geometry,intersection,472,0.23366336633663368,1.9064663679939846,84.69305089154939
cba_on_label_free_geometry,control_only,55,0.027227722772277228,2.1045202486976975,84.65560740276398
cba_on_label_free_geometry,challenger_only,63,0.031188118811881188,2.2521491652730097,89.75345321638592
cba_on_label_free_geometry,neither,1430,0.7079207920792079,0.6031565477036827,-45.226847873314696
cba_geometry_vs_regime,control,531,0.2628712871287129,1.9407458462566705,81.68743814660326
cba_geometry_vs_regime,challenger,535,0.26485148514851486,1.9471729403838514,85.28894873540864
cba_geometry_vs_regime,intersection,466,0.2306930693069307,1.9390256479417385,87.13401459996007
cba_geometry_vs_regime,control_only,65,0.03217821782178218,1.953078344945258,42.63967465022975
cba_geometry_vs_regime,challenger_only,69,0.03415841584158416,2.002196683543626,72.82806912843817
cba_geometry_vs_regime,neither,1420,0.7029702970297029,0.5995157637135196,-44.21824852391052
