rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,passed_2025
0.3,112,0.6968888888888888,250.0,0.0,0.5803571428571429,0.3401273885350318,1.7062934724451582,0.6060474599800443,120.07290870222228,1.7062934724451582,1.7062934724451582,1.0,1.0,0.591111111111111,0.7777777777777777,1.4322807017543862,0.9158878504672897,1.7062934724451582,0.6968888888888888,0.6968888888888888,0.03111111111111111,2.15,3.0,broad_full_extra,rolling,0.3,250,0,0,0.0,0.0,0,0,1.4322807017543862,False
0.25,269,1.6737777777777776,20.0,0.0,0.4944237918215613,0.3401273885350318,1.4536429834454145,0.6099843824562926,72.48469513246569,1.4536429834454145,1.4536429834454145,1.0,1.0,1.6177777777777775,1.711111111111111,1.3261858349577649,0.8787878787878788,1.4536429834454145,1.6737777777777776,1.6737777777777776,1.0733333333333333,2.125,3.0,broad_full_hist_anchor50,rolling,0.25,20,0,0,0.0,0.0,0,0,1.3261858349577649,False
0.35,324,2.0159999999999996,20.0,0.0,0.4537037037037037,0.3401273885350318,1.3339228741850466,0.59862551154686,60.004623405767646,1.3339228741850466,1.3339228741850466,1.0,1.0,1.9599999999999997,2.0844444444444443,1.2744173867504582,0.8934169278996865,1.3339228741850466,2.0159999999999996,2.0159999999999996,1.3844444444444444,2.5090909090909093,3.0,broad_full_hist_anchor25,rolling,0.35,20,0,0,0.0,0.0,0,0,1.2744173867504582,False
0.3,224,1.3937777777777776,40.0,0.0,0.46875,0.3401273885350318,1.3781601123595506,0.5539998264717366,71.10515016248296,1.3781601123595506,1.3781601123595506,1.0,1.0,1.3066666666666666,1.5555555555555554,1.2170542635658916,0.867579908675799,1.3781601123595506,1.3937777777777776,1.3937777777777776,0.8866666666666667,2.1818181818181817,3.0,broad_factor_hist,rolling,0.3,40,0,0,0.0,0.0,0,0,1.2170542635658916,False
0.35,315,1.9599999999999997,20.0,0.0,0.4444444444444444,0.3401273885350318,1.3066999583853516,0.5656406808092201,46.59725070212003,1.3066999583853516,1.3066999583853516,1.0,1.0,1.8355555555555554,2.1466666666666665,1.1975591151792526,0.8903225806451613,1.3066999583853516,1.9599999999999997,1.9599999999999997,1.5866666666666664,2.290909090909091,3.0,broad_full_hist,rolling,0.35,20,0,0,0.0,0.0,0,0,1.1975591151792526,False
0.3,312,1.9413333333333331,20.0,0.0,0.4519230769230769,0.3401273885350318,1.3286876980697206,0.5953284745419576,60.93780596851508,1.3286876980697206,1.3286876980697206,1.0,1.0,1.8666666666666665,2.022222222222222,1.1935672514619884,0.8827361563517915,1.3286876980697206,1.9413333333333331,1.9413333333333331,1.4155555555555555,2.525,3.0,broad_full_tree_consensus,rolling,0.3,20,0,0,0.0,0.0,0,0,1.1935672514619884,False
0.35,307,1.910222222222222,120.0,0.0,0.4495114006514658,0.3401273885350318,1.3215971891812759,0.6035529911934405,74.30333582418017,1.3215971891812759,1.3215971891812759,1.0,1.0,1.7733333333333332,2.0533333333333332,1.1671126969967291,0.9437086092715232,1.3215971891812759,1.910222222222222,1.910222222222222,0.7933333333333332,4.425,3.0,packet_e_cbr_anchor50,rolling,0.35,120,0,0,0.0,0.0,0,0,1.1671126969967291,False
0.35,317,1.9724444444444442,20.0,0.0,0.4353312302839117,0.3401273885350318,1.2799064261156206,0.6011669775714719,62.72038343309743,1.2799064261156206,1.2799064261156206,1.0,1.0,1.8666666666666665,2.0844444444444443,1.1476608187134505,0.9134615384615384,1.2799064261156206,1.9724444444444442,1.9724444444444442,1.5866666666666664,2.3272727272727276,3.0,broad_factor_hist_anchor50,rolling,0.35,20,0,0,0.0,0.0,0,0,1.1476608187134505,False
0.25,233,1.4497777777777776,20.0,0.0,0.43776824034334766,0.3401273885350318,1.2870714182379324,0.6043194076901941,62.97127060951826,1.2870714182379324,1.2870714182379324,1.0,1.0,1.2755555555555553,1.5866666666666664,1.1420624732563116,0.8333333333333334,1.2870714182379324,1.4497777777777776,1.4497777777777776,1.3844444444444444,1.5454545454545454,3.0,broad_factor_tree_consensus,rolling,0.25,20,0,0,0.0,0.0,0,0,1.1420624732563116,False
,205,1.2755555555555553,,,0.4146341463414634,0.3401273885350318,1.219055448981456,0.593043685740315,36.875452660574936,1.219055448981456,,,,1.2133333333333332,1.3377777777777777,1.130004498425551,0.845,1.219055448981456,1.2755555555555553,1.2755555555555553,1.1666666666666665,1.425,,broad_full_hist_packet_e50,weekly,0.0,0,0,40,0.9,0.0,4,2,1.130004498425551,False
,215,1.3377777777777777,,,0.39069767441860465,0.3401273885350318,1.1486804285341,0.5777117406330889,57.462633533451886,1.1486804285341,,,,1.3066666666666666,1.3688888888888888,1.114870509607352,0.8714285714285714,1.1486804285341,1.3377777777777777,1.3377777777777777,1.1199999999999999,1.65,,anchor_multiscale_locked,weekly,0.0,0,0,40,0.75,0.3,3,2,1.114870509607352,False
0.35,310,1.9288888888888887,20.0,0.0,0.3903225806451613,0.3401273885350318,1.1475776247432645,0.5844287304961462,30.72599590546031,1.1475776247432645,1.1475776247432645,1.0,1.0,1.8666666666666665,1.9911111111111108,1.0836928386540121,0.8918032786885246,1.1475776247432645,1.9288888888888887,1.9288888888888887,1.3533333333333333,2.6,3.0,broad_compact_hist,rolling,0.35,20,0,0,0.0,0.0,0,0,1.0836928386540121,False
,160,0.9955555555555554,,,0.38125,0.3401273885350318,1.1209035580524345,0.5947030497592296,16.90322007656589,1.1209035580524345,,,,0.9955555555555554,0.9955555555555554,1.0328947368421053,0.7741935483870968,1.1209035580524345,0.9955555555555554,0.9955555555555554,1.0,1.011111111111111,,packet_e_cbr_macro,weekly,0.0,0,0,20,0.9,0.0,4,1,1.0328947368421053,False
,222,1.381333333333333,,,0.38738738738738737,0.3401273885350318,1.1389479367007458,0.6324743684294246,28.747421538114178,1.1389479367007458,,,,1.3066666666666666,1.431111111111111,1.0179252479023646,0.8387096774193549,1.1389479367007458,1.381333333333333,1.381333333333333,1.3454545454545455,1.431111111111111,,broad_factor_extra,weekly,0.0,0,0,10,0.75,0.5,3,2,1.0179252479023646,False
0.2,193,1.200888888888889,20.0,0.0,0.41450777202072536,0.3401273885350318,1.218683899012245,0.5909830376122511,57.56342236941092,1.218683899012245,1.218683899012245,1.0,1.0,1.0888888888888888,1.3066666666666666,1.0147737765466298,0.8404255319148937,1.218683899012245,1.200888888888889,1.200888888888889,1.0888888888888888,1.4363636363636365,3.0,broad_factor_hist_anchor25,rolling,0.2,20,0,0,0.0,0.0,0,0,1.0147737765466298,False
,199,1.2382222222222221,,,0.37185929648241206,0.3401273885350318,1.0932941862872416,0.5937847960319871,17.66570437675672,1.0932941862872416,,,,1.182222222222222,1.3066666666666666,0.9887539361223573,0.7474226804123711,1.0932941862872416,1.2382222222222221,1.2382222222222221,1.1044444444444443,1.425,,broad_compact_extra,weekly,0.0,0,0,10,0.8,0.65,4,2,0.9887539361223573,False
,182,1.1324444444444444,,,0.42857142857142855,0.3401273885350318,1.260032102728732,0.5995473804462569,39.88283686453959,1.260032102728732,,,,1.1199999999999999,1.151111111111111,0.9181286549707602,0.6949152542372882,1.260032102728732,1.1324444444444444,1.1324444444444444,0.8711111111111111,1.375,,broad_compact_tree_consensus,weekly,0.0,0,0,10,0.85,0.65,3,2,0.9181286549707602,False
