breakdown,group,n_scope,n_signals,primary_n,baseload_n,frequency,base_rate,hit_rate,lift,forward_benefit_bps
overall,all,2020,432,267,165,1.0198988195615515,0.26782178217821784,0.3472222222222222,1.296467447114397,30.285045312633695
year,2025,1235,270,198,72,1.064788732394366,0.22186234817813766,0.3148148148148148,1.4189645850229793,7.647755287035121
quarter,2025Q1,285,68,67,1,1.2205128205128206,0.15087719298245614,0.20588235294117646,1.3645690834473323,-20.493994555067683
quarter,2025Q2,295,66,66,0,1.05,0.16610169491525423,0.16666666666666666,1.0034013605442176,-21.652240202503442
quarter,2025Q3,330,93,51,42,1.4307692307692308,0.34545454545454546,0.5268817204301075,1.5251839275608374,47.11566779104024
quarter,2025Q4,325,43,14,29,0.6615384615384615,0.20923076923076922,0.2558139534883721,1.222640218878249,11.762239675408603
year,2026,785,162,69,93,1.0079999999999998,0.3401273885350318,0.4012345679012346,1.1796596846534426,68.01386202196466
quarter,2026Q1,270,51,19,32,0.9272727272727272,0.2851851851851852,0.35294117647058826,1.2375859434682963,64.89699842421297
quarter,2026Q2,310,24,2,22,0.3733333333333333,0.3032258064516129,0.375,1.2367021276595744,56.41991016085105
quarter,2026Q3,205,87,48,39,2.175,0.4682926829268293,0.4367816091954023,0.9327107279693486,73.0393205064711
currency,TJS,404,82,55,27,0.9679595278246207,0.2995049504950495,0.4146341463414634,1.3843983067929853,49.508397790282
currency,UZS,404,85,49,36,1.003372681281619,0.2698019801980198,0.35294117647058826,1.3081489476524555,31.649121960861997
currency,KGS,404,86,52,34,1.0151770657672852,0.24257425742574257,0.3023255813953488,1.2463217845277645,25.883664864545512
currency,AMD,404,83,53,30,0.9797639123102867,0.2623762376237624,0.3614457831325301,1.377585814957945,34.99771091445594
currency,KZT,404,96,58,38,1.1332209106239461,0.26485148514851486,0.3125,1.1799065420560748,12.525733388860465
