candidate,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals,period
incumbent,1,1.6320081831250692,0.46343463332137547,1.6356200452647034,18.45935618673006,66.6909721255278,316,retrospective_2025
incumbent,3,2.036264528335886,0.2844001434940809,2.0371470876551543,34.24545115341266,70.17735775246841,316,retrospective_2025
incumbent,5,2.065574715958244,0.22214677394557478,2.0719428304409515,41.07254728398513,64.1844585857615,316,retrospective_2025
incumbent,10,2.164786532454009,0.14764515963716496,2.164989967566919,49.02196414868605,45.90956617704427,316,retrospective_2025
incumbent,20,2.132987910189983,0.09643570952698201,2.1024480517572797,62.98428476592117,10.081362220821005,316,retrospective_2025
selected,1,1.6108102133303859,0.4636396248654743,1.6139190001024855,18.3017764852109,66.33110310844587,316,retrospective_2025
selected,3,2.0009901435708177,0.2846691948957106,2.002534371057762,33.9573308956858,69.45765669368829,316,retrospective_2025
selected,5,2.034737024022121,0.22240301337569826,2.0419072853562104,40.51553123060462,62.91599783132204,316,retrospective_2025
selected,10,2.118977469670711,0.14785015118126377,2.1156074597382983,48.182806615609515,42.77080646968751,316,retrospective_2025
selected,20,2.0626988335100744,0.09665351304258699,2.0217846578842744,61.88293461544105,5.215073893938288,316,retrospective_2025
incumbent,1,1.612046152217635,0.5495157490620365,1.6197286807965927,17.35559496507539,75.46700153640572,219,retrospective_2026
incumbent,3,1.7884643114635903,0.4033970276008493,1.792033386814498,27.082538428996706,97.80766158055724,219,retrospective_2026
incumbent,5,1.8030510798765853,0.33935375039990695,1.8096384650119777,33.91184360769942,115.74108977325565,219,retrospective_2026
incumbent,10,1.7482325630473778,0.29134899163797345,1.7550509902993494,44.1879314135016,149.0058434424759,214,retrospective_2026
incumbent,20,1.7154362416107383,0.2459286971830986,1.7220429717577428,82.34207651596454,193.49728753618788,192,retrospective_2026
selected,1,1.6119786096256685,0.5488860841233967,1.6174183397984965,17.43616316054484,76.86553318106209,217,retrospective_2026
selected,3,1.7600640605663536,0.40321113035310696,1.7609832104920577,25.92171747236572,95.96960819930887,217,retrospective_2026
selected,5,1.7532029085872578,0.3390765798820041,1.754610347509089,31.755787454134968,112.29606737110237,217,retrospective_2026
selected,10,1.7020368987949237,0.29099428997020854,1.7045170644749288,41.16996918551966,144.02571033392627,212,retrospective_2026
selected,20,1.6748283069573007,0.2456719483568075,1.678330026356694,76.21917412343579,188.63617052737882,192,retrospective_2026
incumbent,1,1.6230036627345803,0.49867157602643114,1.627674363030648,18.007536172632168,70.28340285633575,535,combined_2025_2026
incumbent,3,1.9134256869073194,0.333111017549001,1.914590237234826,31.313342954072297,81.4877064222842,535,combined_2025_2026
incumbent,5,1.9305707003955412,0.27012495683061916,1.9407906477264647,38.141343349206494,85.28894873540864,535,combined_2025_2026
incumbent,10,1.9265250031338068,0.20566897104881215,1.9600204789331344,47.07010942164931,87.53711963893554,530,combined_2025_2026
incumbent,20,1.8792155066718188,0.15293699620015994,1.912245511757511,70.30061550609504,79.40391667072346,508,combined_2025_2026
selected,1,1.6113341441743714,0.49834596944140136,1.615668669950491,17.949359803311207,70.61997989223147,533,combined_2025_2026
selected,3,1.882196150737449,0.33293110858099206,1.88175879077491,30.68579597474686,80.25145308528239,533,combined_2025_2026
selected,5,1.890740632193087,0.2699042590264832,1.8982588164326493,36.94918151298002,83.02007867584798,533,combined_2025_2026
selected,10,1.8817202795244161,0.20532469175561283,1.9100622621066132,45.36704613231586,83.42618453638944,528,combined_2025_2026
selected,20,1.8272708128030926,0.15297544135032387,1.8500573421204844,67.30135584680914,74.53958285775833,508,combined_2025_2026
