candidate,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min
geometry,1.5973270101314938,1.8552892247175365,14.498341818379469,66.48777672978115
incumbent,1.6230036627345803,1.8545481119686134,18.007536172632168,70.28340285633575
incumbent50_geometry50,1.601153463499565,1.8386019135870453,15.363733083275928,66.98385952594998
router_equal_hist_hard,1.5847185228327805,1.8254996198930804,14.660176969310314,65.06011020567979
router_equal_hist_soft,1.5957833721822563,1.8205935229160144,15.158307758492905,66.44566571587237
router_equal_logit_hard,1.6013782131558028,1.8263989895967154,14.077339671809503,64.96136123268026
router_equal_logit_soft,1.5931882309089793,1.8187696588735247,14.607244396678592,65.70094818292043
router_equal_logit_soft_stale20,1.5923849413652706,1.8347115994875096,14.967367831523205,66.13578908900237
router_equal_tree_hard,1.586356352202595,1.8261281571588506,14.393819344376476,64.99093610185191
router_equal_tree_soft,1.5914177894915211,1.81749719735071,14.727570019035271,65.96940734313954
router_tail_hist_hard,1.5861031055431525,1.8222645177579815,14.375776300927207,64.88283340052709
router_tail_hist_soft,1.5890550946776907,1.824162378262639,14.854600221161691,65.797908514581
router_tail_logit_hard,1.6013722056579913,1.832381002233117,14.028394774683147,65.2267381321115
router_tail_logit_soft,1.5936857925338965,1.8152333893852735,14.439967955517988,65.62333764240438
router_tail_tree_hard,1.586356352202595,1.8261281571588506,14.393819344376476,64.99093610185191
router_tail_tree_soft,1.5860777069460146,1.8199290028128694,14.65729373808099,65.41271078411727
