rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,clears_1p30_gate
,289,1.1397183098591548,,,0.2629757785467128,0.22186234817813766,1.1853105346904755,0.48145180279058464,-26.581168243053664,1.1853105346904755,,,,1.1042253521126761,1.2225352112676056,1.115483870967742,0.8802816901408451,1.1853105346904755,1.1397183098591548,1.1397183098591548,0.9227272727272727,1.4769230769230768,,cbr_macro_full_hist_anchor25,weekly,0.0,0,0,60,0.9,0.0,4,2,1.115483870967742,False
,250,0.9859154929577465,,,0.264,0.22186234817813766,1.18992700729927,0.47596026037354644,-30.485266384151757,1.18992700729927,,,,0.9859154929577465,0.9859154929577465,1.1089795918367347,0.7918367346938775,1.18992700729927,0.9859154929577465,0.9859154929577465,0.875,1.0769230769230769,,cbr_macro_full_hist,weekly,0.0,0,0,20,0.9,0.0,4,1,1.1089795918367347,False
0.35,456,1.7983098591549296,120.0,0.0,0.29605263157894735,0.22186234817813766,1.334397810218978,0.5489966351960016,-28.167866097082868,1.334397810218978,1.334397810218978,1.0,1.0,1.7352112676056337,1.8732394366197183,1.1069142125480154,0.9623059866962306,1.334397810218978,1.7983098591549296,1.7983098591549296,0.23863636363636365,3.7153846153846155,4.0,cbr_macro_tree_consensus,rolling,0.35,120,0,0,0.0,0.0,0,0,1.1069142125480154,False
0.35,370,1.4591549295774648,120.0,0.0,0.3,0.22186234817813766,1.3521897810218977,0.48891247711857333,1.1679360469672908,1.3521897810218977,1.3521897810218977,1.0,1.0,1.2225352112676056,1.676056338028169,1.1042352941176472,0.9561643835616438,1.3521897810218977,1.4591549295774648,1.4591549295774648,0.0,3.769230769230769,4.0,cbr_macro_full_hist_anchor50,rolling,0.35,120,0,0,0.0,0.0,0,0,1.1042352941176472,False
,313,1.2343661971830986,,,0.25559105431309903,0.22186234817813766,1.152025372542618,0.5027761531859302,-32.538686824765165,1.152025372542618,,,,1.1830985915492958,1.2816901408450705,1.1016431924882628,0.7435064935064936,1.152025372542618,1.2343661971830986,1.2343661971830986,1.0461538461538462,1.4923076923076921,,round5_reset_hist,weekly,0.0,0,0,20,0.75,0.3,4,2,1.1016431924882628,False
0.2,344,1.3566197183098592,20.0,0.0,0.2558139534883721,0.22186234817813766,1.1530300458326261,0.5759245615500885,-4.97858055869781,1.1530300458326261,1.1530300458326261,1.0,1.0,1.3211267605633803,1.380281690140845,1.0739130434782609,0.7787610619469026,1.1530300458326261,1.3566197183098592,1.3566197183098592,1.041025641025641,1.6153846153846154,4.0,cbr_macro_only_logit,rolling,0.2,20,0,0,0.0,0.0,0,0,1.0739130434782609,False
,251,0.9898591549295775,,,0.250996015936255,0.22186234817813766,1.1313141594207112,0.48726805259120287,-33.06594061485715,1.1313141594207112,,,,0.9859154929577465,1.0056338028169014,1.0436619718309859,0.7195121951219512,1.1313141594207112,0.9898591549295775,0.9898591549295775,0.8909090909090909,1.0769230769230769,,cbr_macro_old_reset,weekly,0.0,0,0,20,0.8,0.0,4,1,1.0436619718309859,False
0.22,395,1.5577464788732394,60.0,0.0,0.25316455696202533,0.22186234817813766,1.1410884228032894,0.5461369315721913,-30.184807905714713,1.1410884228032894,1.1410884228032894,1.0,1.0,1.43943661971831,1.695774647887324,0.8976796197931226,0.9256410256410257,1.1410884228032894,1.5577464788732394,1.5577464788732394,0.3076923076923077,3.076923076923077,4.0,cbr_macro_diverse_anchor,rolling,0.22,60,0,0,0.0,0.0,0,0,0.8976796197931226,False
,299,1.1791549295774648,,,0.22408026755852842,0.22186234817813766,1.009996826404316,0.4896625321859073,-21.89832983469572,1.009996826404316,,,,1.143661971830986,1.2816901408450705,0.8844592981618524,0.7414965986394558,1.009996826404316,1.1791549295774648,1.1791549295774648,0.9384615384615385,1.3384615384615384,,cbr_macro_full_extra,weekly,0.0,0,0,20,0.9,0.3,4,2,0.8844592981618524,False
0.3,468,1.8456338028169013,60.0,0.0,0.23076923076923078,0.22186234817813766,1.0401459854014599,0.5351386557494094,-28.974984716332205,1.0401459854014599,1.0401459854014599,1.0,1.0,1.7352112676056337,1.932394366197183,0.8788732394366198,0.9222462203023758,1.0401459854014599,1.8456338028169013,1.8456338028169013,0.8590909090909091,3.2666666666666666,4.0,cbr_macro_compact_xgb,rolling,0.3,60,0,0,0.0,0.0,0,0,0.8788732394366198,False
