rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,predeclared_order
0.22,270,1.0677966101694916,20,0,0.4444444444444444,0.3379032258064516,1.3153009811721028,0.5582661577504586,47.225209794881486,1.3153009811721028,1.3153009811721028,1,1,1.0084745762711864,1.1073446327683616,1.2077922077922076,0.8339622641509434,1.3153009811721028,1.0677966101694916,1.0677966101694916,0.6124999999999999,1.8295454545454546,4,no_moex,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.2077922077922076,1
0.22,372,1.467042253521127,20,0,0.2768817204301075,0.22186234817813766,1.247988776391178,0.6063065389610882,-10.006759952634397,1.247988776391178,1.247988776391178,1,1,1.36056338028169,1.5380281690140845,0.8981818181818182,0.8174386920980926,1.247988776391178,1.467042253521127,1.467042253521127,0.8769230769230769,1.9886363636363638,4,no_moex,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,0.8981818181818182,1
0.22,272,1.6924444444444442,20,0,0.4522058823529412,0.3401273885350318,1.329519167217449,0.5937847960319871,68.94000881885798,1.329519167217449,1.329519167217449,1,1,1.4,1.8977777777777776,1.1017543859649124,0.9026217228464419,1.329519167217449,1.6924444444444442,1.6924444444444442,0.9955555555555555,2.45,3,no_moex,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.1017543859649124,1
0.22,644,1.5204047217537946,20,0,0.35093167701863354,0.26782178217821784,1.3103179067978552,0.5639282674635282,23.337216919797164,1.247988776391178,1.2887539718043133,2,2,1.4401349072512648,1.6408094435075886,0.9903477861191972,0.8466353677621283,1.2887539718043133,1.467042253521127,1.6924444444444442,0.8769230769230769,2.45,7,no_moex,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,0.9903477861191972,1
0.22,289,1.1429378531073446,20,0,0.5570934256055363,0.3379032258064516,1.6486774409328522,0.6639350695786906,83.71876607198176,1.6486774409328522,1.6486774409328522,1,1,1.1271186440677967,1.1666666666666667,1.5684290412345054,0.7746478873239436,1.6486774409328522,1.1429378531073446,1.1429378531073446,0.7,1.7022727272727272,4,cny_all,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5684290412345054,2
0.22,317,1.2501408450704226,20,0,0.36908517350157727,0.22186234817813766,1.663577333118423,0.7250450033040401,24.809433909911263,1.663577333118423,1.663577333118423,1,1,1.2225352112676056,1.2816901408450705,1.596,0.8301282051282052,1.663577333118423,1.2501408450704226,1.2501408450704226,1.1538461538461537,1.5974358974358975,4,cny_all,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.596,2
0.22,197,1.2257777777777776,20,0,0.6243654822335025,0.3401273885350318,1.8356812867164776,0.7592259193382789,113.3596084679571,1.8356812867164776,1.8356812867164776,1,1,1.182222222222222,1.3066666666666666,1.4427736006683376,0.8072916666666666,1.8356812867164776,1.2257777777777776,1.2257777777777776,1.0888888888888888,1.425,3,cny_all,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4427736006683376,2
0.22,514,1.2134907251264757,20,0,0.4669260700389105,0.26782178217821784,1.743420816041773,0.7203823335695423,58.747924937022205,1.663577333118423,1.7496293099174502,2,2,1.1922428330522767,1.2630691399662732,1.5173377587562231,0.8133595284872298,1.7496293099174502,1.2257777777777776,1.2501408450704226,1.0888888888888888,1.5974358974358975,7,cny_all,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5173377587562231,2
0.22,294,1.1627118644067798,20,0,0.5170068027210885,0.3379032258064516,1.5300439985063239,0.6198709879970581,63.701967812453915,1.5300439985063239,1.5300439985063239,1,1,1.1468926553672316,1.1666666666666667,1.4040144107050951,0.7716262975778547,1.5300439985063239,1.1627118644067798,1.1627118644067798,0.6649999999999999,1.8772727272727274,4,cny_trend,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4040144107050951,3
0.22,331,1.3053521126760563,20,0,0.3806646525679758,0.22186234817813766,1.7157695106622268,0.6775237928860601,18.95675285394723,1.7157695106622268,1.7157695106622268,1,1,1.2422535211267605,1.36056338028169,1.5255882352941177,0.8067484662576687,1.7157695106622268,1.3053521126760563,1.3053521126760563,0.9846153846153847,1.776923076923077,4,cny_trend,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5255882352941177,3
0.22,216,1.3439999999999999,20,0,0.5416666666666666,0.3401273885350318,1.5925405742821472,0.7330339970789409,99.53554441718146,1.5925405742821472,1.5925405742821472,1,1,1.2755555555555553,1.4,1.3116123642439432,0.8388625592417062,1.5925405742821472,1.3439999999999999,1.3439999999999999,1.2133333333333332,1.575,3,cny_trend,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.3116123642439432,3
0.22,547,1.291399662731872,20,0,0.44424131627056673,0.26782178217821784,1.6587198869991584,0.6660686455728317,50.77580034509639,1.5925405742821472,1.654155042472187,2,2,1.2748735244519394,1.3102866779089377,1.4073067119796092,0.8118081180811808,1.654155042472187,1.3053521126760563,1.3439999999999999,0.9846153846153847,1.776923076923077,7,cny_trend,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4073067119796092,3
0.22,295,1.1666666666666667,20,0,0.5254237288135594,0.3379032258064516,1.554953278589054,0.6577039468137988,77.8480409416045,1.554953278589054,1.554953278589054,1,1,1.1468926553672316,1.1864406779661016,1.5285053929121726,0.8103448275862069,1.554953278589054,1.1666666666666667,1.1666666666666667,0.6124999999999999,1.638636363636364,4,cny_intraday,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5285053929121726,4
