rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,predeclared_order
0.22,346,1.368361581920904,20,0,0.4624277456647399,0.3379032258064516,1.368521252086581,0.6380977851679801,37.92140958033896,1.368521252086581,1.368521252086581,1,1,1.344632768361582,1.384180790960452,1.2991094814038764,0.844574780058651,1.368521252086581,1.368361581920904,1.368361581920904,1.006741573033708,1.75,4,regime_logit,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.2991094814038764,1
0.22,340,1.3408450704225352,20,0,0.4,0.22186234817813766,1.8029197080291972,0.6961460461654146,40.305719257063146,1.8029197080291972,1.8029197080291972,1,1,1.2816901408450705,1.4197183098591548,1.616941083118429,0.8507462686567164,1.8029197080291972,1.3408450704225352,1.3408450704225352,1.1846153846153846,1.5846153846153848,4,regime_logit,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.616941083118429,1
0.22,204,1.2693333333333332,20,0,0.5931372549019608,0.3401273885350318,1.7438679591686863,0.7704727199109221,101.94643894052035,1.7438679591686863,1.7438679591686863,1,1,1.2133333333333332,1.3377777777777777,1.3116123642439432,0.8542713567839196,1.7438679591686863,1.2693333333333332,1.2693333333333332,1.182222222222222,1.375,3,regime_logit,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.3116123642439432,1
0.22,544,1.2843170320404722,20,0,0.4724264705882353,0.26782178217821784,1.7639583559856473,0.7359758741918592,63.42098913835959,1.7438679591686863,1.7733938335989419,2,2,1.2512647554806071,1.3102866779089377,1.4683281412253375,0.8441558441558441,1.7733938335989419,1.2693333333333332,1.3408450704225352,1.182222222222222,1.5846153846153848,7,regime_logit,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4683281412253375,1
0.22,344,1.3604519774011299,20,0,0.4331395348837209,0.3379032258064516,1.2818449242382195,0.6588405780249361,34.462132974877676,1.2818449242382195,1.2818449242382195,1,1,1.265536723163842,1.423728813559322,1.2154154600133662,0.7846607669616519,1.2818449242382195,1.3604519774011299,1.3604519774011299,0.9863636363636364,1.925,4,regime_hist,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.2154154600133662,2
0.22,322,1.2698591549295775,20,0,0.40993788819875776,0.22186234817813766,1.8477127442535248,0.7025395535368419,44.02673698388718,1.8477127442535248,1.8477127442535248,1,1,1.2028169014084507,1.3211267605633803,1.5577044355686358,0.7886435331230284,1.8477127442535248,1.2698591549295775,1.2698591549295775,1.0948717948717948,1.4153846153846152,4,regime_hist,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5577044355686358,2
0.22,199,1.2382222222222221,20,0,0.5778894472361809,0.3401273885350318,1.6990382624734157,0.7297948028285107,85.45008195221139,1.6990382624734157,1.6990382624734157,1,1,1.182222222222222,1.3066666666666666,1.4831309041835359,0.788659793814433,1.6990382624734157,1.2382222222222221,1.2382222222222221,1.0422222222222222,1.525,3,regime_hist,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4831309041835359,2
0.22,521,1.2300168634064081,20,0,0.4740882917466411,0.26782178217821784,1.7701633074458687,0.71370661847504,59.848705599427525,1.6990382624734157,1.7733755033634702,2,2,1.1922428330522767,1.2866779089376055,1.7106563161609032,0.7810077519379846,1.7733755033634702,1.2382222222222221,1.2698591549295775,1.0422222222222222,1.525,7,regime_hist,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.7106563161609032,2
0.22,394,1.5581920903954802,20,0,0.4517766497461929,0.3379032258064516,1.3370001090340793,0.626279436858828,48.467955326781244,1.3370001090340793,1.3370001090340793,1,1,1.4830508474576272,1.6016949152542375,1.2333333333333334,0.8791773778920309,1.3370001090340793,1.5581920903954802,1.5581920903954802,1.2898876404494382,1.9075,4,regime_hist_stale20,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.2333333333333334,3
0.22,336,1.3250704225352112,20,0,0.37797619047619047,0.22186234817813766,1.7036518074383038,0.6717588126723227,51.66327744878076,1.7036518074383038,1.7036518074383038,1,1,1.2816901408450705,1.36056338028169,1.4450704225352113,0.8066465256797583,1.7036518074383038,1.3250704225352112,1.3250704225352112,1.240909090909091,1.5846153846153848,4,regime_hist_stale20,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4450704225352113,3
