candidate,quarter,n_train,last_resolved,n_features,survival_weight_mean
router_logit,2024-01-01,1210,2023-12-30,26,0.3009259361785902
router_logit,2024-04-01,1495,2024-03-30,26,0.5207875601784937
router_logit,2024-07-01,1795,2024-06-29,26,0.4818342702940627
router_logit,2024-10-01,2120,2024-09-28,26,0.43566195651207557
router_logit,2025-01-01,2450,2024-12-29,26,0.35357450724395617
router_logit,2025-04-01,2735,2025-03-29,26,0.7045547625020298
router_logit,2025-07-01,3030,2025-06-28,26,0.6243736608301271
router_logit,2025-10-01,3360,2025-09-30,26,0.44181025234874893
router_logit,2026-01-01,3685,2025-12-31,26,0.47195584631646254
router_logit,2026-04-01,3955,2026-03-31,26,0.6696698492874789
router_logit,2026-07-01,4265,2026-06-30,26,0.4770664711754325
router_tree,2024-01-01,1210,2023-12-30,26,0.336858491096773
router_tree,2024-04-01,1495,2024-03-30,26,0.5344825378840231
router_tree,2024-07-01,1795,2024-06-29,26,0.49525323344044514
router_tree,2024-10-01,2120,2024-09-28,26,0.48227030526313114
router_tree,2025-01-01,2450,2024-12-29,26,0.447441776382278
router_tree,2025-04-01,2735,2025-03-29,26,0.7120903702339072
router_tree,2025-07-01,3030,2025-06-28,26,0.5041089746786506
router_tree,2025-10-01,3360,2025-09-30,26,0.5282126426293875
router_tree,2026-01-01,3685,2025-12-31,26,0.5366953773256606
router_tree,2026-04-01,3955,2026-03-31,26,0.5869115151364732
router_tree,2026-07-01,4265,2026-06-30,26,0.5141862628995947
router_logit_stale20,2024-01-01,1110,2023-12-30,26,0.47157012763135026
router_logit_stale20,2024-04-01,1395,2024-03-30,26,0.4455633291124127
router_logit_stale20,2024-07-01,1695,2024-06-29,26,0.5696590430687968
router_logit_stale20,2024-10-01,2020,2024-09-28,26,0.30781641615049316
router_logit_stale20,2025-01-01,2350,2024-12-29,26,0.47367322947924
router_logit_stale20,2025-04-01,2635,2025-03-29,26,0.5370140033370495
router_logit_stale20,2025-07-01,2930,2025-06-28,26,0.5952623091578448
router_logit_stale20,2025-10-01,3260,2025-09-30,26,0.46258477684275284
router_logit_stale20,2026-01-01,3585,2025-12-31,26,0.4881934817102751
router_logit_stale20,2026-04-01,3855,2026-03-31,26,0.5945556750104255
router_logit_stale20,2026-07-01,4165,2026-06-30,26,0.5589589893176768
