hypothesis,subset,n,share,lift,benefit_bps
router_freshness,control,575,0.28465346534653463,1.636389938117817,68.1413573752884
router_freshness,challenger,574,0.28415841584158413,1.6587555629979325,68.66220154042537
router_freshness,intersection,545,0.2698019801980198,1.6785090471264563,71.16341123626793
router_freshness,control_only,30,0.01485148514851485,0.8712261244608749,13.240712234160172
router_freshness,challenger_only,29,0.014356435643564357,1.2875262923067117,21.656708980625552
router_freshness,neither,1416,0.700990099009901,0.735690341176102,-38.275474243978344
router_vs_equal,control,585,0.2896039603960396,1.576504415691107,64.82192435081419
router_vs_equal,challenger,565,0.27970297029702973,1.7182209281402843,74.08109656091625
router_vs_equal,intersection,522,0.2584158415841584,1.6737841799987252,73.05537876029227
router_vs_equal,control_only,63,0.031188118811881188,0.770472082856556,-3.3981264705757277
router_vs_equal,challenger_only,43,0.02128712871287129,2.2576623823238617,86.53283358244451
router_vs_equal,neither,1392,0.689108910891089,0.7188688465379139,-40.251784531261336
router_vs_shadow,control,480,0.2376237623762376,1.6413277880468267,68.8103790884441
router_vs_shadow,challenger,565,0.27970297029702973,1.7182209281402843,74.08109656091625
router_vs_shadow,intersection,401,0.19851485148514852,1.7691446061371525,85.080448605084
router_vs_shadow,control_only,79,0.03910891089108911,0.9925360911579586,-13.77566997703183
router_vs_shadow,challenger_only,164,0.08118811881188119,1.5937063252333077,47.18633942853047
router_vs_shadow,neither,1376,0.6811881188118812,0.7055194944762068,-40.08451170565156
router_vs_survival,control,567,0.2806930693069307,1.685819258216054,67.26353069783659
router_vs_survival,challenger,565,0.27970297029702973,1.7182209281402843,74.08109656091625
router_vs_survival,intersection,498,0.24653465346534653,1.7469508347623395,76.34034928951982
router_vs_survival,control_only,69,0.03415841584158416,1.2446087492298212,1.7525791230794223
router_vs_survival,challenger_only,67,0.03316831683168317,1.5046762490688883,57.28844195129579
router_vs_survival,neither,1386,0.6861386138613862,0.6950412495699002,-40.667744584887835
