rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,predeclared_order
0.22,326,1.289265536723164,20,0,0.4815950920245399,0.3379032258064516,1.4252456184019797,0.6294175273765331,41.16420009808117,1.4252456184019797,1.4252456184019797,1,1,1.2062146892655368,1.423728813559322,1.3532338308457712,0.822429906542056,1.4252456184019797,1.289265536723164,1.289265536723164,0.7636363636363637,1.7325,4,local_logit,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.3532338308457712,1
0.22,305,1.2028169014084507,20,0,0.36065573770491804,0.22186234817813766,1.6255833433050138,0.6621751976727406,40.1535800801091,1.6255833433050138,1.6255833433050138,1,1,1.143661971830986,1.3211267605633803,1.390570021111893,0.7833333333333333,1.6255833433050138,1.2028169014084507,1.2028169014084507,0.7717948717948718,1.646153846153846,4,local_logit,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.390570021111893,1
0.22,240,1.4933333333333332,20,0,0.5625,0.3401273885350318,1.6537921348314608,0.7017627579425333,97.06799201595157,1.6537921348314608,1.6537921348314608,1,1,1.4,1.5866666666666664,1.4077972709551656,0.8765957446808511,1.6537921348314608,1.4933333333333332,1.4933333333333332,1.182222222222222,1.8727272727272728,3,local_logit,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4077972709551656,1
0.22,545,1.2866779089376055,20,0,0.44954128440366975,0.26782178217821784,1.6785090471264563,0.6924346894727041,65.21680735460853,1.6255833433050138,1.6396877390682372,2,2,1.2748735244519394,1.3220910623946038,1.4833110814419224,0.8166666666666667,1.6396877390682372,1.2028169014084507,1.4933333333333332,0.7717948717948718,1.8727272727272728,7,local_logit,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4833110814419224,1
0.22,324,1.2813559322033898,20,0,0.4845679012345679,0.3379032258064516,1.434043430861251,0.6304378791798814,36.59587616423582,1.434043430861251,1.434043430861251,1,1,1.2457627118644068,1.364406779661017,1.312169312169312,0.8307210031347962,1.434043430861251,1.2813559322033898,1.2813559322033898,0.7318181818181818,1.75,4,global75_local_logit25,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.312169312169312,2
0.22,316,1.2461971830985916,20,0,0.36075949367088606,0.22186234817813766,1.626051002494687,0.6697877818877841,43.03845241074753,1.626051002494687,1.626051002494687,1,1,1.2225352112676056,1.2816901408450705,1.3821593153390386,0.7942122186495176,1.626051002494687,1.2461971830985916,1.2461971830985916,0.8974358974358975,1.7076923076923076,4,global75_local_logit25,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.3821593153390386,2
0.22,239,1.4871111111111108,20,0,0.5648535564853556,0.3401273885350318,1.6607117671947722,0.7036064957413273,101.65608883024979,1.6607117671947722,1.6607117671947722,1,1,1.462222222222222,1.5866666666666664,1.3478910041060097,0.8803418803418803,1.6607117671947722,1.4871111111111108,1.4871111111111108,1.1199999999999999,1.8363636363636362,3,global75_local_logit25,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.3478910041060097,2
0.22,555,1.3102866779089377,20,0,0.4486486486486487,0.26782178217821784,1.6751761003147325,0.6975556747015206,68.2810021481548,1.626051002494687,1.6433813848447296,2,2,1.2866779089376055,1.33389544688027,1.4833110814419224,0.8236363636363636,1.6433813848447296,1.2461971830985916,1.4871111111111108,0.8974358974358975,1.8363636363636362,7,global75_local_logit25,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4833110814419224,2
0.22,303,1.1983050847457628,20,0,0.5082508250825083,0.3379032258064516,1.5041313200532465,0.6406908159616743,65.84582122582871,1.5041313200532465,1.5041313200532465,1,1,1.0480225988700564,1.384180790960452,1.3748400852878466,0.8087248322147651,1.5041313200532465,1.1983050847457628,1.1983050847457628,0.8049999999999999,1.9090909090909092,4,local_extra,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.3748400852878466,3
0.22,321,1.2659154929577465,20,0,0.3894080996884735,0.22186234817813766,1.7551788434863678,0.7004602869577766,26.20464080030678,1.7551788434863678,1.7551788434863678,1,1,1.143661971830986,1.380281690140845,1.4511440940012368,0.7879746835443038,1.7551788434863678,1.2659154929577465,1.2659154929577465,1.0615384615384615,1.5076923076923079,4,local_extra,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4511440940012368,3
0.22,223,1.3875555555555554,20,0,0.5515695067264574,0.3401273885350318,1.6216556658437045,0.6880106430668228,96.50448030230518,1.6216556658437045,1.6216556658437045,1,1,1.1199999999999999,1.5244444444444443,1.2241715399610136,0.8211009174311926,1.6216556658437045,1.3875555555555554,1.3875555555555554,1.011111111111111,1.675,3,local_extra,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.2241715399610136,3
0.22,544,1.2843170320404722,20,0,0.45588235294117646,0.26782178217821784,1.7021854952701967,0.6760187917349361,55.022405890280396,1.6216556658437045,1.688417254665036,2,2,1.1922428330522767,1.3575042158516022,1.5327102803738317,0.7940630797773655,1.688417254665036,1.2659154929577465,1.3875555555555554,1.011111111111111,1.675,7,local_extra,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5327102803738317,3
0.22,290,1.1468926553672316,20,0,0.5413793103448276,0.3379032258064516,1.6021726606863633,0.6576254582135412,83.9688889964436,1.6021726606863633,1.6021726606863633,1,1,1.0677966101694916,1.2062146892655368,1.5776853437729386,0.7964912280701755,1.6021726606863633,1.1468926553672316,1.1468926553672316,0.6649999999999999,1.638636363636364,4,global75_local_extra25,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5776853437729386,4
