candidate,breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps
cny_intraday_extra,overall,all,2020,536,1.2654300168634065,0.26782178217821784,0.47574626865671643,1.776353905150771,59.18899219185559
cny_intraday_extra,year,2025,1235,327,1.2895774647887326,0.22186234817813766,0.39755351681957185,1.7918926761758074,26.00312074620859
cny_intraday_extra,quarter,2025Q1,285,92,1.6512820512820512,0.15087719298245614,0.21739130434782608,1.4408493427704752,-93.13928770459945
cny_intraday_extra,quarter,2025Q2,295,70,1.1136363636363638,0.16610169491525423,0.2571428571428571,1.5481049562682214,17.813482266371018
cny_intraday_extra,quarter,2025Q3,330,88,1.353846153846154,0.34545454545454546,0.5909090909090909,1.7105263157894737,112.17176616142929
cny_intraday_extra,quarter,2025Q4,325,77,1.1846153846153846,0.20923076923076922,0.5194805194805194,2.482811306340718,77.32176327248841
cny_intraday_extra,year,2026,785,209,1.3004444444444443,0.3401273885350318,0.5980861244019139,1.7584180062003836,111.11138435801143
cny_intraday_extra,quarter,2026Q1,270,80,1.4545454545454546,0.2851851851851852,0.55,1.9285714285714286,97.6245348549053
cny_intraday_extra,quarter,2026Q2,310,66,1.0266666666666666,0.3032258064516129,0.48484848484848486,1.5989684074790458,100.28917499459963
cny_intraday_extra,quarter,2026Q3,205,63,1.575,0.4682926829268293,0.7777777777777778,1.6608796296296295,139.57509512362526
cny_intraday_extra,currency,TJS,404,107,1.2630691399662732,0.2995049504950495,0.5420560747663551,1.8098401174017147,64.71901313851676
cny_intraday_extra,currency,UZS,404,106,1.2512647554806071,0.2698019801980198,0.4811320754716981,1.7832785182620736,63.52377392909628
cny_intraday_extra,currency,KGS,404,105,1.239460370994941,0.24257425742574257,0.47619047619047616,1.9630709426627793,54.96908449020459
cny_intraday_extra,currency,AMD,404,107,1.2630691399662732,0.2623762376237624,0.4953271028037383,1.8878504672897196,62.41945080219444
cny_intraday_extra,currency,KZT,404,111,1.3102866779089377,0.26485148514851486,0.38738738738738737,1.4626589206028457,50.596488875881164
micro_extra,overall,all,2020,500,1.1804384485666106,0.26782178217821784,0.474,1.7698336414048057,74.27522575828723
micro_extra,year,2025,1235,309,1.2185915492957746,0.22186234817813766,0.4045307443365696,1.8233411286703045,52.30441730905894
micro_extra,quarter,2025Q1,285,68,1.2205128205128206,0.15087719298245614,0.3088235294117647,2.0468536251709986,-18.329943967728276
micro_extra,quarter,2025Q2,295,60,0.9545454545454546,0.16610169491525423,0.21666666666666667,1.304421768707483,10.688963998650928
micro_extra,quarter,2025Q3,330,89,1.3692307692307693,0.34545454545454546,0.47191011235955055,1.3660555884092254,97.2516433082985
micro_extra,quarter,2025Q4,325,92,1.4153846153846152,0.20923076923076922,0.532608695652174,2.545556265984655,88.17138091246863
micro_extra,year,2026,785,191,1.1884444444444444,0.3401273885350318,0.5863874345549738,1.724022981744024,109.8196226735309
micro_extra,quarter,2026Q1,270,72,1.309090909090909,0.2851851851851852,0.5416666666666666,1.8993506493506491,107.22462992872424
micro_extra,quarter,2026Q2,310,60,0.9333333333333333,0.3032258064516129,0.5,1.648936170212766,101.75064499319924
micro_extra,quarter,2026Q3,205,59,1.475,0.4682926829268293,0.7288135593220338,1.5563206214689262,121.19213349464918
micro_extra,currency,TJS,404,101,1.1922428330522767,0.2995049504950495,0.5346534653465347,1.785123966942149,79.85458860907205
micro_extra,currency,UZS,404,101,1.1922428330522767,0.2698019801980198,0.45544554455445546,1.6880733944954127,74.08961816024937
micro_extra,currency,KGS,404,100,1.1804384485666106,0.24257425742574257,0.47,1.9375510204081632,70.13438987179752
micro_extra,currency,AMD,404,100,1.1804384485666106,0.2623762376237624,0.49,1.8675471698113206,76.41208353662203
micro_extra,currency,KZT,404,98,1.1568296795952784,0.26485148514851486,0.41836734693877553,1.5796299828342553,70.7612311693898
stale20_micro_extra,overall,all,2020,548,1.293760539629005,0.26782178217821784,0.4981751824817518,1.8600995722978533,64.1769098069306
stale20_micro_extra,year,2025,1235,344,1.3566197183098592,0.22186234817813766,0.40988372093023256,1.8474685961636395,31.335894401856507
stale20_micro_extra,quarter,2025Q1,285,94,1.6871794871794874,0.15087719298245614,0.24468085106382978,1.6217219198416626,-69.7949473523141
stale20_micro_extra,quarter,2025Q2,295,75,1.1931818181818181,0.16610169491525423,0.25333333333333335,1.5251700680272111,10.393627452900182
stale20_micro_extra,quarter,2025Q3,330,95,1.4615384615384615,0.34545454545454546,0.5894736842105263,1.706371191135734,102.92890712326053
stale20_micro_extra,quarter,2025Q4,325,80,1.2307692307692308,0.20923076923076922,0.5375,2.5689338235294117,84.78130612098624
stale20_micro_extra,year,2026,785,204,1.2693333333333332,0.3401273885350318,0.6470588235294118,1.9024014100022033,119.55587696058497
stale20_micro_extra,quarter,2026Q1,270,72,1.309090909090909,0.2851851851851852,0.5972222222222222,2.094155844155844,110.2905568911955
stale20_micro_extra,quarter,2026Q2,310,67,1.0422222222222222,0.3032258064516129,0.5522388059701493,1.8212130835185776,104.68943535618318
stale20_micro_extra,quarter,2026Q3,205,65,1.625,0.4682926829268293,0.8,1.7083333333333333,145.14287130659977
stale20_micro_extra,currency,TJS,404,108,1.2748735244519394,0.2995049504950495,0.5740740740740741,1.9167431894704623,72.96866964157358
stale20_micro_extra,currency,UZS,404,109,1.2866779089376055,0.2698019801980198,0.5045871559633027,1.8702129450382963,70.50989697508987
stale20_micro_extra,currency,KGS,404,106,1.2512647554806071,0.24257425742574257,0.49056603773584906,2.0223334616865616,59.2517401479302
stale20_micro_extra,currency,AMD,404,112,1.3220910623946038,0.2623762376237624,0.5089285714285714,1.9396900269541777,64.3626075562123
stale20_micro_extra,currency,KZT,404,113,1.33389544688027,0.26485148514851486,0.415929203539823,1.5704242825241914,54.10137151014911
micro_anchor_logit,overall,all,2020,496,1.1709949409780778,0.26782178217821784,0.45564516129032256,1.7012998628585057,60.9197406768789
micro_anchor_logit,year,2025,1235,287,1.131830985915493,0.22186234817813766,0.397212543554007,1.7903558076248125,41.5683422127049
micro_anchor_logit,quarter,2025Q1,285,55,0.9871794871794872,0.15087719298245614,0.2545454545454545,1.687103594080338,-49.362827138404896
micro_anchor_logit,quarter,2025Q2,295,54,0.8590909090909091,0.16610169491525423,0.25925925925925924,1.560846560846561,20.575132836723103
micro_anchor_logit,quarter,2025Q3,330,94,1.4461538461538461,0.34545454545454546,0.43617021276595747,1.2625979843225084,74.1749355845312
micro_anchor_logit,quarter,2025Q4,325,84,1.2923076923076924,0.20923076923076922,0.5357142857142857,2.5603991596638656,78.11391178011422
micro_anchor_logit,year,2026,785,209,1.3004444444444443,0.3401273885350318,0.5358851674641149,1.5755425335555437,87.49319215639056
micro_anchor_logit,quarter,2026Q1,270,87,1.5818181818181818,0.2851851851851852,0.45977011494252873,1.61218092252575,72.11476966290512
micro_anchor_logit,quarter,2026Q2,310,69,1.0733333333333333,0.3032258064516129,0.5362318840579711,1.7684242984890535,95.5040762604521
micro_anchor_logit,quarter,2026Q3,205,53,1.325,0.4682926829268293,0.660377358490566,1.4101808176100628,102.30775354795638
micro_anchor_logit,currency,TJS,404,99,1.1686340640809445,0.2995049504950495,0.5151515151515151,1.7200100175306787,68.10945092149738
micro_anchor_logit,currency,UZS,404,99,1.1686340640809445,0.2698019801980198,0.42424242424242425,1.5724214623297192,56.082758695947696
micro_anchor_logit,currency,KGS,404,99,1.1686340640809445,0.24257425742574257,0.46464646464646464,1.9154813440527727,59.36959522331628
micro_anchor_logit,currency,AMD,404,97,1.1450252951096123,0.2623762376237624,0.4639175257731959,1.7681384944563314,65.63344670961202
