hypothesis,subset,n,share,lift,benefit_bps
pooled_freshness,control,533,0.2638613861386139,1.373039295585619,45.92326540584948
pooled_freshness,challenger,560,0.27722772277227725,1.6735542645893846,66.57198935004318
pooled_freshness,intersection,224,0.11089108910891089,1.7835687879588065,81.88523615826321
pooled_freshness,control_only,309,0.15297029702970297,1.0754386279752826,19.853746154908794
pooled_freshness,challenger_only,336,0.16633663366336635,1.6002112490097702,56.363158144563194
pooled_freshness,neither,1151,0.5698019801980198,0.6520408999005928,-50.22056305485263
pooling_efficiency,control,584,0.2891089108910891,1.6175651381257437,60.649782091141205
pooling_efficiency,challenger,560,0.27722772277227725,1.6735542645893846,66.57198935004318
pooling_efficiency,intersection,518,0.25643564356435644,1.6650846780236797,66.01903880017296
pooling_efficiency,control_only,66,0.032673267326732675,1.2446087492298212,18.509252162679662
pooling_efficiency,challenger_only,42,0.020792079207920793,1.7780124988997446,73.39171279844265
pooling_efficiency,neither,1394,0.69009900990099,0.717837470861389,-37.94165793185468
pooled_vs_cumulative,control,567,0.2806930693069307,1.685819258216054,67.26353069783659
pooled_vs_cumulative,challenger,560,0.27722772277227725,1.6735542645893846,66.57198935004318
pooled_vs_cumulative,intersection,535,0.26485148514851486,1.702903933525662,68.44675992052707
pooled_vs_cumulative,control_only,32,0.015841584158415842,1.4001848428835488,47.48141713097992
pooled_vs_cumulative,challenger_only,25,0.012376237623762377,1.0454713493530499,26.45189914168803
pooled_vs_cumulative,neither,1428,0.7069306930693069,0.7268933451384251,-37.24682483365541
