rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,predeclared_order
0.22,315,1.2457627118644068,20,0,0.5492063492063493,0.3379032258064516,1.6253362124483846,0.6762228959967906,69.07768827646522,1.6253362124483846,1.6253362124483846,1,1,1.1271186440677967,1.305084745762712,1.539247900693684,0.8258064516129032,1.6253362124483846,1.2457627118644068,1.2457627118644068,0.9068181818181819,1.940909090909091,4,logit50_extra50,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.539247900693684,1
0.22,331,1.3053521126760563,20,0,0.4078549848942598,0.22186234817813766,1.8383244757095287,0.7406176656007657,41.709708520480184,1.8383244757095287,1.8383244757095287,1,1,1.2225352112676056,1.3408450704225352,1.6958208955223881,0.8496932515337423,1.8383244757095287,1.3053521126760563,1.3053521126760563,1.1384615384615384,1.6,4,logit50_extra50,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.6958208955223881,1
0.22,213,1.3253333333333333,20,0,0.6291079812206573,0.3401273885350318,1.8496245889820824,0.7497867048428846,117.24327829018004,1.8496245889820824,1.8496245889820824,1,1,1.2755555555555553,1.4,1.410783055198973,0.8605769230769231,1.8496245889820824,1.3253333333333333,1.3253333333333333,1.011111111111111,1.5636363636363635,3,logit50_extra50,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.410783055198973,1
0.22,544,1.2843170320404722,20,0,0.4944852941176471,0.26782178217821784,1.8463221702729151,0.7512232249646623,71.28443344868988,1.8383244757095287,1.8439745323458054,2,2,1.2158516020236088,1.33389544688027,1.5382485289027343,0.8460111317254174,1.8439745323458054,1.3053521126760563,1.3253333333333333,1.011111111111111,1.6,7,logit50_extra50,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5382485289027343,1
0.22,358,1.415819209039548,20,0,0.5223463687150838,0.3379032258064516,1.5458460553859281,0.6785455771673754,61.46047208977088,1.5458460553859281,1.5458460553859281,1,1,1.305084745762712,1.5423728813559323,1.4109772423025435,0.8470254957507082,1.5458460553859281,1.415819209039548,1.415819209039548,0.9227272727272727,1.9775,4,calibrated_primary,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4109772423025435,2
0.22,339,1.336901408450704,20,0,0.3952802359882006,0.22186234817813766,1.781646319143897,0.743203931427877,39.23420528986235,1.781646319143897,1.781646319143897,1,1,1.2816901408450705,1.380281690140845,1.5982352941176472,0.8383233532934131,1.781646319143897,1.336901408450704,1.336901408450704,1.1846153846153846,1.5846153846153848,4,calibrated_primary,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5982352941176472,2
0.22,200,1.2444444444444442,20,0,0.62,0.3401273885350318,1.8228464419475656,0.7163029803479242,115.04291914953741,1.8228464419475656,1.8228464419475656,1,1,1.1199999999999999,1.3377777777777777,1.300682261208577,0.8307692307692308,1.8228464419475656,1.2444444444444442,1.2444444444444442,0.9955555555555555,1.4545454545454546,3,calibrated_primary,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.300682261208577,2
0.22,539,1.272512647554806,20,0,0.47866419294990725,0.26782178217821784,1.7872489274654577,0.7410462432152414,67.36359818770096,1.781646319143897,1.8022463805457312,2,2,1.2276559865092749,1.3102866779089377,1.4158878504672896,0.8277153558052435,1.8022463805457312,1.2444444444444442,1.336901408450704,0.9955555555555555,1.5846153846153848,7,calibrated_primary,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4158878504672896,2
0.22,342,1.3525423728813561,20,0,0.5380116959064327,0.3379032258064516,1.5922064508925455,0.6838421041921633,60.802696113067796,1.5922064508925455,1.5922064508925455,1,1,1.265536723163842,1.423728813559322,1.5353535353535355,0.7952522255192879,1.5922064508925455,1.3525423728813561,1.3525423728813561,0.8909090909090909,2.065,4,residual_hist25,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5353535353535355,3
0.22,331,1.3053521126760563,20,0,0.41389728096676737,0.22186234817813766,1.865558912386707,0.74607123054604,43.715700393886266,1.865558912386707,1.865558912386707,1,1,1.2816901408450705,1.3408450704225352,1.7304294852269264,0.8190184049079755,1.865558912386707,1.3053521126760563,1.3053521126760563,1.209090909090909,1.435897435897436,4,residual_hist25,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.7304294852269264,3
