candidate,quarter,n_train,last_resolved,n_features,residual_weight
residual_hist25,2024-01-01,1110,2023-12-30,71,0.25
residual_hist_stale20_25,2024-01-01,1110,2023-12-30,71,0.25
residual_extra25,2024-01-01,1110,2023-12-30,71,0.25
residual_hist25,2024-04-01,1395,2024-03-30,71,0.25
residual_hist_stale20_25,2024-04-01,1395,2024-03-30,71,0.25
residual_extra25,2024-04-01,1395,2024-03-30,71,0.25
residual_hist25,2024-07-01,1695,2024-06-29,71,0.25
residual_hist_stale20_25,2024-07-01,1695,2024-06-29,71,0.25
residual_extra25,2024-07-01,1695,2024-06-29,71,0.25
residual_hist25,2024-10-01,2020,2024-09-28,71,0.25
residual_hist_stale20_25,2024-10-01,2020,2024-09-28,71,0.25
residual_extra25,2024-10-01,2020,2024-09-28,71,0.25
residual_hist25,2025-01-01,2350,2024-12-29,71,0.25
residual_hist_stale20_25,2025-01-01,2350,2024-12-29,71,0.25
residual_extra25,2025-01-01,2350,2024-12-29,71,0.25
residual_hist25,2025-04-01,2635,2025-03-29,71,0.25
residual_hist_stale20_25,2025-04-01,2635,2025-03-29,71,0.25
residual_extra25,2025-04-01,2635,2025-03-29,71,0.25
residual_hist25,2025-07-01,2930,2025-06-28,71,0.25
residual_hist_stale20_25,2025-07-01,2930,2025-06-28,71,0.25
residual_extra25,2025-07-01,2930,2025-06-28,71,0.25
residual_hist25,2025-10-01,3260,2025-09-30,71,0.25
residual_hist_stale20_25,2025-10-01,3260,2025-09-30,71,0.25
residual_extra25,2025-10-01,3260,2025-09-30,71,0.25
residual_hist25,2026-01-01,3585,2025-12-31,71,0.25
residual_hist_stale20_25,2026-01-01,3585,2025-12-31,71,0.25
residual_extra25,2026-01-01,3585,2025-12-31,71,0.25
residual_hist25,2026-04-01,3855,2026-03-31,71,0.25
residual_hist_stale20_25,2026-04-01,3855,2026-03-31,71,0.25
residual_extra25,2026-04-01,3855,2026-03-31,71,0.25
residual_hist25,2026-07-01,4165,2026-06-30,71,0.25
residual_hist_stale20_25,2026-07-01,4165,2026-06-30,71,0.25
residual_extra25,2026-07-01,4165,2026-06-30,71,0.25
