rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,predeclared_order
0.22,273,1.0796610169491525,20,0,0.41025641025641024,0.3379032258064516,1.2141239826204027,0.6313390445902458,34.42667002975362,1.2141239826204027,1.2141239826204027,1,1,1.0282485875706215,1.1468926553672316,1.1661442006269591,0.832089552238806,1.2141239826204027,1.0796610169491525,1.0796610169491525,0.4719101123595506,1.940909090909091,4,rocket_logit,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.1661442006269591,1
0.22,393,1.5498591549295773,20,0,0.2697201017811705,0.22186234817813766,1.215709217882283,0.5781728278785024,2.0075134798468453,1.215709217882283,1.215709217882283,1,1,1.5183098591549296,1.5774647887323943,1.098639455782313,0.8969072164948454,1.215709217882283,1.5498591549295773,1.5498591549295773,1.2743589743589743,1.7538461538461538,4,rocket_logit,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.098639455782313,1
0.22,231,1.4373333333333334,20,0,0.4155844155844156,0.3401273885350318,1.2218493117369524,0.6478171590531141,51.74972139614501,1.2218493117369524,1.2218493117369524,1,1,1.3377777777777777,1.5866666666666664,1.0953488372093023,0.9070796460176991,1.2218493117369524,1.4373333333333334,1.4373333333333334,1.3,1.5636363636363635,3,rocket_logit,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.0953488372093023,1
0.22,624,1.47318718381113,20,0,0.32371794871794873,0.26782178217821784,1.2087065737712688,0.6066770898556375,20.42169621809184,1.215709217882283,1.2187792648096178,2,2,1.4283305227655987,1.5463743676222599,1.0721055424975356,0.8933764135702746,1.2187792648096178,1.4373333333333334,1.5498591549295773,1.2743589743589743,1.7538461538461538,7,rocket_logit,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.0721055424975356,1
0.22,306,1.2101694915254237,20,0,0.2777777777777778,0.3379032258064516,0.8220631132325644,0.48620490175843534,19.41029168931448,0.8220631132325644,0.8220631132325644,0,1,1.2062146892655368,1.225988700564972,0.7281624663567409,0.7840531561461794,0.8220631132325644,1.2101694915254237,1.2101694915254237,0.9799999999999999,1.4795454545454547,4,rocket_logit_stale20,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,0.7281624663567409,2
0.22,393,1.5498591549295773,20,0,0.21374045801526717,0.22186234817813766,0.9633922103972808,0.5188254327532907,-25.23802591231777,0.9633922103972808,0.9633922103972808,0,1,1.5183098591549296,1.5774647887323943,0.882142857142857,0.884020618556701,0.9633922103972808,1.5498591549295773,1.5498591549295773,1.4153846153846152,1.7384615384615385,4,rocket_logit_stale20,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,0.882142857142857,2
0.22,245,1.5244444444444443,20,0,0.27346938775510204,0.3401273885350318,0.8040204845983338,0.5751449684033954,1.726971846113159,0.8040204845983338,0.8040204845983338,0,1,1.462222222222222,1.6177777777777775,0.7476190476190475,0.85,0.8040204845983338,1.5244444444444443,1.5244444444444443,0.890909090909091,2.1311111111111107,3,rocket_logit_stale20,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,0.7476190476190475,2
0.22,638,1.506239460370995,20,0,0.23667711598746083,0.26782178217821784,0.8837112279014249,0.5406898051463558,-14.883128653986144,0.8040204845983338,0.8837063474978073,0,2,1.4873524451939293,1.5227655986509276,0.8044947016570656,0.8641390205371248,0.8837063474978073,1.5244444444444443,1.5498591549295773,0.890909090909091,2.1311111111111107,7,rocket_logit_stale20,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,0.8044947016570656,2
0.22,353,1.396045197740113,20,0,0.5552407932011332,0.3379032258064516,1.643194710189511,0.6844845479201974,69.9003994709688,1.643194710189511,1.643194710189511,1,1,1.384180790960452,1.4039548022598871,1.564010931259197,0.8103448275862069,1.643194710189511,1.396045197740113,1.396045197740113,1.21123595505618,1.6863636363636363,4,wave_logit,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.564010931259197,3
0.22,355,1.4,20,0,0.3323943661971831,0.22186234817813766,1.4982008841369383,0.6552443090758562,27.829171559168255,1.4982008841369383,1.4982008841369383,1,1,1.3408450704225352,1.5380281690140845,1.2666666666666666,0.8514285714285714,1.4982008841369383,1.4,1.4,0.9512820512820513,1.6615384615384616,4,wave_logit,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.2666666666666666,3
0.22,213,1.3253333333333333,20,0,0.6103286384976526,0.3401273885350318,1.7944119146841098,0.7774644628577212,109.933746535719,1.7944119146841098,1.7944119146841098,1,1,1.2444444444444442,1.3688888888888888,1.5149122807017545,0.8509615384615384,1.7944119146841098,1.3253333333333333,1.3253333333333333,1.25,1.4466666666666668,3,wave_logit,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5149122807017545,3
0.22,568,1.3409780775716695,20,0,0.43661971830985913,0.26782178217821784,1.630262164484132,0.7110352076326738,58.61838717537479,1.4982008841369383,1.646306399410524,2,2,1.2984822934232716,1.3929173693086003,1.343893552985902,0.8436944937833037,1.646306399410524,1.3253333333333333,1.4,0.9512820512820513,1.6615384615384616,7,wave_logit,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.343893552985902,3
0.22,235,0.9293785310734464,20,0,0.4808510638297872,0.3379032258064516,1.4230437211191793,0.6613900040407095,53.581483389912215,1.4230437211191793,1.4230437211191793,1,1,0.9096045197740114,0.9689265536723164,1.2991094814038764,0.7260869565217392,1.4230437211191793,0.9293785310734464,0.9293785310734464,0.40898876404494383,1.7977272727272728,4,rocket50_wave_extra50,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.2991094814038764,4
0.22,340,1.3408450704225352,20,0,0.37058823529411766,0.22186234817813766,1.670352082438815,0.6654051816462474,33.431722985660976,1.670352082438815,1.670352082438815,1,1,1.2816901408450705,1.43943661971831,1.5564383561643835,0.8388059701492537,1.670352082438815,1.3408450704225352,1.3408450704225352,1.2727272727272727,1.4538461538461538,4,rocket50_wave_extra50,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5564383561643835,4
0.22,215,1.3377777777777777,20,0,0.5441860465116279,0.3401273885350318,1.599947739743925,0.7576316284181452,93.24052755721948,1.599947739743925,1.599947739743925,1,1,1.2755555555555553,1.4,1.410783055198973,0.8142857142857143,1.599947739743925,1.3377777777777777,1.3377777777777777,1.25,1.4909090909090907,3,rocket50_wave_extra50,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.410783055198973,4
0.22,555,1.3102866779089377,20,0,0.43783783783783786,0.26782178217821784,1.634810411150522,0.7083131805848735,56.60089953139986,1.599947739743925,1.63514991109137,2,2,1.2748735244519394,1.345699831365936,1.4572880800131167,0.8218181818181818,1.63514991109137,1.3377777777777777,1.3408450704225352,1.25,1.4909090909090907,7,rocket50_wave_extra50,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4572880800131167,4
0.22,307,1.2141242937853107,20,0,0.5407166123778502,0.3379032258064516,1.6002114542924446,0.6849307701475875,71.81696512668195,1.6002114542924446,1.6002114542924446,1,1,1.1666666666666667,1.265536723163842,1.5437751004016067,0.7847682119205298,1.6002114542924446,1.2141242937853107,1.2141242937853107,0.7795454545454547,1.9727272727272729,4,primary75_rocket25,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5437751004016067,5
0.22,308,1.2146478873239437,20,0,0.44155844155844154,0.22186234817813766,1.9902360413309317,0.728660458615949,55.10380651333765,1.9902360413309317,1.9902360413309317,1,1,1.1830985915492958,1.2619718309859154,1.8034920634920635,0.8085808580858086,1.9902360413309317,1.2146478873239437,1.2146478873239437,1.1613636363636364,1.353846153846154,4,primary75_rocket25,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.8034920634920635,5
0.22,202,1.2568888888888887,20,0,0.6188118811881188,0.3401273885350318,1.819353283642971,0.7577690049600163,120.62102817061358,1.819353283642971,1.819353283642971,1,1,1.151111111111111,1.3377777777777777,1.4888572783309628,0.8324873096446701,1.819353283642971,1.2568888888888887,1.2568888888888887,1.0266666666666666,1.5090909090909093,3,primary75_rocket25,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4888572783309628,5
0.22,510,1.2040472175379429,20,0,0.5117647058823529,0.26782178217821784,1.9108404914646078,0.7494197883117808,81.05376489523908,1.819353283642971,1.9047946624869514,2,2,1.1804384485666106,1.2276559865092749,1.6235514018691588,0.80990099009901,1.9047946624869514,1.2146478873239437,1.2568888888888887,1.0266666666666666,1.5090909090909093,7,primary75_rocket25,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.6235514018691588,5
