candidate,quarter,n_train,first_train,last_resolved,n_features
expanding_logit,2021-01-01,9495,2013-04-16,2020-12-31,19
expanding_logit,2021-04-01,9775,2013-04-16,2021-03-31,19
expanding_logit,2021-07-01,10085,2013-04-16,2021-06-30,19
expanding_logit,2021-10-01,10415,2013-04-16,2021-09-30,19
expanding_logit,2022-01-01,10735,2013-04-16,2021-12-31,19
expanding_logit,2022-04-01,11015,2013-04-16,2022-03-31,19
expanding_logit,2022-07-01,11315,2013-04-16,2022-06-30,19
expanding_logit,2022-10-01,11645,2013-04-16,2022-09-30,19
expanding_logit,2023-01-01,11970,2013-04-16,2022-12-31,19
expanding_logit,2023-04-01,12250,2013-04-16,2023-03-31,19
expanding_logit,2023-07-01,12555,2013-04-16,2023-06-30,19
expanding_logit,2023-10-01,12885,2013-04-16,2023-09-30,19
expanding_extra,2021-01-01,9495,2013-04-16,2020-12-31,480
expanding_extra,2021-04-01,9775,2013-04-16,2021-03-31,480
expanding_extra,2021-07-01,10085,2013-04-16,2021-06-30,480
expanding_extra,2021-10-01,10415,2013-04-16,2021-09-30,480
expanding_extra,2022-01-01,10735,2013-04-16,2021-12-31,480
expanding_extra,2022-04-01,11015,2013-04-16,2022-03-31,480
expanding_extra,2022-07-01,11315,2013-04-16,2022-06-30,480
expanding_extra,2022-10-01,11645,2013-04-16,2022-09-30,480
expanding_extra,2023-01-01,11970,2013-04-16,2022-12-31,480
expanding_extra,2023-04-01,12250,2013-04-16,2023-03-31,480
expanding_extra,2023-07-01,12555,2013-04-16,2023-06-30,480
expanding_extra,2023-10-01,12885,2013-04-16,2023-09-30,480
reset_logit,2022-10-01,725,2022-02-25,2022-09-30,19
reset_logit,2023-01-01,1050,2022-02-25,2022-12-31,19
reset_logit,2023-04-01,1330,2022-02-25,2023-03-31,19
reset_logit,2023-07-01,1635,2022-02-25,2023-06-30,19
reset_logit,2023-10-01,1965,2022-02-25,2023-09-30,19
reset_extra,2022-10-01,725,2022-02-25,2022-09-30,480
reset_extra,2023-01-01,1050,2022-02-25,2022-12-31,480
reset_extra,2023-04-01,1330,2022-02-25,2023-03-31,480
reset_extra,2023-07-01,1635,2022-02-25,2023-06-30,480
reset_extra,2023-10-01,1965,2022-02-25,2023-09-30,480
