candidate,breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps
incumbent,overall,all,2020,535,1.2630691399662732,0.26782178217821784,0.5214953271028038,1.9471729403838514,85.28894873540864
incumbent,year,2025,1235,316,1.2461971830985916,0.22186234817813766,0.4588607594936709,2.068222766330962,64.1844585857615
incumbent,quarter,2025Q1,285,65,1.1666666666666667,0.15087719298245614,0.4307692307692308,2.855098389982111,20.185228231261572
incumbent,quarter,2025Q2,295,80,1.2727272727272727,0.16610169491525423,0.2875,1.7308673469387754,22.90562940794846
incumbent,quarter,2025Q3,330,95,1.4615384615384615,0.34545454545454546,0.5578947368421052,1.6149584487534625,104.69398198738985
incumbent,quarter,2025Q4,325,76,1.169230769230769,0.20923076923076922,0.5394736842105263,2.5783668730650158,94.62987416619372
incumbent,year,2026,785,219,1.3626666666666665,0.3401273885350318,0.6118721461187214,1.7989499427086006,115.74108977325565
incumbent,quarter,2026Q1,270,82,1.4909090909090907,0.2851851851851852,0.5121951219512195,1.7960088691796008,103.5618094525545
incumbent,quarter,2026Q2,310,69,1.0733333333333333,0.3032258064516129,0.5362318840579711,1.7684242984890535,104.29941692269712
incumbent,quarter,2026Q3,205,68,1.7,0.4682926829268293,0.8088235294117647,1.727175245098039,142.0378017289326
incumbent,currency,TJS,404,109,1.2866779089376055,0.2995049504950495,0.5871559633027523,1.9604215634240656,91.34079890739842
incumbent,currency,UZS,404,103,1.2158516020236088,0.2698019801980198,0.5048543689320388,1.871203349069208,84.46778786916629
incumbent,currency,KGS,404,106,1.2512647554806071,0.24257425742574257,0.5283018867924528,2.1778975741239894,84.08147880034109
incumbent,currency,AMD,404,110,1.2984822934232716,0.2623762376237624,0.5363636363636364,2.044253859348199,87.03467194066658
incumbent,currency,KZT,404,107,1.2630691399662732,0.26485148514851486,0.4485981308411215,1.693772381867412,79.3159595860148
crossbank_selected,overall,all,2020,520,1.2276559865092749,0.26782178217821784,0.2076923076923077,0.7754869899047349,-46.0195092458236
crossbank_selected,year,2025,1235,325,1.2816901408450705,0.22186234817813766,0.18461538461538463,0.8321167883211679,-60.91052356987672
crossbank_selected,quarter,2025Q1,285,60,1.0769230769230769,0.15087719298245614,0.03333333333333333,0.22093023255813954,-172.26313720463938
crossbank_selected,quarter,2025Q2,295,90,1.4318181818181819,0.16610169491525423,0.2111111111111111,1.2709750566893425,-54.90770749924147
crossbank_selected,quarter,2025Q3,330,90,1.3846153846153846,0.34545454545454546,0.4,1.1578947368421053,51.798434398809334
crossbank_selected,quarter,2025Q4,325,85,1.3076923076923077,0.20923076923076922,0.03529411764705882,0.16868512110726644,-108.00349822226683
crossbank_selected,year,2026,785,195,1.2133333333333332,0.3401273885350318,0.24615384615384617,0.7237107461826564,-21.201152039068383
crossbank_selected,quarter,2026Q1,270,50,0.9090909090909091,0.2851851851851852,0.12,0.42077922077922075,-48.647297724528286
crossbank_selected,quarter,2026Q2,310,100,1.5555555555555556,0.3032258064516129,0.23,0.7585106382978724,-37.4760214006532
