candidate,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
incumbent,1,1.4355033375206288,0.5438725752866788,1.434437116861265,2.039553329844701,46.38983128414809,301
incumbent,3,1.5322751322751325,0.39244186046511625,1.5314063282608499,12.19912291052137,58.63113899746999,301
incumbent,5,1.5702413929560743,0.3385221305326332,1.5625516995688895,20.61525879010143,66.99984626827556,301
incumbent,10,1.428259358554265,0.2698263851677205,1.4169054968254158,26.417916238693604,79.77386842887262,301
incumbent,20,1.424175824175824,0.18895348837209303,1.4250600790631123,36.78963850659518,102.27563392449217,301
crossbank_selected,1,1.0592572610376765,0.5435483870967742,1.0597456013128679,6.018645072446898,11.644784145328721,330
crossbank_selected,3,1.1597456041900485,0.39193548387096777,1.163109154136036,10.51951149124453,16.455956235034414,330
crossbank_selected,5,1.1748029218196283,0.3379032258064516,1.1772218762802535,14.744075086565056,24.873021414627914,330
crossbank_selected,10,1.203774269642533,0.2693548387096774,1.207765182559703,14.693404224515474,50.346099843129,330
crossbank_selected,20,1.2685832685832685,0.18870967741935485,1.2757879868453679,17.318233861937607,84.30955824843777,330
incumbent95_crossbank5,1,1.4286478209085827,0.5439053410893707,1.4277319564308717,2.102988725646714,45.77404204132804,305
incumbent95_crossbank5,3,1.5290589939692056,0.3923982020095188,1.5291766227813874,11.82981162270485,57.87618556087201,305
incumbent95_crossbank5,5,1.5790008202804577,0.33845848757271285,1.5736822766613816,20.09642743268157,66.89920746397202,305
incumbent95_crossbank5,10,1.4581802146112008,0.26981755684822845,1.4486150727071798,25.931097087360175,81.20008994957884,305
incumbent95_crossbank5,20,1.4565794993707177,0.18907985193019564,1.456361917021427,37.05434950591436,104.99355829273675,305
incumbent90_crossbank10,1,1.4329073865407205,0.5443026411942792,1.431020588674274,2.361333515029336,46.219381557317114,309
incumbent90_crossbank10,3,1.5401168969181724,0.39294289591815423,1.5383509003759155,11.579806762573762,57.92749612606371,309
incumbent90_crossbank10,5,1.5935972911616454,0.3391403069213905,1.5843695961126314,19.828191326737723,67.64938281460093,309
incumbent90_crossbank10,10,1.4720586815944408,0.2704092285207224,1.4557908399902075,24.93742479119102,81.9702174095615,309
incumbent90_crossbank10,20,1.5031338246435704,0.1894639315168598,1.5004393857484795,37.21392033229642,106.5832123062915,309
incumbent80_crossbank20,1,1.4461669748257717,0.5434659383695764,1.4462523144549517,3.4860378607539833,47.37103752141269,313
incumbent80_crossbank20,3,1.5741629941458923,0.3917087498711739,1.5728226392946838,12.88771481099749,59.84099080399253,313
incumbent80_crossbank20,5,1.6180083937428462,0.3376533031021334,1.6120243594240171,20.457659610979793,68.66334280209944,313
incumbent80_crossbank20,10,1.5077792139403512,0.2691049160053592,1.4994349577370607,26.201036492247017,84.78987040948256,313
incumbent80_crossbank20,20,1.5572998430141287,0.18874317221477893,1.5593510319085975,40.03171387585563,109.14672825040789,313
incumbent70_crossbank30,1,1.4716853170566293,0.5440385831752056,1.4717297391145314,4.578572399948848,48.79329467656129,306
incumbent70_crossbank30,3,1.640068481654302,0.3925390048492515,1.639138702400997,15.145619241707792,62.259549574982394,306
incumbent70_crossbank30,5,1.6887816646562122,0.3386437908496732,1.6835420078186842,24.15841268672472,74.49280408719342,306
incumbent70_crossbank30,10,1.5856313143638046,0.26998998524140844,1.5852387163145956,28.941965787090606,91.05339913506548,306
incumbent70_crossbank30,20,1.692243420136471,0.18925258275353152,1.7014582286032414,43.832344575935494,121.97950391781164,306
