candidate,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals,period
incumbent,1,1.6320081831250692,0.46343463332137547,1.6356200452647034,18.45935618673006,66.6909721255278,316,retrospective_2025
incumbent,3,2.036264528335886,0.2844001434940809,2.0371470876551543,34.24545115341266,70.17735775246841,316,retrospective_2025
incumbent,5,2.065574715958244,0.22214677394557478,2.0719428304409515,41.07254728398513,64.1844585857615,316,retrospective_2025
incumbent,10,2.164786532454009,0.14764515963716496,2.164989967566919,49.02196414868605,45.90956617704427,316,retrospective_2025
incumbent,20,2.132987910189983,0.09643570952698201,2.1024480517572797,62.98428476592117,10.081362220821005,316,retrospective_2025
selected,1,1.5721213457140497,0.46351805259326423,1.5758199267467172,16.530635595093617,58.26524862097679,317,retrospective_2025
selected,3,1.9309880037740939,0.28425650391448165,1.9368283236098165,29.61114857193611,60.479629305803044,317,retrospective_2025
selected,5,1.9480168096252373,0.2218546852450223,1.9546364720874994,33.38795135935151,51.26595943371857,317,retrospective_2025
selected,10,2.247984744734333,0.14734543225328547,2.2541232540369807,37.2814190866645,32.729760947735016,317,retrospective_2025
selected,20,2.264549561520064,0.0961187243770674,2.2650068108927046,52.55021026587668,8.563008665741608,317,retrospective_2025
incumbent,1,1.612046152217635,0.5495157490620365,1.6197286807965927,17.35559496507539,75.46700153640572,219,retrospective_2026
incumbent,3,1.7884643114635903,0.4033970276008493,1.792033386814498,27.082538428996706,97.80766158055724,219,retrospective_2026
incumbent,5,1.8030510798765853,0.33935375039990695,1.8096384650119777,33.91184360769942,115.74108977325565,219,retrospective_2026
incumbent,10,1.7482325630473778,0.29134899163797345,1.7550509902993494,44.1879314135016,149.0058434424759,214,retrospective_2026
incumbent,20,1.7154362416107383,0.2459286971830986,1.7220429717577428,82.34207651596454,193.49728753618788,192,retrospective_2026
selected,1,1.5025351755609075,0.5491629250635203,1.507496168281154,18.70296453679564,59.823512204376684,183,retrospective_2026
selected,3,1.5309803244735933,0.4033274163795204,1.5266498005098286,25.010863748840826,66.36308069990176,183,retrospective_2026
selected,5,1.4992299004004517,0.3389718422609725,1.4953949690172599,35.175614854624946,78.62594776213687,183,retrospective_2026
selected,10,1.5774647887323945,0.29098360655737704,1.5794963793097774,63.716841670722395,118.66697065171255,183,retrospective_2026
selected,20,1.706275033377837,0.2453324598755323,1.7154566161867884,123.03507018675056,184.4665863483581,172,retrospective_2026
incumbent,1,1.6230036627345803,0.49867157602643114,1.627674363030648,18.007536172632168,70.28340285633575,535,combined_2025_2026
incumbent,3,1.9134256869073194,0.333111017549001,1.914590237234826,31.313342954072297,81.4877064222842,535,combined_2025_2026
incumbent,5,1.9305707003955412,0.27012495683061916,1.9407906477264647,38.141343349206494,85.28894873540864,535,combined_2025_2026
incumbent,10,1.9265250031338068,0.20566897104881215,1.9600204789331344,47.07010942164931,87.53711963893554,530,combined_2025_2026
incumbent,20,1.8792155066718188,0.15293699620015994,1.912245511757511,70.30061550609504,79.40391667072346,508,combined_2025_2026
selected,1,1.543858277818406,0.4948640759173779,1.5416580475139356,17.325707987756555,58.83557309250116,500,combined_2025_2026
selected,3,1.750872992337867,0.3278364578766858,1.7317390620598225,27.92744432668324,62.632972516043175,500,combined_2025_2026
selected,5,1.7376879585721579,0.26471956471286007,1.72501572055238,34.04223619862159,61.27971516191967,500,combined_2025_2026
selected,10,1.8907846373495072,0.199917004048583,1.916809816673379,46.95678375242969,64.18277969939079,500,combined_2025_2026
selected,20,1.9403629121487054,0.14860290128041292,1.990231713539746,77.34243093334153,70.43502371974986,489,combined_2025_2026
