rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap
0.15,259,1.0242937853107343,20.0,0.0,0.42084942084942084,0.3379032258064516,1.2454732263801476,0.5893505504376466,37.67155298532132,1.2454732263801476,1.2454732263801476,1.0,1.0,0.9887005649717514,1.0480225988700564,1.0677382319173363,0.7913385826771654,1.2454732263801476,1.0242937853107343,1.0242937853107343,0.6825,1.3363636363636364,4.0,rank_pair_fav_compact_quarter,rolling,0.15,20,0,0,0.0,0.0,0,0
0.15,172,0.6802259887005649,40.0,0.0,0.45930232558139533,0.3379032258064516,1.3592717988566354,0.5893505504376466,45.08269711763244,1.3592717988566354,1.3592717988566354,1.0,1.0,0.5932203389830508,0.7514124293785311,1.0714846818538886,0.718562874251497,1.3592717988566354,0.6802259887005649,0.6802259887005649,0.33249999999999996,1.0181818181818183,4.0,rank_pair_fav_compact_quarter,rolling,0.15,40,0,0,0.0,0.0,0,0
0.15,177,0.7,60.0,0.0,0.5141242937853108,0.3379032258064516,1.521513423135526,0.5893505504376466,45.894861636128155,1.521513423135526,1.521513423135526,1.0,1.0,0.612994350282486,0.7514124293785311,1.1940298507462688,0.7790697674418605,1.521513423135526,0.7,0.7,0.2202247191011236,1.3363636363636364,4.0,rank_pair_fav_compact_quarter,rolling,0.15,60,0,0,0.0,0.0,0,0
0.15,165,0.652542372881356,120.0,0.0,0.5818181818181818,0.3379032258064516,1.721848557170753,0.5893505504376466,73.7259984360473,1.721848557170753,1.721848557170753,1.0,1.0,0.612994350282486,0.692090395480226,1.6909090909090907,0.8375,1.721848557170753,0.652542372881356,0.652542372881356,0.07865168539325842,1.384090909090909,4.0,rank_pair_fav_compact_quarter,rolling,0.15,120,0,0,0.0,0.0,0,0
0.15,211,0.8344632768361583,250.0,0.0,0.5118483412322274,0.3379032258064516,1.5147779072266399,0.5893505504376466,65.32811790124003,1.5147779072266399,1.5147779072266399,1.0,1.0,0.7909604519774012,0.9096045197740114,1.3333333333333333,0.8640776699029126,1.5147779072266399,0.8344632768361583,0.8344632768361583,0.06292134831460675,2.2925,4.0,rank_pair_fav_compact_quarter,rolling,0.15,250,0,0,0.0,0.0,0,0
0.15,112,0.4429378531073446,40.0,3.0,0.44642857142857145,0.3379032258064516,1.3211728605523356,0.5893505504376466,20.75296936259552,1.3211728605523356,1.3211728605523356,1.0,1.0,0.3954802259887006,0.4745762711864407,0.7711442786069652,0.5514018691588785,1.3211728605523356,0.4429378531073446,0.4429378531073446,0.2975,0.6681818181818182,4.0,rank_pair_fav_compact_quarter,rolling,0.15,40,3,0,0.0,0.0,0,0
0.15,115,0.4548022598870057,60.0,3.0,0.4782608695652174,0.3379032258064516,1.4153782297395456,0.5893505504376466,17.638607130073336,1.4153782297395456,1.4153782297395456,1.0,1.0,0.3954802259887006,0.4943502824858757,0.9253731343283582,0.5818181818181818,1.4153782297395456,0.4548022598870057,0.4548022598870057,0.14157303370786517,0.7318181818181818,4.0,rank_pair_fav_compact_quarter,rolling,0.15,60,3,0,0.0,0.0,0,0
0.15,95,0.37570621468926557,120.0,3.0,0.5578947368421052,0.3379032258064516,1.6510488632081397,0.5893505504376466,70.07100789310151,1.6510488632081397,1.6510488632081397,1.0,1.0,0.3361581920903955,0.4152542372881356,1.2955223880597015,0.6444444444444445,1.6510488632081397,0.37570621468926557,0.37570621468926557,0.07865168539325842,0.7000000000000001,4.0,rank_pair_fav_compact_quarter,rolling,0.15,120,3,0,0.0,0.0,0,0
0.18,288,1.1389830508474577,20.0,0.0,0.4201388888888889,0.3379032258064516,1.2433704587642536,0.5893505504376466,34.36358475522954,1.2433704587642536,1.2433704587642536,1.0,1.0,1.1073446327683616,1.1666666666666667,1.1920060713382241,0.8127208480565371,1.2433704587642536,1.1389830508474577,1.1389830508474577,0.8575,1.4795454545454547,4.0,rank_pair_fav_compact_quarter,rolling,0.18,20,0,0,0.0,0.0,0,0
0.18,203,0.8028248587570622,40.0,0.0,0.45320197044334976,0.3379032258064516,1.3412182418848537,0.5893505504376466,46.845649679353784,1.3412182418848537,1.3412182418848537,1.0,1.0,0.7711864406779662,0.8502824858757062,1.0575692963752665,0.7575757575757576,1.3412182418848537,0.8028248587570622,0.8028248587570622,0.40249999999999997,1.225,4.0,rank_pair_fav_compact_quarter,rolling,0.18,40,0,0,0.0,0.0,0,0
