rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness
0.22,325,1.2853107344632768,60.0,0.0,0.4676923076923077,0.3379032258064516,1.384101340187259,0.6009726772461548,66.17027578184943,1.384101340187259,1.384101340187259,1.0,1.0,1.225988700564972,1.344632768361582,1.2916666666666667,0.8875,1.384101340187259,1.2853107344632768,1.2853107344632768,0.802247191011236,1.925,4.0,rank_pair_benefit_compact_quarter_anchor25,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2916666666666667
0.35,461,1.8231638418079097,20.0,0.0,0.44468546637744033,0.3379032258064516,1.3160142680382483,0.5994421495411324,53.8886025653878,1.3160142680382483,1.3160142680382483,1.0,1.0,1.7401129943502827,1.9180790960451979,1.2666317443687796,0.9035087719298246,1.3160142680382483,1.8231638418079097,1.8231638418079097,1.54,2.434090909090909,4.0,rank_pair_ordinal_compact_quarter_anchor25,rolling,0.35,20,0,0,0.0,0.0,0,0,1.2666317443687796
,266,1.0519774011299436,,,0.44360902255639095,0.3379032258064516,1.3128286109067417,0.5989159852208872,33.971458035330286,1.3128286109067417,,,,1.0282485875706215,1.0875706214689267,1.2578616352201257,0.8045977011494253,1.3128286109067417,1.0519774011299436,1.0519774011299436,0.7865168539325843,1.3681818181818182,,rank_pair_fav_compact_quarter_anchor25,weekly,0.0,0,0,20,0.75,0.65,4,2,1.2578616352201257
0.3,327,1.293220338983051,40.0,0.0,0.4434250764525994,0.3379032258064516,1.312284235802442,0.5893505504376466,38.84821900479801,1.312284235802442,1.312284235802442,1.0,1.0,1.225988700564972,1.344632768361582,1.2537313432835822,0.8757763975155279,1.312284235802442,1.293220338983051,1.293220338983051,0.8494382022471911,1.940909090909091,4.0,rank_pair_fav_compact_quarter,rolling,0.3,40,0,0,0.0,0.0,0,0,1.2537313432835822
0.25,318,1.257627118644068,60.0,0.0,0.4339622641509434,0.3379032258064516,1.2842797316161572,0.5944494024691933,56.1110091584115,1.2842797316161572,1.2842797316161572,1.0,1.0,1.1666666666666667,1.3248587570621468,1.2473118279569892,0.9137380191693291,1.2842797316161572,1.257627118644068,1.257627118644068,0.8337078651685393,1.7977272727272728,4.0,rank_pair_benefit_compact_quarter_baseload25,rolling,0.25,60,0,0,0.0,0.0,0,0,1.2473118279569892
0.3,320,1.265536723163842,60.0,0.0,0.453125,0.3379032258064516,1.3409904534606205,0.5895336905049142,48.1312605896104,1.3409904534606205,1.3409904534606205,1.0,1.0,1.1864406779661016,1.364406779661017,1.2338308457711442,0.873015873015873,1.3409904534606205,1.265536723163842,1.265536723163842,0.755056179775281,2.3386363636363634,4.0,rank_pair_ordinal_compact_quarter_baseload25,rolling,0.3,60,0,0,0.0,0.0,0,0,1.2338308457711442
0.35,354,1.4,60.0,0.0,0.4491525423728814,0.3379032258064516,1.3292342542777398,0.5831383230765206,50.57552629764993,1.3292342542777398,1.3292342542777398,1.0,1.0,1.2853107344632768,1.4830508474576272,1.2338308457711442,0.8882521489971347,1.3292342542777398,1.4,1.4,0.8179775280898877,2.290909090909091,4.0,rank_pair_ordinal_compact_quarter,rolling,0.35,60,0,0,0.0,0.0,0,0,1.2338308457711442
,265,1.0480225988700564,,,0.42641509433962266,0.3379032258064516,1.2619444319358761,0.5817604120942212,67.54396958934667,1.2619444319358761,,,,1.0084745762711864,1.0875706214689267,1.2003367003367003,0.7769230769230769,1.2619444319358761,1.0480225988700564,1.0480225988700564,0.802247191011236,1.3045454545454545,,rank_pair_benefit_compact_quarter,weekly,0.0,0,0,20,0.75,0.65,4,2,1.2003367003367003
0.35,381,1.5067796610169493,40.0,0.0,0.42782152230971127,0.3379032258064516,1.2661066531361385,0.5857299003776173,34.167530452550366,1.2661066531361385,1.2661066531361385,1.0,1.0,1.463276836158192,1.5423728813559323,1.1929824561403508,0.9042553191489362,1.2661066531361385,1.5067796610169493,1.5067796610169493,0.8337078651685393,2.577272727272727,4.0,rank_pair_fav_compact_quarter_baseload25,rolling,0.35,40,0,0,0.0,0.0,0,0,1.1929824561403508
0.25,265,1.0480225988700564,40.0,0.0,0.4188679245283019,0.3379032258064516,1.239609132255595,0.5716862549019038,32.266366146494846,1.239609132255595,1.239609132255595,1.0,1.0,0.9887005649717514,1.0875706214689267,1.1844776119402987,0.7730769230769231,1.239609132255595,1.0480225988700564,1.0480225988700564,0.7078651685393259,1.7340909090909091,4.0,rank_pair_fav_full_month_anchor25,rolling,0.25,40,0,0,0.0,0.0,0,0,1.1844776119402987
,283,1.1192090395480228,,,0.42402826855123676,0.3379032258064516,1.2548807947578369,0.546417286096762,39.356162546889934,1.2548807947578369,,,,1.0480225988700564,1.1666666666666667,1.1785123966942148,0.7482014388489209,1.2548807947578369,1.1192090395480228,1.1192090395480228,0.9975,1.3204545454545455,,rank_pair_fav_full_month,weekly,0.0,0,0,20,0.9,0.3,4,2,1.1785123966942148
,269,1.0638418079096046,,,0.39776951672862454,0.3379032258064516,1.1771699301754044,0.5434579751685324,42.61065487833163,1.1771699301754044,,,,1.0480225988700564,1.0875706214689267,1.106648817492191,0.8257575757575758,1.1771699301754044,1.0638418079096046,1.0638418079096046,0.9545454545454546,1.3522727272727273,,rank_ndcg_ordinal_full_month_baseload25,weekly,0.0,0,0,20,0.75,0.65,4,2,1.106648817492191
,278,1.0994350282485876,,,0.4064748201438849,0.3379032258064516,1.2029326419532633,0.523379428428571,41.34139198499004,1.2029326419532633,,,,1.0677966101694916,1.1271186440677967,1.1008243500317059,0.7582417582417582,1.2029326419532633,1.0994350282485876,1.0994350282485876,1.0224719101123596,1.2727272727272727,,rank_ndcg_ordinal_full_month,weekly,0.0,0,0,20,0.9,0.5,3,2,1.1008243500317059
,321,1.269491525423729,,,0.38317757009345793,0.3379032258064516,1.133986126290902,0.5386788915084055,32.11983392048729,1.133986126290902,,,,1.225988700564972,1.305084745762712,1.0674931129476584,0.8512658227848101,1.133986126290902,1.269491525423729,1.269491525423729,0.7318181818181818,1.8724999999999998,,anchor_multiscale_locked,weekly,0.0,0,0,40,0.75,0.3,3,2,1.0674931129476584
,307,1.2141242937853107,,,0.3973941368078176,0.3379032258064516,1.1760590206245676,0.5630655903069486,32.99570864716367,1.1760590206245676,,,,1.1666666666666667,1.2457627118644068,1.0666666666666667,0.7880794701986755,1.1760590206245676,1.2141242937853107,1.2141242937853107,1.0382022471910113,1.4636363636363636,,rank_pair_fav_full_month_baseload25,weekly,0.0,0,0,20,0.85,0.3,4,2,1.0666666666666667
0.35,399,1.5779661016949154,120.0,0.0,0.41353383458646614,0.3379032258064516,1.2238232813537424,0.5463838557670226,32.7281142440836,1.2238232813537424,1.2238232813537424,1.0,1.0,1.4435028248587571,1.7203389830508475,1.0476190476190477,0.9111675126903553,1.2238232813537424,1.5779661016949154,1.5779661016949154,0.7795454545454547,3.08,4.0,rank_ndcg_ordinal_full_month_anchor25,rolling,0.35,120,0,0,0.0,0.0,0,0,1.0476190476190477
0.35,479,1.8943502824858758,120.0,0.0,0.37995824634655534,0.3379032258064516,1.1244587720041257,0.5565030712298582,31.487569012523725,1.1244587720041257,1.1244587720041257,1.0,1.0,1.8389830508474576,1.957627118644068,0.979591836734694,0.9219409282700421,1.1244587720041257,1.8943502824858758,1.8943502824858758,0.7795454545454547,3.0359550561797755,4.0,packet_e_cbr_anchor50,rolling,0.35,120,0,0,0.0,0.0,0,0,0.979591836734694
