rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap
0.22,318,1.257627118644068,20,0,0.5628930817610063,0.3379032258064516,1.6658411011542906,0.7502594484286292,87.88680058159747,1.6658411011542906,1.6658411011542906,1,1,1.2062146892655368,1.2853107344632768,1.5170051382432104,0.805111821086262,1.6658411011542906,1.257627118644068,1.257627118644068,1.065909090909091,1.638636363636364,4,availability_router,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,301,1.1870422535211267,20,0,0.46511627906976744,0.22186234817813766,2.096418265150229,0.7913631633714879,73.1672772624637,2.096418265150229,2.096418265150229,1,1,1.064788732394366,1.3014084507042254,1.8038601982263953,0.7094594594594594,2.096418265150229,1.1870422535211267,1.1870422535211267,0.9545454545454546,1.4,4,availability_router,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,205,1.2755555555555553,20,0,0.6780487804878049,0.3401273885350318,1.9935142048049697,0.8246026925802206,127.55265299738797,1.9935142048049697,1.9935142048049697,1,1,1.2133333333333332,1.3066666666666666,1.7656320287899239,0.82,1.9935142048049697,1.2755555555555553,1.2755555555555553,1.1355555555555554,1.4545454545454546,3,availability_router,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,506,1.19460370994941,20,0,0.5513833992094862,0.26782178217821784,2.0587698085086177,0.8072203704606324,95.20087810368796,1.9935142048049697,2.0449662349775997,2,2,1.1332209106239461,1.2630691399662732,1.8317757009345792,0.7465069860279441,2.0449662349775997,1.1870422535211267,1.2755555555555553,0.9545454545454546,1.4545454545454546,7,availability_router,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,309,1.2220338983050847,20,0,0.6084142394822006,0.3379032258064516,1.800557653837539,0.7571998755810337,99.04400449439684,1.800557653837539,1.800557653837539,1,1,1.2062146892655368,1.2457627118644068,1.5863539445628998,0.7960526315789473,1.800557653837539,1.2220338983050847,1.2220338983050847,1.0818181818181818,1.5590909090909093,4,selected,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,301,1.1870422535211267,20,0,0.45182724252491696,0.22186234817813766,2.0365206004316514,0.7882395163189195,73.29722990908077,2.0365206004316514,2.0365206004316514,1,1,1.123943661971831,1.3014084507042254,1.565492957746479,0.7195945945945946,2.0365206004316514,1.1870422535211267,1.1870422535211267,0.9863636363636364,1.3692307692307693,4,selected,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,212,1.319111111111111,20,0,0.6698113207547169,0.3401273885350318,1.9692954561515088,0.8245014677598947,126.24295318507932,1.9692954561515088,1.9692954561515088,1,1,1.2755555555555553,1.3377777777777777,1.6654426764585883,0.8405797101449275,1.9692954561515088,1.319111111111111,1.319111111111111,1.2133333333333332,1.4727272727272727,3,selected,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,513,1.2111298482293424,20,0,0.5419103313840156,0.26782178217821784,2.0233990192157325,0.8067542014574967,95.1773338749905,1.9692954561515088,2.0029080282915803,2,2,1.1686340640809445,1.2630691399662732,1.8152932680734977,0.7618110236220472,2.0029080282915803,1.1870422535211267,1.319111111111111,0.9863636363636364,1.4727272727272727,7,selected,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,281,1.1112994350282488,20,0,0.5551601423487544,0.3502222222222222,1.5851653810719513,0.7318133840716078,81.51977374683325,1.5851653810719513,1.5851653810719513,1,1,1.0677966101694916,1.1468926553672316,1.40625,0.7753623188405797,1.5851653810719513,1.1112994350282488,1.1112994350282488,0.9799999999999999,1.4160919540229886,4,matched_stale20,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,267,1.052957746478873,20,0,0.449438202247191,0.22532751091703057,1.9945997735388903,0.7951875934034242,77.4412168780411,1.9945997735388903,1.9945997735388903,1,1,0.9859154929577465,1.1042253521126761,1.6459375,0.7290076335877863,1.9945997735388903,1.052957746478873,1.052957746478873,0.8974358974358975,1.169230769230769,4,matched_stale20,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,190,1.182222222222222,20,0,0.6105263157894737,0.35766423357664234,1.706981740064447,0.7902597402597403,113.71248880893786,1.706981740064447,1.706981740064447,1,1,1.151111111111111,1.2444444444444442,1.5537475345167655,0.7945945945945946,1.706981740064447,1.182222222222222,1.182222222222222,1.0620689655172413,1.5,3,matched_stale20,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,457,1.078920741989882,20,0,0.5164113785557987,0.2748633879781421,1.8787928881851124,0.7958698449843515,92.52117676178372,1.706981740064447,1.8507907568016686,2,2,1.026981450252951,1.109612141652614,1.7084237950499348,0.7477876106194691,1.8507907568016686,1.052957746478873,1.182222222222222,0.8974358974358975,1.5,7,matched_stale20,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
