regime,start,end,horizon,n_scope,n_signals,frequency,base_rate,hit_rate,pooled_lift,corridor_lift_min,symmetric_benefit_bps,future_only_benefit_bps
pre_svo_2022,2022-01-03,2022-02-23,1,160,45,1.4651162790697674,0.54375,0.8,1.4712643678160922,1.3333333333333333,22.538917433462498,93.492120707524
post_svo_2022,2022-02-24,2022-12-31,1,1075,280,1.268608414239482,0.48930232558139536,0.7535714285714286,1.5400936990765888,1.5278790087463556,8.570757779587854,129.742730116522
pre_svo_2022,2022-01-03,2022-02-23,3,160,45,1.4651162790697674,0.44375,0.7111111111111111,1.6025039123630673,1.5238095238095237,67.28004901801067,189.44849042090726
post_svo_2022,2022-02-24,2022-12-31,3,1075,280,1.268608414239482,0.31534883720930235,0.48928571428571427,1.5515697429414241,1.486175115207373,20.404131585390424,148.0467088491137
pre_svo_2022,2022-01-03,2022-02-23,5,160,45,1.4651162790697674,0.4375,0.6888888888888889,1.5746031746031746,1.3675213675213675,110.63663485110774,296.3485562376941
post_svo_2022,2022-02-24,2022-12-31,5,1075,280,1.268608414239482,0.25395348837209303,0.3892857142857143,1.5329016221873364,1.486175115207373,34.97968050869075,167.72543933329217
pre_svo_2022,2022-01-03,2022-02-23,10,160,45,1.4651162790697674,0.38125,0.6,1.5737704918032787,1.4814814814814816,264.8275508201425,605.1344565703802
post_svo_2022,2022-02-24,2022-12-31,10,1075,280,1.268608414239482,0.19348837209302325,0.33214285714285713,1.7166037087912087,1.6165413533834585,75.81275816624826,187.45759032386368
pre_svo_2022,2022-01-03,2022-02-23,20,160,45,1.4651162790697674,0.26875,0.6,2.2325581395348837,1.9753086419753088,432.99417854153154,899.3515864306686
post_svo_2022,2022-02-24,2022-12-31,20,1075,280,1.268608414239482,0.14976744186046512,0.275,1.8361801242236027,1.5597098214285714,115.31323793083664,106.15833245603714
