breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps
overall,all,2020,245,0.5784148397976392,0.26782178217821784,0.3795918367346939,1.4173299634086536,37.1589040501234
year,2025,1235,64,0.2523943661971831,0.22186234817813766,0.125,0.563412408759124,-71.72666213025165
quarter,2025Q1,285,1,0.01794871794871795,0.15087719298245614,0.0,0.0,-311.1482822839843
quarter,2025Q2,295,0,0.0,0.16610169491525423,,,
quarter,2025Q3,330,23,0.3538461538461538,0.34545454545454546,0.13043478260869565,0.37757437070938216,-89.9009509735467
quarter,2025Q4,325,40,0.6153846153846154,0.20923076923076922,0.125,0.5974264705882353,-55.29090554151369
year,2026,785,181,1.1262222222222222,0.3401273885350318,0.4696132596685083,1.3806981604486106,75.6598777271621
quarter,2026Q1,270,60,1.0909090909090908,0.2851851851851852,0.4,1.4025974025974026,68.59861393000155
quarter,2026Q2,310,26,0.40444444444444444,0.3032258064516129,0.19230769230769232,0.6342062193126023,-79.77825574301973
quarter,2026Q3,205,95,2.375,0.4682926829268293,0.5894736842105263,1.2587719298245612,122.66058612773432
currency,TJS,404,39,0.4603709949409781,0.2995049504950495,0.3333333333333333,1.1129476584022038,40.93966373272777
currency,UZS,404,43,0.5075885328836426,0.2698019801980198,0.4418604651162791,1.6377213569447406,34.865082705467515
currency,KGS,404,51,0.6020236087689714,0.24257425742574257,0.4117647058823529,1.6974789915966386,57.33132025117789
currency,AMD,404,45,0.5311973018549747,0.2623762376237624,0.4,1.5245283018867926,42.96520412843363
currency,KZT,404,67,0.790893760539629,0.26485148514851486,0.3283582089552239,1.2397823964290695,17.175440772823272
