rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,period,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness
0.35,316,1.2461971830985916,250,0,0.3575949367088608,0.22186234817813766,1.6117873972096461,0.6240021419294075,21.186524235534083,1.6117873972096461,1.6117873972096461,1,1,1.064788732394366,1.380281690140845,1.4909456740442655,0.8553054662379421,1.6117873972096461,1.2461971830985916,1.2461971830985916,0.8431818181818181,2.01025641025641,4,retrospective_2025,primary80_shared_extra_minimum,rolling,0.35,250,0,0,0.0,0.0,0,0,1.4909456740442655
0.35,308,1.9164444444444444,250,0,0.4155844155844156,0.3401273885350318,1.2218493117369524,0.5575824620768441,56.086897948884605,1.2218493117369524,1.2218493117369524,1,1,1.4933333333333332,2.1466666666666665,1.0778032036613274,0.9174917491749175,1.2218493117369524,1.9164444444444444,1.9164444444444444,1.1977777777777778,2.45,3,retrospective_2026,primary80_shared_extra_minimum,rolling,0.35,250,0,0,0.0,0.0,0,0,1.0778032036613274
0.35,624,1.47318718381113,250,0,0.38621794871794873,0.26782178217821784,1.4420707142518603,0.6094416095203459,38.412990747893,1.2218493117369524,1.4168183544732993,2,2,1.3929173693086003,1.6053962900505903,1.3326003298515667,0.8788368336025848,1.4168183544732993,1.2461971830985916,1.9164444444444444,0.8431818181818181,2.45,7,combined_2025_2026,primary80_shared_extra_minimum,rolling,0.35,250,0,0,0.0,0.0,0,0,1.3326003298515667
0.35,315,1.2422535211267605,250,0,0.35873015873015873,0.22186234817813766,1.6169041825976131,0.624220512392049,22.73745125082007,1.6169041825976131,1.6169041825976131,1,1,1.064788732394366,1.380281690140845,1.4909456740442655,0.8516129032258064,1.6169041825976131,1.2422535211267605,1.2422535211267605,0.8431818181818181,1.9923076923076923,4,retrospective_2025,primary80_shared_extra_conservative,rolling,0.35,250,0,0,0.0,0.0,0,0,1.4909456740442655
0.35,307,1.910222222222222,250,0,0.4169381107491857,0.3401273885350318,1.2258292769217631,0.5575246193223722,55.55936308557784,1.2258292769217631,1.2258292769217631,1,1,1.4933333333333332,2.1155555555555554,1.0936532507739938,0.9172185430463576,1.2258292769217631,1.910222222222222,1.910222222222222,1.1977777777777778,2.45,3,retrospective_2026,primary80_shared_extra_conservative,rolling,0.35,250,0,0,0.0,0.0,0,0,1.0936532507739938
0.35,622,1.4684654300168636,250,0,0.387459807073955,0.26782178217821784,1.4467075975774288,0.6095690873710693,38.93733378019408,1.2258292769217631,1.4213667297596881,2,2,1.3929173693086003,1.581787521079258,1.3524898870135302,0.8768233387358185,1.4213667297596881,1.2422535211267605,1.910222222222222,0.8431818181818181,2.45,7,combined_2025_2026,primary80_shared_extra_conservative,rolling,0.35,250,0,0,0.0,0.0,0,0,1.3524898870135302
0.35,316,1.2461971830985916,250,0,0.36075949367088606,0.22186234817813766,1.626051002494687,0.6242755797261066,23.24996744916245,1.626051002494687,1.626051002494687,1,1,1.064788732394366,1.380281690140845,1.4909456740442655,0.8520900321543409,1.626051002494687,1.2461971830985916,1.2461971830985916,0.8431818181818181,1.9923076923076923,4,retrospective_2025,primary80_shared_extra_geomean,rolling,0.35,250,0,0,0.0,0.0,0,0,1.4909456740442655
0.35,307,1.910222222222222,250,0,0.4169381107491857,0.3401273885350318,1.2258292769217631,0.5575643862160716,56.390673212804536,1.2258292769217631,1.2258292769217631,1,1,1.4933333333333332,2.1466666666666665,1.0778032036613274,0.9139072847682119,1.2258292769217631,1.910222222222222,1.910222222222222,1.1977777777777778,2.45,3,retrospective_2026,primary80_shared_extra_geomean,rolling,0.35,250,0,0,0.0,0.0,0,0,1.0778032036613274
0.35,623,1.4708263069139966,250,0,0.3884430176565008,0.26782178217821784,1.4503787350575446,0.6096015817251752,39.58094123638254,1.2258292769217631,1.4259401397082252,2,2,1.3929173693086003,1.6053962900505903,1.3603628367234744,0.8754045307443366,1.4259401397082252,1.2461971830985916,1.910222222222222,0.8431818181818181,2.45,7,combined_2025_2026,primary80_shared_extra_geomean,rolling,0.35,250,0,0,0.0,0.0,0,0,1.3603628367234744
0.35,316,1.2461971830985916,250,0,0.35443037974683544,0.22186234817813766,1.597523791924605,0.6242110180241082,21.10769874925261,1.597523791924605,1.597523791924605,1,1,1.064788732394366,1.380281690140845,1.4909456740442655,0.8585209003215434,1.597523791924605,1.2461971830985916,1.2461971830985916,0.8431818181818181,2.01025641025641,4,retrospective_2025,primary75_shared_extra_geomean,rolling,0.35,250,0,0,0.0,0.0,0,0,1.4909456740442655
0.35,294,1.829333333333333,250,0,0.41156462585034015,0.3401273885350318,1.2100308288109252,0.5571016441802958,56.5212892876789,1.2100308288109252,1.2100308288109252,1,1,1.4,2.0533333333333332,1.1367307156780841,0.9134948096885813,1.2100308288109252,1.829333333333333,1.829333333333333,1.1199999999999999,2.3454545454545457,3,retrospective_2026,primary75_shared_extra_geomean,rolling,0.35,250,0,0,0.0,0.0,0,0,1.1367307156780841
0.35,610,1.4401349072512648,250,0,0.3819672131147541,0.26782178217821784,1.4261992060846642,0.6088735832149164,38.17588828744495,1.2100308288109252,1.403777310367765,2,2,1.3575042158516022,1.5463743676222599,1.354640793322394,0.8776859504132232,1.403777310367765,1.2461971830985916,1.829333333333333,0.8431818181818181,2.3454545454545457,7,combined_2025_2026,primary75_shared_extra_geomean,rolling,0.35,250,0,0,0.0,0.0,0,0,1.354640793322394
0.35,316,1.2461971830985916,250,0,0.35443037974683544,0.22186234817813766,1.597523791924605,0.6241939281618143,21.10769874925261,1.597523791924605,1.597523791924605,1,1,1.064788732394366,1.380281690140845,1.4909456740442655,0.8585209003215434,1.597523791924605,1.2461971830985916,1.2461971830985916,0.8431818181818181,2.01025641025641,4,retrospective_2025,primary75_shared_extra_conservative,rolling,0.35,250,0,0,0.0,0.0,0,0,1.4909456740442655
0.35,294,1.829333333333333,250,0,0.41156462585034015,0.3401273885350318,1.2100308288109252,0.5570582621144419,56.5212892876789,1.2100308288109252,1.2100308288109252,1,1,1.4,2.0533333333333332,1.1367307156780841,0.9134948096885813,1.2100308288109252,1.829333333333333,1.829333333333333,1.1199999999999999,2.3454545454545457,3,retrospective_2026,primary75_shared_extra_conservative,rolling,0.35,250,0,0,0.0,0.0,0,0,1.1367307156780841
0.35,610,1.4401349072512648,250,0,0.3819672131147541,0.26782178217821784,1.4261992060846642,0.6088229670094821,38.17588828744495,1.2100308288109252,1.403777310367765,2,2,1.3575042158516022,1.5463743676222599,1.354640793322394,0.8776859504132232,1.403777310367765,1.2461971830985916,1.829333333333333,0.8431818181818181,2.3454545454545457,7,combined_2025_2026,primary75_shared_extra_conservative,rolling,0.35,250,0,0,0.0,0.0,0,0,1.354640793322394
0.35,315,1.2422535211267605,250,0,0.3333333333333333,0.22186234817813766,1.5024330900243308,0.6232900643338372,15.965138662563442,1.5024330900243308,1.5024330900243308,1,1,1.084507042253521,1.4,1.4221212121212123,0.8741935483870967,1.5024330900243308,1.2422535211267605,1.2422535211267605,0.9230769230769231,1.9743589743589745,4,retrospective_2025,primary67_shared_extra_minimum,rolling,0.35,250,0,0,0.0,0.0,0,0,1.4221212121212123
0.35,288,1.7919999999999998,250,0,0.4097222222222222,0.3401273885350318,1.204614024136496,0.5553482856853644,55.989860626136526,1.204614024136496,1.204614024136496,1,1,1.3688888888888888,2.022222222222222,1.1288467069312627,0.9151943462897526,1.204614024136496,1.7919999999999998,1.7919999999999998,1.0577777777777777,2.3454545454545457,3,retrospective_2026,primary67_shared_extra_minimum,rolling,0.35,250,0,0,0.0,0.0,0,0,1.1288467069312627
0.35,603,1.4236087689713322,250,0,0.36981757877280264,0.26782178217821784,1.3808345824788564,0.6069401691456109,35.081423779493875,1.204614024136496,1.3535235570804134,2,2,1.3575042158516022,1.4991568296795954,1.3081168592243726,0.8862876254180602,1.3535235570804134,1.2422535211267605,1.7919999999999998,0.9230769230769231,2.3454545454545457,7,combined_2025_2026,primary67_shared_extra_minimum,rolling,0.35,250,0,0,0.0,0.0,0,0,1.3081168592243726
