rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,screen_rank
0.22,320,1.265536723163842,60,0,0.459375,0.3379032258064516,1.3594868735083532,0.5974072599048252,63.74881409872508,1.3594868735083532,1.3594868735083532,1,1,1.1864406779661016,1.3248587570621468,1.1777476255088195,0.8888888888888888,1.3594868735083532,1.265536723163842,1.265536723163842,0.7707865168539327,1.8454545454545455,4,primary80_tail50_extra,screen_2024,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1777476255088195,3
0.22,301,1.1870422535211267,60,0,0.2956810631229236,0.22186234817813766,1.3327230399883598,0.5914003812938164,-7.572765698390896,1.3327230399883598,1.3327230399883598,1,1,1.143661971830986,1.2028169014084507,1.1406141768644655,0.8513513513513513,1.3327230399883598,1.1870422535211267,1.1870422535211267,0.7230769230769231,2.5487179487179485,4,primary80_tail50_extra,retrospective_2025,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1406141768644655,3
0.22,207,1.2879999999999998,60,0,0.4396135265700483,0.3401273885350318,1.2924966979681196,0.5403127846948071,52.63721189711069,1.2924966979681196,1.2924966979681196,1,1,1.0577777777777777,1.4,1.1862222222222223,0.9108910891089109,1.2924966979681196,1.2879999999999998,1.2879999999999998,0.42,2.036363636363636,3,primary80_tail50_extra,retrospective_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1862222222222223,3
0.22,508,1.1993254637436763,60,0,0.3543307086614173,0.26782178217821784,1.3230093003624084,0.585618873720691,16.961614935996565,1.2924966979681196,1.3126098689782397,2,2,1.12141652613828,1.2512647554806071,1.1654451894589115,0.8667992047713717,1.3126098689782397,1.1870422535211267,1.2879999999999998,0.42,2.5487179487179485,7,primary80_tail50_extra,combined_2025_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1654451894589115,3
0.22,316,1.249717514124294,60,0,0.4525316455696203,0.3379032258064516,1.3392344642155827,0.5953055096090396,62.55715488573717,1.3392344642155827,1.3392344642155827,1,1,1.2062146892655368,1.2853107344632768,1.195866819747417,0.887459807073955,1.3392344642155827,1.249717514124294,1.249717514124294,0.7078651685393259,1.8613636363636363,4,primary75_tail50_extra,screen_2024,rolling,0.22,60,0,0,0.0,0.0,0,0,1.195866819747417,2
0.22,312,1.2304225352112677,60,0,0.2916666666666667,0.22186234817813766,1.3146289537712896,0.5938651192112839,-10.29923758984589,1.3146289537712896,1.3146289537712896,1,1,1.1830985915492958,1.3014084507042254,1.1016431924882628,0.8599348534201955,1.3146289537712896,1.2304225352112677,1.2304225352112677,0.7636363636363637,2.6384615384615384,4,primary75_tail50_extra,retrospective_2025,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1016431924882628,2
0.22,211,1.3128888888888888,60,0,0.4265402843601896,0.3401273885350318,1.2540603866020557,0.5417696990730698,51.0195606017816,1.2540603866020557,1.2540603866020557,1,1,1.151111111111111,1.4,1.15018315018315,0.912621359223301,1.2540603866020557,1.3128888888888888,1.3128888888888888,0.42,2.090909090909091,3,primary75_tail50_extra,retrospective_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.15018315018315,2
0.22,523,1.2347386172006745,60,0,0.34608030592734224,0.26782178217821784,1.2922037300799099,0.5863337495110224,14.43932152761759,1.2540603866020557,1.2843446701866728,2,2,1.2158516020236088,1.2512647554806071,1.1447461629279811,0.8725868725868726,1.2843446701866728,1.2304225352112677,1.3128888888888888,0.42,2.6384615384615384,7,primary75_tail50_extra,combined_2025_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1447461629279811,2
0.22,297,1.1745762711864407,60,0,0.45454545454545453,0.3379032258064516,1.3451941852896507,0.5902066575774929,53.29592366285401,1.3451941852896507,1.3451941852896507,1,1,1.1271186440677967,1.265536723163842,1.330223880597015,0.8835616438356164,1.3451941852896507,1.1745762711864407,1.1745762711864407,0.5662921348314607,1.8136363636363637,4,primary67_tail50_extra,screen_2024,rolling,0.22,60,0,0,0.0,0.0,0,0,1.330223880597015,1
0.22,309,1.2185915492957746,60,0,0.3042071197411003,0.22186234817813766,1.371152528760069,0.5958836218355272,-7.333078325402303,1.371152528760069,1.371152528760069,1,1,1.123943661971831,1.2619718309859154,1.1783280327124035,0.8585526315789473,1.371152528760069,1.2185915492957746,1.2185915492957746,0.7159090909090909,2.6025641025641026,4,primary67_tail50_extra,retrospective_2025,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1783280327124035,1
0.22,219,1.3626666666666665,60,0,0.4246575342465753,0.3401273885350318,1.2485249602380586,0.5432591500007231,51.61802329079074,1.2485249602380586,1.2485249602380586,1,1,1.2755555555555553,1.431111111111111,1.1814381270903012,0.9158878504672897,1.2485249602380586,1.3626666666666665,1.3626666666666665,0.4666666666666667,2.036363636363636,3,primary67_tail50_extra,retrospective_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1814381270903012,1
0.22,528,1.2465430016863406,60,0,0.3541666666666667,0.26782178217821784,1.3223967960566851,0.5861862751346953,17.118230867677763,1.2485249602380586,1.3098387444990638,2,2,1.2040472175379429,1.2748735244519394,1.2056932966023874,0.8738049713193117,1.3098387444990638,1.2185915492957746,1.3626666666666665,0.4666666666666667,2.6025641025641026,7,primary67_tail50_extra,combined_2025_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2056932966023874,1
