candidate,breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps
moex_hist,overall,all,2020,430,1.0151770657672852,0.26782178217821784,0.4441860465116279,1.6585135193225293,51.96606624901697
moex_hist,year,2025,1235,272,1.0726760563380282,0.22186234817813766,0.375,1.6902372262773722,31.793210068703637
moex_hist,quarter,2025Q1,285,76,1.3641025641025641,0.15087719298245614,0.34210526315789475,2.2674418604651163,-31.327674862725523
moex_hist,quarter,2025Q2,295,64,1.0181818181818183,0.16610169491525423,0.265625,1.599170918367347,18.628747076248032
moex_hist,quarter,2025Q3,330,65,1.0,0.34545454545454546,0.46153846153846156,1.3360323886639676,82.27896760890826
moex_hist,quarter,2025Q4,325,67,1.0307692307692309,0.20923076923076922,0.43283582089552236,2.0687006145741877,66.98930926560624
moex_hist,year,2026,785,158,0.983111111111111,0.3401273885350318,0.5632911392405063,1.6561181434599157,86.69402119234118
moex_hist,quarter,2026Q1,270,60,1.0909090909090908,0.2851851851851852,0.45,1.5779220779220777,68.16817641357325
moex_hist,quarter,2026Q2,310,59,0.9177777777777778,0.3032258064516129,0.4745762711864407,1.5650919581680491,62.08435506848685
moex_hist,quarter,2026Q3,205,39,0.975,0.4682926829268293,0.8717948717948718,1.861645299145299,152.4253285778151
moex_hist,currency,TJS,404,86,1.0151770657672852,0.2995049504950495,0.5465116279069767,1.8247165097059388,65.29840896246809
moex_hist,currency,UZS,404,83,0.9797639123102867,0.2698019801980198,0.40963855421686746,1.5182933569138939,50.23794076255967
moex_hist,currency,KGS,404,84,0.9915682967959528,0.24257425742574257,0.42857142857142855,1.7667638483965014,47.04627502062857
moex_hist,currency,AMD,404,86,1.0151770657672852,0.2623762376237624,0.4418604651162791,1.6840719613865731,52.32299877373329
moex_hist,currency,KZT,404,91,1.0741989881956155,0.26485148514851486,0.3956043956043956,1.4936838862072506,45.14649710701899
moex_xgb,overall,all,2020,430,1.0151770657672852,0.26782178217821784,0.45348837209302323,1.6932467867428962,63.59762982237891
moex_xgb,year,2025,1235,272,1.0726760563380282,0.22186234817813766,0.36764705882352944,1.6570953198797769,41.06852145322428
moex_xgb,quarter,2025Q1,285,65,1.1666666666666667,0.15087719298245614,0.38461538461538464,2.5491949910554563,0.39257872839015295
moex_xgb,quarter,2025Q2,295,67,1.065909090909091,0.16610169491525423,0.22388059701492538,1.3478525738653673,1.1859589043921677
moex_xgb,quarter,2025Q3,330,70,1.0769230769230769,0.34545454545454546,0.4714285714285714,1.3646616541353382,92.79803633896069
moex_xgb,quarter,2025Q4,325,70,1.0769230769230769,0.20923076923076922,0.38571428571428573,1.8434873949579833,65.28283468014456
moex_xgb,year,2026,785,158,0.983111111111111,0.3401273885350318,0.6012658227848101,1.7677665576257526,102.38191764775902
moex_xgb,quarter,2026Q1,270,58,1.0545454545454545,0.2851851851851852,0.5172413793103449,1.8137035378414688,79.27422654354729
moex_xgb,quarter,2026Q2,310,60,0.9333333333333333,0.3032258064516129,0.5,1.648936170212766,90.49629754378655
moex_xgb,quarter,2026Q3,205,40,1.0,0.4682926829268293,0.875,1.8684895833333333,153.71649990482473
moex_xgb,currency,TJS,404,84,0.9915682967959528,0.2995049504950495,0.5357142857142857,1.7886658795749706,73.86567014193362
moex_xgb,currency,UZS,404,86,1.0151770657672852,0.2698019801980198,0.4418604651162791,1.6377213569447406,65.52935430039437
moex_xgb,currency,KGS,404,85,1.003372681281619,0.24257425742574257,0.4470588235294118,1.8429771908763506,56.0356144029459
moex_xgb,currency,AMD,404,88,1.0387858347386172,0.2623762376237624,0.4659090909090909,1.7757289879931388,64.42036361182345
moex_xgb,currency,KZT,404,87,1.026981450252951,0.26485148514851486,0.3793103448275862,1.4321624234611665,58.33012459512333
moex_hist_anchor25,overall,all,2020,391,0.9231028667790895,0.26782178217821784,0.45524296675191817,1.699798138334334,61.89776445209339
moex_hist_anchor25,year,2025,1235,238,0.9385915492957747,0.22186234817813766,0.37815126050420167,1.7044409004477703,37.38597228335308
moex_hist_anchor25,quarter,2025Q1,285,57,1.0230769230769232,0.15087719298245614,0.3684210526315789,2.441860465116279,-15.95374597914141
moex_hist_anchor25,quarter,2025Q2,295,55,0.875,0.16610169491525423,0.2727272727272727,1.641929499072356,25.626438460321747
moex_hist_anchor25,quarter,2025Q3,330,65,1.0,0.34545454545454546,0.4461538461538462,1.291497975708502,74.21274608899019
moex_hist_anchor25,quarter,2025Q4,325,61,0.9384615384615385,0.20923076923076922,0.4098360655737705,1.9587753134040502,58.58921824831204
moex_hist_anchor25,year,2026,785,153,0.952,0.3401273885350318,0.5751633986928104,1.6910234755575138,100.02721893680054
moex_hist_anchor25,quarter,2026Q1,270,62,1.1272727272727272,0.2851851851851852,0.4032258064516129,1.413908671973188,73.22308831346768
moex_hist_anchor25,quarter,2026Q2,310,55,0.8555555555555555,0.3032258064516129,0.5818181818181818,1.918762088974855,99.99003155357657
moex_hist_anchor25,quarter,2026Q3,205,36,0.9,0.4682926829268293,0.8611111111111112,1.8388310185185186,146.2467024013548
moex_hist_anchor25,currency,TJS,404,82,0.9679595278246207,0.2995049504950495,0.5487804878048781,1.832291876637775,72.81699512659117
moex_hist_anchor25,currency,UZS,404,76,0.897133220910624,0.2698019801980198,0.4342105263157895,1.6093674553355866,66.5064140976623
moex_hist_anchor25,currency,KGS,404,83,0.9797639123102867,0.24257425742574257,0.4457831325301205,1.8377182198180477,57.51070203829416
moex_hist_anchor25,currency,AMD,404,77,0.9089376053962901,0.2623762376237624,0.44155844155844154,1.6829208527321733,55.06382250262116
moex_hist_anchor25,currency,KZT,404,73,0.8617200674536257,0.26485148514851486,0.3972602739726027,1.49993598770964,57.03071543952686
moex_xgb_anchor25,overall,all,2020,668,1.5770657672849917,0.26782178217821784,0.43862275449101795,1.6377411535524145,60.729937987119605
moex_xgb_anchor25,year,2025,1235,391,1.5419718309859156,0.22186234817813766,0.36061381074168797,1.6253943659342505,37.16362434062634
moex_xgb_anchor25,quarter,2025Q1,285,82,1.4717948717948717,0.15087719298245614,0.36585365853658536,2.4248440158820195,-5.2552524477552005
moex_xgb_anchor25,quarter,2025Q2,295,105,1.6704545454545454,0.16610169491525423,0.21904761904761905,1.3187560738581148,4.5031788432683495
moex_xgb_anchor25,quarter,2025Q3,330,99,1.5230769230769232,0.34545454545454546,0.5252525252525253,1.52046783625731,104.3843014666373
moex_xgb_anchor25,quarter,2025Q4,325,105,1.6153846153846154,0.20923076923076922,0.34285714285714286,1.6386554621848741,39.57169708724341
moex_xgb_anchor25,year,2026,785,277,1.7235555555555553,0.3401273885350318,0.5487364620938628,1.6133263024107953,93.99502331484115
moex_xgb_anchor25,quarter,2026Q1,270,116,2.109090909090909,0.2851851851851852,0.4827586206896552,1.6927899686520376,89.61708193103901
moex_xgb_anchor25,quarter,2026Q2,310,86,1.3377777777777777,0.3032258064516129,0.45348837209302323,1.495546759030183,63.63010050745502
moex_xgb_anchor25,quarter,2026Q3,205,75,1.875,0.4682926829268293,0.76,1.6229166666666666,135.5846841409245
moex_xgb_anchor25,currency,TJS,404,133,1.5699831365935921,0.2995049504950495,0.49624060150375937,1.6568694463431306,67.39087871533515
moex_xgb_anchor25,currency,UZS,404,136,1.6053962900505903,0.2698019801980198,0.4411764705882353,1.6351861845655693,64.14257082446447
moex_xgb_anchor25,currency,KGS,404,132,1.558178752107926,0.24257425742574257,0.4166666666666667,1.717687074829932,55.51016512629954
moex_xgb_anchor25,currency,AMD,404,133,1.5699831365935921,0.2623762376237624,0.45112781954887216,1.7193928216768335,61.21756770558791
moex_xgb_anchor25,currency,KZT,404,134,1.581787521079258,0.26485148514851486,0.3880597014925373,1.4651973775979914,55.313013228465834
moex_hist_benefit50,overall,all,2020,512,1.2087689713322092,0.26782178217821784,0.43359375,1.6189637245841033,54.79656251208249
moex_hist_benefit50,year,2025,1235,324,1.2777464788732393,0.22186234817813766,0.3734567901234568,1.6832815175272595,41.489390545458384
moex_hist_benefit50,quarter,2025Q1,285,75,1.3461538461538463,0.15087719298245614,0.37333333333333335,2.474418604651163,7.364828518601034
moex_hist_benefit50,quarter,2025Q2,295,86,1.3681818181818182,0.16610169491525423,0.2558139534883721,1.540104413858567,9.241283672613637
moex_hist_benefit50,quarter,2025Q3,330,62,0.9538461538461539,0.34545454545454546,0.4838709677419355,1.400679117147708,94.10249682513374
moex_hist_benefit50,quarter,2025Q4,325,101,1.5538461538461539,0.20923076923076922,0.40594059405940597,1.9401572510192198,61.99104157257798
moex_hist_benefit50,year,2026,785,188,1.1697777777777778,0.3401273885350318,0.5372340425531915,1.5795083273567616,77.73019930562614
moex_hist_benefit50,quarter,2026Q1,270,87,1.5818181818181818,0.2851851851851852,0.4482758620689655,1.5718763994626062,61.88887503530046
moex_hist_benefit50,quarter,2026Q2,310,57,0.8866666666666667,0.3032258064516129,0.43859649122807015,1.446435237028742,51.7789896868473
moex_hist_benefit50,quarter,2026Q3,205,44,1.1,0.4682926829268293,0.8409090909090909,1.7956912878787878,142.6714302099154
moex_hist_benefit50,currency,TJS,404,104,1.2276559865092749,0.2995049504950495,0.5192307692307693,1.7336300063572794,65.64090368199166
moex_hist_benefit50,currency,UZS,404,101,1.1922428330522767,0.2698019801980198,0.42574257425742573,1.5779816513761467,60.234271990564785
moex_hist_benefit50,currency,KGS,404,104,1.2276559865092749,0.24257425742574257,0.41346153846153844,1.7044740973312402,47.973584872761634
moex_hist_benefit50,currency,AMD,404,101,1.1922428330522767,0.2623762376237624,0.43564356435643564,1.660377358490566,52.47700272521075
moex_hist_benefit50,currency,KZT,404,102,1.2040472175379429,0.26485148514851486,0.37254901960784315,1.4066336815099871,47.60876911959373
moex_extra_anchor25,overall,all,2020,661,1.560539629005059,0.26782178217821784,0.4568835098335855,1.7059236411531287,55.41676519273523
moex_extra_anchor25,year,2025,1235,399,1.5735211267605633,0.22186234817813766,0.38596491228070173,1.7396593673965934,27.65267421367527
moex_extra_anchor25,quarter,2025Q1,285,114,2.0461538461538464,0.15087719298245614,0.2631578947368421,1.744186046511628,-67.3298981809552
